t,cg_iters
1,22077
2,22504
3,22902
4,23157
5,23218
6,23470
7,23153
8,22873
9,22677
10,22448
11,11373
12,11520
13,11456
14,11383
15,11326
16,11643
17,11431
18,11477
19,11282
20,11405
21,5787
22,5829
23,5800
24,5784
25,5756
26,5726
27,5723
28,5738
29,5768
30,5861
31,5140
32,5218
33,5214
34,5298
35,5203
36,5163
37,5178
38,5161
39,5230
40,5176
41,5153
42,5281
43,5139
44,5079
45,5175
46,5198
47,5258
48,5067
49,5167
50,5152
51,5200
52,5254
53,5232
54,5146
55,5208
56,5271
57,5283
58,5253
59,5197
60,5162
61,5159
62,5239
63,5149
64,5130
65,5248
66,5189
67,5051
68,5210
69,5239
70,5213
71,5147
72,5163
73,5211
74,5240
75,5246
76,5204
77,5152
78,5176
79,5209
80,5244
81,5293
82,5207
83,5205
84,5271
85,5209
86,5180
87,5288
88,5197
89,5240
90,5267
91,5232
92,5182
93,5156
94,5159
95,5175
96,5247
97,5208
98,5263
99,5199
100,5208
101,5231
102,5280
103,5247
104,5168
105,5180
106,5162
107,5233
108,5266
109,5281
110,5125
111,5192
112,5174
113,5243
114,5168
115,5138
116,5150
117,5206
118,5227
119,5211
120,5296
121,5127
122,5116
123,5216
124,5312
125,5256
126,5293
127,5271
128,5287
129,5277
130,5236
131,5191
132,5171
133,5191
134,5230
135,5251
136,5247
137,5155
138,5178
139,5173
140,5156
141,5211
142,5181
143,5174
144,5211
145,5225
146,5202
147,5189
148,5175
149,5129
150,5186
151,5242
152,5259
153,5135
154,5190
155,5149
156,5192
157,5140
158,5160
159,5165
160,5142
161,5110
162,5196
163,5191
164,5198
165,5257
166,5220
167,5253
168,5245
169,5186
170,5150
171,5084
172,5310
173,5222
174,5150
175,5172
176,5211
177,5191
178,5237
179,5148
180,5256
181,5213
182,5218
183,5199
184,5198
185,5192
186,5220
187,5271
188,5152
189,5177
190,5217
191,5203
192,5214
193,5149
194,5238
195,5139
196,5136
197,5173
198,5259
199,5196
200,5206
201,5162
202,5189
203,5186
204,5178
205,5192
206,5151
207,5155
208,5112
209,5200
210,5171
211,5109
212,5156
213,5135
214,5161
215,5176
216,5277
217,5298
218,5307
219,5192
220,5207
221,5141
222,5152
223,5238
224,5208
225,5246
226,5237
227,5283
228,5233
229,5250
230,5235
231,5250
232,5290
233,5171
234,5160
235,5258
236,5204
237,5153
238,5231
239,5159
240,5119
241,5212
242,5157
243,5158
244,5165
245,5146
246,5198
247,5200
248,5199
249,5133
250,5197
251,5172
252,5156
253,5143
254,5229
255,5191
256,5176
257,5183
258,5179
259,5215
260,5137
261,5188
262,5198
263,5192
264,5165
265,5215
266,5110
267,5235
268,5240
269,5191
270,5122
271,5125
272,5176
273,5152
274,5221
275,5137
276,5143
277,5242
278,5214
279,5280
280,5249
281,5171
282,5206
283,5266
284,5214
285,5184
286,5314
287,5238
288,5203
289,5209
290,5278
291,5236
292,5187
293,5132
294,5114
295,5104
296,5202
297,5191
298,5149
299,5122
300,5167
301,5122
302,5178
303,5221
304,5214
305,5239
306,5121
307,5271
308,5194
309,5247
310,5284
311,5181
312,5191
313,5208
314,5249
315,5188
316,5266
317,5175
318,5145
319,5201
320,5127
321,5156
322,5202
323,5141
324,5139
325,5237
326,5178
327,5164
328,5198
329,5158
330,5240
331,5177
332,5164
333,5247
334,5208
335,5217
336,5195
337,5226
338,5250
339,5163
340,5210
341,5189
342,5210
343,5183
344,5149
345,5156
346,5171
347,5306
348,5173
349,5193
350,5278
351,5260
352,5195
353,5233
354,5182
355,5181
356,5198
357,5218
358,5287
359,5209
360,5190
361,5228
362,5240
363,5225
364,5179
365,5283
366,5235
367,5262
368,5227
369,5161
370,5171
371,5107
372,5258
373,5232
374,5240
375,5190
376,5182
377,5184
378,5267
379,5256
380,5174
381,5064
382,5229
383,5269
384,5174
385,5197
386,5139
387,5268
388,5136
389,5164
390,5200
391,5207
392,5136
393,5312
394,5309
395,5363
396,5254
397,5316
398,5290
399,5243
400,5268
401,5236
402,5166
403,5225
404,5280
405,5213
406,5156
407,5155
408,5162
409,5256
410,5248
411,5211
412,5167
413,5203
414,5250
415,5178
416,5157
417,5157
418,5249
419,5201
420,5204
421,5166
422,5258
423,5259
424,5231
425,5184
426,5229
427,5251
428,5202
429,5250
430,5251
431,5255
432,5235
433,5198
434,5262
435,5172
436,5218
437,5239
438,5218
439,5274
440,5216
441,5218
442,5161
443,5197
444,5162
445,5324
446,5183
447,5271
448,5224
449,5217
450,5175
451,5242
452,5293
453,5323
454,5251
455,5242
456,5226
457,5278
458,5168
459,5192
460,5278
461,5297
462,5271
463,5207
464,5199
465,5298
466,5223
467,5228
468,5110
469,5202
470,5234
471,5166
472,5066
473,5213
474,5303
475,5323
476,5241
477,5215
478,5216
479,5209
480,5199
481,5198
482,5251
483,5292
484,5272
485,5241
486,5323
487,5349
488,5322
489,5237
490,5184
491,5243
492,5203
493,5213
494,5233
495,5242
496,5196
497,5282
498,5244
499,5253
500,5175
501,5208
502,5193
503,5220
504,5154
505,5140
506,5177
507,5261
508,5286
509,5285
510,5165
511,5212
512,5183
513,5300
514,5249
515,5244
516,5201
517,5210
518,5222
519,5185
520,5254
521,5215
522,5147
523,5194
524,5174
525,5252
526,5235
527,5286
528,5140
529,5241
530,5125
531,5094
532,5142
533,5187
534,5106
535,5162
536,5248
537,5202
538,5154
539,5235
540,5163
541,5190
542,5201
543,5193
544,5134
545,5174
546,5244
547,5223
548,5250
549,5211
550,5194
551,5096
552,5201
553,5157
554,5185
555,5164
556,5259
557,5179
558,5215
559,5234
560,5262
561,5213
562,5206
563,5187
564,5237
565,5195
566,5123
567,5212
568,5221
569,5171
570,5204
571,5165
572,5225
573,5205
574,5208
575,5152
576,5200
577,5159
578,5265
579,5255
580,5254
581,5255
582,5227
583,5198
584,5144
585,5213
586,5235
587,5274
588,5267
589,5286
590,5342
591,5396
592,5295
593,5215
594,5291
595,5280
596,5285
597,5234
598,5247
599,5206
600,5209
601,5233
602,5280
603,5207
604,5123
605,5247
606,5166
607,5251
608,5177
609,5205
610,5118
611,5299
612,5295
613,5318
614,5253
615,5150
616,5210
617,5231
618,5239
619,5209
620,5152
621,5150
622,5179
623,5154
624,5163
625,5174
626,5202
627,5204
628,5199
629,5220
630,5194
631,5205
632,5271
633,5255
634,5228
635,5141
636,5189
637,5220
638,5179
639,5163
640,5158
641,5223
