MDTU,min_ave,max_ave
1,0.270831,0.360463
2,0.183087,0.288314
3,0.138264,0.2447
4,0.101272,0.211902
5,0.0712973,0.186708
6,0.0433957,0.159814
7,0.0199371,0.13906
8,0.00589036,0.125843
9,-0.0119597,0.116801
10,-0.0176608,0.111093
11,-0.0323319,0.093741
12,-0.044927,0.0846082
13,-0.0465156,0.0916152
14,-0.0535113,0.0922662
15,-0.0524262,0.0841445
16,-0.0513546,0.0867019
17,-0.0551902,0.083152
18,-0.0585159,0.0774508
19,-0.0647934,0.0772639
20,-0.0677542,0.0713335
21,-0.0677542,0.0713335
22,-0.0670835,0.0697431
23,-0.0746101,0.0716228
24,-0.0751936,0.0671899
25,-0.0688234,0.0699429
26,-0.0705853,0.0644583
27,-0.0675435,0.0720662
28,-0.0716493,0.0664321
29,-0.0716493,0.0664321
30,-0.0720707,0.0719257
31,-0.0696978,0.0734342
32,-0.0759173,0.0721549
33,-0.0732478,0.0677374
34,-0.0732478,0.0677374
35,-0.0774369,0.0605229
36,-0.0765681,0.0665138
37,-0.0783227,0.067581
38,-0.0783227,0.067581
39,-0.0783227,0.067581
40,-0.0753008,0.0755739
41,-0.0753008,0.0755739
42,-0.0753008,0.0755739
43,-0.0852991,0.0612527
44,-0.0774642,0.0658173
45,-0.0817056,0.0614067
46,-0.0758124,0.0643845
47,-0.0756059,0.066355
48,-0.0756059,0.066355
49,-0.0796108,0.0617878
50,-0.0802681,0.0578943
51,-0.0763925,0.0617443
52,-0.076549,0.0649707
53,-0.0718013,0.0612854
54,-0.0834531,0.0605299
55,-0.0751979,0.0685879
56,-0.0644205,0.0774399
57,-0.0644205,0.0774399
58,-0.0561699,0.0762275
59,-0.0600288,0.0747471
60,-0.0720772,0.0746627
61,-0.0711436,0.0776133
62,-0.0727979,0.0707344
63,-0.0756272,0.0736566
64,-0.0756272,0.0736566
65,-0.0734338,0.0694085
66,-0.0682697,0.0779492
67,-0.066584,0.0715898
68,-0.0629115,0.0792332
69,-0.0591476,0.0748532
70,-0.0675665,0.0786796
71,-0.0675665,0.0786796
72,-0.0658737,0.07486
73,-0.0627406,0.0689792
74,-0.0649852,0.0720641
75,-0.0699296,0.0673796
76,-0.0726811,0.069365
77,-0.0662786,0.0635489
78,-0.0707293,0.0699377
79,-0.0700807,0.0715803
80,-0.0641137,0.0707459
81,-0.0641137,0.0707459
82,-0.0600577,0.0769584
83,-0.0635938,0.0757305
84,-0.0684288,0.0697201
85,-0.069508,0.067117
86,-0.0654464,0.0752448
87,-0.069005,0.0649356
88,-0.0744589,0.0704197
89,-0.0744589,0.0704197
90,-0.0776556,0.0683536
91,-0.0793071,0.0592341
92,-0.0690639,0.069836
93,-0.0808322,0.0619605
94,-0.0759433,0.0602526
95,-0.0775484,0.0533447
96,-0.0728807,0.0598759
97,-0.0728807,0.0598759
98,-0.0728807,0.0598759
99,-0.0719749,0.059804
100,-0.0810041,0.0613578
101,-0.088387,0.0565655
102,-0.088387,0.0565655
103,-0.0888918,0.0534505
104,-0.0888918,0.0534505
105,-0.0888918,0.0534505
106,-0.0927105,0.0511452
107,-0.0833176,0.050215
108,-0.0878577,0.0532661
109,-0.0878577,0.0532661
110,-0.0932415,0.0526224
111,-0.0904574,0.0553576
112,-0.0978147,0.0529745
113,-0.0854057,0.0517986
114,-0.0889019,0.0657577
115,-0.0893047,0.0530685
116,-0.085545,0.0545956
117,-0.0872285,0.0550413
118,-0.092298,0.0553916
119,-0.0853183,0.055108
120,-0.0886951,0.05579
121,-0.0850479,0.0600477
122,-0.0850479,0.0600477
123,-0.0835365,0.0636206
124,-0.0835365,0.0636206
125,-0.0824514,0.061455
126,-0.0824514,0.061455
127,-0.0703002,0.0623951
128,-0.0638149,0.075665
129,-0.0679924,0.072996
130,-0.0676259,0.073833
131,-0.0606384,0.073582
132,-0.072955,0.073657
133,-0.0666544,0.0735354
134,-0.0666544,0.0735354
135,-0.0701958,0.066324
136,-0.0701958,0.066324
137,-0.0619393,0.0640877
138,-0.0676519,0.0687946
139,-0.0676519,0.0687946
140,-0.0741669,0.0676897
141,-0.0741669,0.0676897
142,-0.0741669,0.0676897
143,-0.0741669,0.0676897
144,-0.0741669,0.0676897
145,-0.0718409,0.0720348
146,-0.0718409,0.0720348
147,-0.0696622,0.0718772
148,-0.0708045,0.0652293
149,-0.0782322,0.0631723
150,-0.0699501,0.0650476
151,-0.0699501,0.0650476
152,-0.0674191,0.063369
153,-0.0652891,0.0718719
154,-0.0652891,0.0718719
155,-0.0658838,0.0700949
156,-0.0724396,0.070453
157,-0.0846409,0.0642501
158,-0.072151,0.0684634
159,-0.0692716,0.0624415
160,-0.0671462,0.0677591
161,-0.0687297,0.0707107
162,-0.0642983,0.0728618
