t,walltime
10,41.02
20,16.06
30,7.333
40,6.605
50,6.574
60,6.634
70,6.595
80,6.601
90,6.627
100,6.607
110,6.632
120,6.608
130,6.643
140,6.605
150,6.595
160,6.602
170,6.596
180,6.601
190,6.605
200,6.608
210,6.57
220,6.613
230,6.628
240,6.601
250,6.596
260,6.585
270,6.597
280,6.59
290,6.637
300,6.578
310,6.611
320,6.604
330,6.597
340,6.619
350,6.608
360,6.615
370,6.636
380,6.621
390,6.592
400,6.683
410,6.604
420,6.599
430,6.647
440,6.638
450,6.625
460,6.651
470,6.637
480,6.617
490,6.683
500,6.631
510,6.618
520,6.64
530,6.605
540,6.58
550,6.622
560,6.617
570,6.619
580,6.634
590,6.655
600,6.67
610,6.631
620,6.648
630,6.607
640,6.619
650,6.646
660,6.622
670,6.613
680,6.607
690,6.609
700,6.644
710,6.638
720,6.607
730,6.594
740,6.627
750,6.676
760,6.6
770,6.597
780,6.581
790,6.643
800,6.625
810,6.597
820,6.587
830,6.643
840,6.659
850,6.657
860,6.621
870,6.638
880,6.664
890,6.587
900,6.62
910,6.619
920,6.67
930,6.63
940,6.66
950,6.639
960,6.611
970,6.658
980,6.609
990,6.634
1000,6.631
1010,6.592
1020,6.601
1030,6.644
1040,6.601
1050,6.613
1060,6.664
1070,6.619
1080,6.632
1090,6.596
1100,6.621
1110,6.615
1120,6.652
1130,6.62
1140,6.606
1150,6.622
1160,6.656
1170,6.609
1180,6.64
1190,6.608
1200,6.634
1210,6.649
1220,6.62
1230,6.663
1240,6.61
1250,6.624
1260,6.644
1270,6.661
1280,6.645
1290,6.584
1300,6.638
1310,6.633
1320,6.61
1330,6.643
1340,6.629
1350,6.672
1360,6.657
1370,6.642
1380,6.656
1390,6.666
1400,6.632
1410,6.658
1420,6.704
1430,6.69
1440,6.651
1450,6.653
1460,6.646
1470,6.658
1480,6.639
1490,6.619
1500,6.648
1510,6.647
1520,6.693
1530,6.675
1540,6.667
1550,6.69
1560,6.7
1570,6.668
1580,6.701
1590,6.676
1600,6.714
1610,6.7
1620,6.702
1630,6.675
1640,6.743
1650,6.667
1660,6.658
1670,6.696
1680,6.756
1690,6.696
1700,6.671
1710,6.723
1720,6.748
1730,6.674
1740,6.7
1750,6.7
1760,6.773
1770,6.71
1780,6.734
1790,6.74
1800,6.784
1810,6.734
1820,6.674
1830,6.721
1840,6.79
1850,6.702
1860,6.727
1870,6.748
1880,6.787
1890,6.704
1900,6.751
1910,6.769
1920,6.757
1930,6.718
1940,6.762
1950,6.798
1960,6.774
1970,6.752
1980,6.717
1990,6.834
2000,6.732
2010,6.778
2020,6.776
2030,6.86
2040,6.781
2050,6.805
2060,6.857
2070,6.757
2080,6.748
2090,6.762
2100,6.907
2110,6.788
2120,6.775
2130,6.801
2140,6.817
2150,6.773
2160,6.78
2170,6.877
2180,6.766
2190,6.791
2200,6.839
2210,6.836
2220,6.792
2230,6.824
2240,6.935
2250,6.84
2260,6.825
2270,6.938
2280,6.833
2290,6.813
2300,6.85
2310,6.958
2320,6.804
2330,6.863
2340,6.963
2350,6.866
2360,6.905
2370,7.002
2380,6.885
2390,6.871
2400,7.026
2410,6.866
2420,6.857
2430,7.045
2440,6.916
2450,6.9
2460,7.043
2470,6.886
2480,6.968
2490,7.07
2500,6.922
2510,6.974
2520,7.089
2530,6.916
2540,6.969
2550,7.076
2560,6.936
2570,6.922
2580,7.113
2590,6.953
2600,6.942
2610,7.126
2620,6.952
2630,6.957
2640,7.144
2650,6.96
2660,7.09
2670,6.965
2680,6.949
2690,7.112
2700,6.987
2710,6.981
2720,7.106
2730,6.999
2740,6.986
2750,7.126
2760,6.929
2770,6.948
2780,7.169
2790,7.019
2800,7.025
2810,7.043
2820,6.946
2830,7.184
2840,6.958
2850,6.997
2860,7.181
2870,6.993
2880,6.964
2890,7.175
2900,7.051
2910,7.105
2920,7.062
2930,7.053
2940,7.268
2950,7.046
2960,7.005
2970,7.268
2980,7.091
2990,7.312
3000,7.078
3010,7.108
3020,7.324
3030,7.107
3040,7.325
3050,7.089
3060,7.224
3070,7.173
3080,7.119
3090,7.35
3100,7.113
3110,7.372
3120,7.103
3130,7.09
3140,7.395
3150,7.141
3160,7.367
3170,7.148
3180,7.372
3190,7.101
3200,7.138
3210,7.361
3220,7.145
3230,7.459
3240,7.152
3250,7.335
3260,7.238
3270,7.212
3280,7.41
3290,7.186
3300,7.484
3310,7.218
3320,7.519
3330,7.211
3340,7.463
3350,7.209
3360,7.503
3370,7.217
3380,7.351
3390,7.369
3400,7.261
3410,7.494
3420,7.248
3430,7.613
3440,7.23
3450,7.554
3460,7.244
3470,7.571
3480,7.252
3490,7.623
3500,7.278
