MDTU,susyTrans,Im(bilin)
10,-0.0165439,-4.35451e-05
20,-0.00776973,-3.4989e-05
30,0.0189339,-1.36767e-05
40,0.00111521,-2.60851e-06
50,-0.00712482,-3.39923e-05
60,0.0067784,1.12239e-05
70,0.00287864,-8.50359e-07
80,-0.0136042,1.84178e-05
90,0.0251981,-2.84863e-05
100,0.00996242,2.74012e-05
110,0.0142415,4.41995e-07
120,-0.00405894,-3.3881e-05
130,-0.00469124,-2.17274e-05
140,-0.0134871,-6.51609e-06
150,-0.00468322,3.33555e-05
160,-0.0189896,-6.80457e-05
170,-0.00772859,-4.06698e-05
180,-0.00567079,-1.48405e-05
190,-0.00156957,-3.22584e-05
200,0.00188089,-4.02017e-05
210,0.00195881,2.33868e-05
220,-0.012056,2.55786e-05
230,-0.0124298,-7.07254e-06
240,-0.00498806,-5.97233e-06
250,0.0137874,2.80105e-05
260,-0.0102317,3.08723e-05
270,0.00477409,2.24942e-05
280,0.00322152,6.15977e-05
290,0.00920998,2.67902e-05
300,-0.00937492,-1.9409e-05
310,-0.00882444,1.03435e-05
320,0.00137387,-4.77274e-05
330,-0.0110394,2.9468e-06
340,-0.0169839,2.31185e-05
350,0.0162307,2.80903e-05
360,0.0165377,5.39816e-06
370,0.00042308,-4.97703e-05
380,0.0159424,1.28622e-05
390,-0.011191,-6.51182e-05
400,0.0190501,-2.5581e-05
410,0.00462723,7.16058e-05
420,0.00788393,-4.90121e-05
430,-0.00819718,1.6203e-05
440,-0.00354086,1.88061e-05
450,-0.00828079,-4.79015e-05
460,-0.00569794,-8.3729e-06
470,0.00553996,-2.22912e-05
480,0.00612617,-4.15393e-05
490,-0.00534626,2.89314e-05
500,-0.0189266,1.93026e-05
510,0.00243329,-3.88242e-05
520,0.0367229,9.77737e-06
530,-0.000205221,1.87798e-05
540,-0.00128139,3.69823e-05
550,-0.00427234,2.50999e-05
560,0.0197522,-2.28619e-05
570,0.0117847,2.58922e-05
580,-0.0191749,-4.9086e-06
590,0.00983163,3.51085e-06
600,-0.00036841,-3.20246e-06
610,0.000875624,-3.02303e-05
620,-0.00842367,-7.62964e-07
630,0.00749066,8.788e-06
640,0.00767692,-5.82663e-06
650,-0.00138106,6.946e-05
660,-0.00200678,3.77936e-05
670,0.00479969,-1.58033e-06
680,-0.00853948,-1.52455e-05
690,-0.0103873,2.15885e-05
700,0.0181102,-2.87224e-05
710,-0.0126599,6.63757e-05
720,-0.00552371,9.11636e-06
730,-0.0033148,9.42684e-06
740,-0.028656,-1.53813e-05
750,-0.0180028,6.35158e-05
760,-0.00832402,-4.50002e-05
770,-0.0141301,9.0594e-06
780,-0.00886745,-4.53465e-06
790,0.00276888,-1.29986e-05
800,-0.000888609,3.60013e-06
810,-0.0104763,-1.59765e-05
820,-0.0166025,1.17814e-05
830,0.00783885,-9.29264e-06
840,-0.00340484,-4.68674e-05
850,-0.00606733,9.58353e-06
860,-0.0319366,6.18649e-05
870,0.00738345,-4.96768e-05
880,0.00958716,8.79497e-06
890,-0.0105458,2.19859e-05
900,-0.0308857,2.43594e-06
910,-0.0165814,-3.54532e-06
920,-0.00532819,3.73746e-05
930,-0.00156229,-1.38938e-05
940,0.00207587,1.82417e-05
950,-0.00854204,-2.98872e-05
960,-0.017425,6.60842e-06
970,-0.0174525,-1.52144e-05
980,-0.00339795,-3.56806e-05
990,0.0194146,1.42631e-05
1000,0.00312498,6.0971e-06
1010,-0.000236929,4.26491e-05
1020,-0.00720779,-6.43075e-05
1030,-0.0031321,-1.50775e-05
1040,-0.0265603,-9.62669e-06
1050,0.0214741,3.57664e-05
1060,0.0121959,1.5465e-05
1070,-0.0256699,6.82248e-05
1080,-0.0208428,-2.47092e-05
1090,0.00820662,7.14483e-06
1100,-0.0100969,-4.50682e-05
1110,-0.00563434,-1.48975e-05
1120,-0.0136782,1.87798e-06
1130,-0.0109912,-2.52895e-05
1140,0.00337134,1.83414e-05
1150,0.00449774,2.76295e-05
1160,0.00413329,9.09853e-06
1170,0.00952965,-2.4301e-05
1180,0.00754156,-2.02743e-06
1190,0.0169302,-3.0336e-05
1200,0.00953223,-1.36956e-05
1210,0.0251547,-2.33008e-05
1220,0.000744183,-3.35199e-05
1230,0.0260044,6.77845e-05
1240,0.0166052,2.5096e-05
1250,-0.031198,-3.55245e-05
1260,-0.0220827,1.44315e-05
1270,0.0234668,-4.72243e-05
1280,-0.00430938,-1.89489e-05
1290,-0.00919085,1.9246e-05
1300,-0.00254184,-2.07698e-05
1310,-0.00739928,-8.61198e-06
1320,-0.00420515,1.20646e-05
1330,-0.0140328,6.1817e-05
1340,0.00504747,-1.67023e-05
1350,0.0068476,-6.75059e-06
1360,0.00653607,6.44625e-05
1370,0.00445222,-3.30684e-05
1380,0.00434541,-2.0689e-05
1390,0.00430001,-5.88241e-06
1400,-0.00797577,4.49172e-06
1410,-0.0360939,-1.87029e-05
1420,-0.00719078,4.46027e-05
1430,0.00699394,-1.96465e-05
1440,0.00218797,8.79141e-06
1450,-0.00716629,7.15923e-05
1460,0.00903689,3.34276e-05
1470,-0.0113553,9.7303e-06
1480,-0.0155716,-2.88203e-05
1490,-0.00572549,1.51507e-05
1500,0.00782177,7.70862e-06
1510,0.0184052,5.64656e-05
1520,-0.0121095,4.90153e-05
1530,-0.00634909,-3.16765e-05
1540,0.0215235,4.23519e-05
1550,0.00681807,4.53138e-05
1560,-0.00821805,2.33584e-05
1570,0.00545123,-6.77242e-06
1580,0.00431817,1.23001e-05
1590,0.0198693,-3.9799e-05
1600,-0.0188843,-1.22018e-05
1610,0.00548757,1.06653e-05
1620,0.00779676,-1.74065e-05
1630,0.00353613,-3.77544e-05
1640,0.00305984,-7.08088e-06
1650,0.000292875,-8.31499e-06
1660,0.00894884,-5.49111e-05
1670,-0.0202226,-1.47056e-06
1680,0.0146555,-2.61108e-05
1690,0.0035721,6.05951e-05
1700,0.000324413,3.636e-05
1710,0.0101118,-2.00762e-05
1720,0.0136778,3.22809e-05
1730,-0.00153516,-4.82246e-05
1740,0.018734,-5.83307e-05
1750,0.000244638,7.31748e-06
1760,0.0140346,4.81056e-05
1770,-0.00865041,5.50873e-05
1780,-0.0217546,8.0707e-06
1790,-0.0156255,5.3776e-05
1800,-0.0100997,2.04981e-05
1810,0.00185018,-2.39393e-05
1820,-0.000821133,1.32137e-06
1830,0.013094,6.89472e-05
1840,0.00521312,5.03252e-05
1850,-0.0150546,2.57838e-05
1860,0.00454721,7.32809e-06
1870,0.00260029,2.38146e-05
1880,-0.00453756,-3.28313e-06
1890,-0.00799494,-1.86012e-05
1900,0.00863647,-5.74088e-05
1910,0.0134808,6.75281e-06
1920,-0.00347719,-5.10977e-06
1930,-0.00868869,-1.52458e-07
1940,0.0192238,-2.48605e-06
1950,-0.0196833,-2.18065e-05
1960,-0.00225702,9.42825e-06
1970,-0.00532239,4.05352e-05
1980,-0.00350144,1.11097e-05
1990,0.00514072,3.95518e-05
2000,0.00995449,-3.29492e-06
2010,-0.0345689,7.70967e-06
2020,0.0224412,-3.12275e-06
2030,0.000950234,-1.2628e-05
2040,-0.0172111,4.55471e-05
2050,-0.0111957,3.08791e-05
2060,-0.0226104,1.57235e-07
2070,-0.0183395,2.03922e-05
2080,-0.0195069,3.47169e-05
2090,0.0199222,-5.36333e-05
2100,-0.0283705,1.43956e-05
2110,0.000561831,-1.60771e-05
2120,-0.00228663,-4.72514e-05
2130,-0.00153377,5.91713e-06
2140,0.0123127,-6.4389e-06
2150,-0.00540025,2.09565e-05
2160,0.00330048,1.85648e-06
2170,-0.0215881,-2.94771e-05
2180,0.0214977,-6.89732e-06
2190,0.0173669,-2.67479e-05
2200,-0.0180588,-2.89988e-05
2210,-0.00199195,-1.2365e-05
2220,0.0187535,-2.35911e-05
2230,-0.0127318,3.33746e-05
2240,-0.0141216,4.42051e-05
2250,0.0196635,-3.27233e-05
2260,0.0243562,-2.33025e-05
2270,0.0103053,-3.87907e-05
2280,0.000933612,1.41028e-06
2290,-0.0057483,-1.09683e-05
2300,0.00355312,-1.48723e-06
2310,0.0136475,3.36259e-05
2320,0.000685582,1.54903e-05
2330,0.0145933,7.30553e-06
2340,0.0144618,-1.54712e-05
2350,0.0135045,6.1264e-05
2360,0.00587835,-2.20945e-05
2370,-0.00556824,-3.20738e-05
2380,0.00487353,-2.43194e-05
2390,-0.0150792,4.8044e-05
2400,-0.0162997,4.82455e-05
2410,-0.0013804,-2.44341e-05
2420,0.00146168,1.61872e-05
2430,0.00788918,-1.87669e-05
2440,-0.0328393,2.70891e-05
2450,0.0259397,1.44149e-05
2460,-0.00591188,-9.13272e-08
2470,0.00811859,1.42006e-05
2480,-0.00551905,2.01399e-05
2490,-0.0117374,-2.25328e-05
2500,-0.00100574,-1.37255e-05
2510,-0.0147891,-1.72797e-05
2520,0.000560871,1.29311e-05
2530,-0.00741038,-2.59916e-05
2540,0.0191051,-5.93274e-05
2550,0.00523032,-1.06644e-05
2560,0.00851152,4.65889e-05
2570,-0.015938,3.38464e-05
2580,0.0117537,-4.34622e-05
2590,-0.0246109,-2.20685e-05
2600,0.0160359,6.17134e-05
2610,-0.00218376,-1.58287e-05
2620,0.0137182,-1.25465e-05
2630,0.000412102,-1.50324e-05
2640,0.0186946,-5.95676e-06
2650,0.00723582,-1.25406e-05
2660,0.0281194,8.02922e-05
2670,0.00410256,2.83154e-05
2680,-0.00544045,-6.09218e-05
2690,0.00660533,-3.38769e-05
2700,0.00530743,-1.24614e-05
2710,0.0179872,2.5907e-05
2720,-0.00107231,-2.37861e-05
2730,-0.0189636,-6.67269e-06
2740,-0.00573565,8.75032e-06
2750,-0.00108852,1.11815e-05
2760,0.00947146,1.07066e-05
2770,-0.0172031,3.79172e-06
2780,0.00244374,-4.82861e-05
2790,0.00856565,-3.08679e-05
2800,-0.00551687,2.54983e-05
2810,0.00222323,-3.09071e-05
2820,0.000241761,-2.52496e-05
2830,0.0137813,-1.56844e-05
2840,0.0187095,-6.54875e-06
2850,0.0193371,7.74147e-05
2860,-0.0169734,1.58722e-05
2870,-0.012971,-7.09095e-06
2880,-0.00438471,-1.15807e-05
2890,-0.0222387,-3.05233e-05
2900,-6.72362e-05,-4.53077e-05
2910,0.00672069,1.42929e-05
2920,-0.00992859,1.12289e-05
2930,-0.0235148,-6.56379e-06
2940,-0.0241182,8.13323e-06
2950,-0.0021901,3.67976e-05
2960,0.0180009,-6.05783e-06
2970,0.0127525,-3.56022e-05
2980,-0.0126698,-3.6966e-05
2990,-0.00979985,2.2191e-05
3000,-0.00972597,-8.71913e-06
3010,0.00530281,-3.25932e-06
3020,0.00366013,9.509e-06
3030,-0.0130244,4.2959e-05
3040,0.0133468,1.91485e-05
3050,0.00446446,1.07556e-05
3060,-0.000925876,4.39657e-06
3070,0.0250831,1.33668e-07
3080,0.0327037,-1.96842e-05
