t,|deltaS|
1,6.655
2,1.466
3,1.498
4,1.034
5,1.313
6,1.568
7,0.8241
8,1.209
9,0.7774
10,0.9836
11,0.792
12,0.3038
13,1.213
14,0.1988
15,0.3554
16,0.7048
17,0.01662
18,0.4604
19,0.07262
20,0.1483
21,0.1111
22,0.5421
23,0.4587
24,0.2273
25,0.2709
26,0.1184
27,0.13
28,0.2198
29,0.1306
30,0.378
31,0.02181
32,0.2091
33,0.2421
34,0.2674
35,0.307
36,0.1896
37,0.2391
38,0.1189
39,0.211
40,0.06001
41,0.2639
42,0.4313
43,0.04458
44,0.1782
45,0.1733
46,0.3126
47,0.1076
48,0.2345
49,0.07237
50,0.1033
51,0.8053
52,0.08226
53,0.1966
54,0.2739
55,0.1875
56,0.07975
57,0.4427
58,0.1208
59,0.109
60,0.05295
61,0.4441
62,0.4682
63,0.1165
64,0.05208
65,0.201
66,0.05442
67,0.3081
68,0.03319
69,0.3458
70,0.4782
71,0.5518
72,0.05018
73,0.4409
74,0.01722
75,0.458
76,0.06844
77,0.1464
78,0.7061
79,0.01769
80,0.6463
81,0.2135
82,0.2747
83,0.5539
84,0.005303
85,0.3533
86,0.216
87,0.2484
88,0.3798
89,0.1824
90,0.4003
91,0.1605
92,0.5232
93,0.2274
94,0.1045
95,0.04517
96,0.1674
97,0.3055
98,0.3829
99,0.2746
100,0.06421
101,0.6195
102,0.06835
103,0.1948
104,0.01504
105,0.0283
106,0.1609
107,0.4202
108,0.1209
109,0.083
110,0.3751
111,0.3513
112,0.144
113,0.2339
114,0.3278
115,0.2846
116,0.04811
117,0.2282
118,0.03312
119,0.1542
120,0.05198
121,0.1057
122,0.04806
123,0.004883
124,0.06477
125,0.4097
126,0.1748
127,0.2447
128,0.1927
129,0.6159
130,0.1871
131,0.05678
132,0.1394
133,0.1271
134,0.3867
135,0.6227
136,0.3368
137,0.09273
138,0.0637
139,0.01632
140,0.02049
141,0.1423
142,0.3434
143,0.005029
144,0.508
145,0.2114
146,0.1954
147,0.06142
148,0.04791
149,0.1557
150,0.2524
151,0.02796
152,0.1716
153,0.02524
154,0.007193
155,0.0712
156,0.1101
157,0.1104
158,0.4529
159,0.0293
160,0.03823
161,0.0131
162,0.1534
163,0.06495
164,0.6625
165,0.5579
166,0.1401
167,0.337
168,0.06619
169,0.2264
170,0.2124
171,0.5139
172,0.0135
