t,G,F1,F2,F3
201,0.23,0.04434,null,null
202,0.2293,0.04469,null,null
203,0.2303,0.04491,null,null
204,0.2325,0.04493,null,null
205,0.2308,0.04442,null,null
206,0.2299,0.04511,null,null
207,0.2301,0.04509,null,null
208,0.2292,0.04535,null,null
209,0.232,0.04509,null,null
210,0.2318,0.04514,null,null
211,0.2317,0.04503,null,null
212,0.2308,0.04498,null,null
213,0.232,0.04531,null,null
214,0.233,0.04612,null,null
215,0.2328,0.04581,null,null
216,0.2334,0.0459,null,null
217,0.2321,0.04515,null,null
218,0.2337,0.04591,null,null
219,0.233,0.04622,null,null
220,0.2327,0.0463,null,null
221,0.2354,0.04721,null,null
222,0.2373,0.04783,null,null
223,0.2408,0.04884,null,null
224,0.2425,0.04873,null,null
225,0.2465,0.0487,null,null
226,0.2474,0.0475,null,null
227,0.2491,0.04819,null,null
228,0.2485,0.0478,null,null
229,0.2499,0.04727,null,null
230,0.2493,0.04742,null,null
231,0.2491,0.04737,null,null
232,0.2485,0.04755,null,null
233,0.2482,0.04741,null,null
234,0.2488,0.0475,null,null
235,0.2486,0.04752,null,null
236,0.2483,0.04789,null,null
237,0.2479,0.04786,null,null
238,0.249,0.04723,null,null
239,0.2498,0.04744,null,null
240,0.2466,0.04763,null,null
241,0.2489,0.04729,null,null
242,0.2505,0.04735,null,null
243,0.2466,0.04705,null,null
244,0.2488,0.04747,null,null
245,0.2495,0.0472,null,null
246,0.2485,0.04722,null,null
247,0.2489,0.04704,null,null
248,0.2496,0.04722,null,null
249,0.248,0.04714,null,null
250,0.2475,0.04727,null,null
251,0.2478,0.04749,null,null
252,0.2481,0.04698,null,null
253,0.2499,0.04718,null,null
254,0.2501,0.04723,null,null
255,0.2491,0.04734,null,null
256,0.2494,0.04704,null,null
257,0.2493,0.04687,null,null
258,0.2488,0.04716,null,null
259,0.25,0.04709,null,null
260,0.2502,0.04665,null,null
261,0.2493,0.04665,null,null
262,0.2503,0.04673,null,null
263,0.2499,0.04691,null,null
264,0.2505,0.04714,null,null
265,0.2507,0.04705,null,null
266,0.2495,0.04687,null,null
267,0.2508,0.04691,null,null
268,0.2493,0.04678,null,null
269,0.2498,0.04717,null,null
270,0.2503,0.04749,null,null
271,0.2498,0.04687,null,null
272,0.2518,0.04698,null,null
273,0.2514,0.04689,null,null
274,0.2491,0.04656,null,null
275,0.2498,0.04695,null,null
276,0.2495,0.04667,null,null
277,0.2497,0.04701,null,null
278,0.251,0.04687,null,null
279,0.2506,0.04748,null,null
280,0.2495,0.04696,null,null
281,0.252,0.04679,null,null
282,0.2494,0.04697,null,null
283,0.2501,0.0467,null,null
284,0.2507,0.04687,null,null
285,0.2504,0.04739,null,null
286,0.2509,0.04753,null,null
287,0.2498,0.04699,null,null
288,0.2501,0.04694,null,null
289,0.2499,0.04708,null,null
290,0.2511,0.0471,null,null
291,0.2495,0.04721,null,null
292,0.2502,0.04702,null,null
293,0.2495,0.04686,null,null
294,0.2501,0.0468,null,null
295,0.2499,0.04712,null,null
296,0.2487,0.04709,null,null
297,0.2491,0.04695,null,null
298,0.2502,0.04701,null,null
299,0.249,0.04685,null,null
300,0.2488,0.04699,null,null
301,0.2506,0.04719,null,null
302,0.2507,0.04695,null,null
303,0.2497,0.0473,null,null
304,0.2507,0.04769,null,null
305,0.2492,0.04697,null,null
306,0.2504,0.04698,null,null
307,0.2497,0.04765,null,null
308,0.2502,0.0472,null,null
309,0.25,0.04716,null,null
310,0.2502,0.04678,null,null
311,0.2499,0.04681,null,null
312,0.2504,0.04693,null,null
313,0.2494,0.04688,null,null
314,0.2487,0.04706,null,null
315,0.2487,0.04681,null,null
316,0.2489,0.04731,null,null
317,0.2487,0.04719,null,null
318,0.2466,0.04692,null,null
319,0.2474,0.04746,null,null
320,0.2482,0.04744,null,null
321,0.2465,0.04713,null,null
322,0.2488,0.04703,null,null
323,0.2483,0.04706,null,null
324,0.2482,0.04721,null,null
325,0.2505,0.04731,null,null
326,0.2469,0.04712,null,null
327,0.2466,0.04718,null,null
328,0.2479,0.04725,null,null
329,0.2478,0.04694,null,null
330,0.2481,0.04709,null,null
331,0.2477,0.04715,null,null
332,0.2487,0.04699,null,null
333,0.2477,0.04743,null,null
334,0.2479,0.04711,null,null
335,0.2485,0.04758,null,null
336,0.249,0.04727,null,null
337,0.2487,0.04666,null,null
338,0.2484,0.04751,null,null
339,0.2497,0.04715,null,null
340,0.2485,0.04686,null,null
341,0.2505,0.04697,null,null
342,0.2488,0.04674,null,null
343,0.2487,0.04764,null,null
344,0.249,0.0474,null,null
345,0.2488,0.04696,null,null
346,0.2503,0.04706,null,null
347,0.2505,0.04701,null,null
348,0.248,0.04672,null,null
349,0.2488,0.04719,null,null
350,0.2486,0.04667,null,null
351,0.249,0.047,null,null
352,0.2486,0.04692,null,null
353,0.2488,0.04692,null,null
354,0.2492,0.04682,null,null
355,0.2493,0.04698,null,null
356,0.2493,0.04724,null,null
357,0.2489,0.04718,null,null
358,0.2485,0.04703,null,null
359,0.2487,0.04682,null,null
360,0.2486,0.04679,null,null
361,0.2489,0.04689,null,null
362,0.2492,0.04699,null,null
363,0.2485,0.04669,null,null
364,0.2486,0.04668,null,null
365,0.2486,0.04684,null,null
366,0.2486,0.04695,null,null
367,0.2494,0.0467,null,null
368,0.2504,0.04733,null,null
369,0.2497,0.04708,null,null
370,0.2493,0.04712,null,null
371,0.2518,0.04719,null,null
372,0.249,0.04698,null,null
373,0.2473,0.04702,null,null
374,0.25,0.04706,null,null
375,0.2494,0.04654,null,null
376,0.2483,0.04681,null,null
377,0.2493,0.04683,null,null
378,0.2481,0.04704,null,null
379,0.2499,0.04725,null,null
380,0.2495,0.0469,null,null
381,0.249,0.04687,null,null
382,0.2512,0.04701,null,null
383,0.2493,0.04688,null,null
384,0.2485,0.04687,null,null
385,0.2486,0.04703,null,null
386,0.2494,0.04695,null,null
387,0.2489,0.04715,null,null
388,0.2486,0.04697,null,null
389,0.2488,0.04688,null,null
390,0.2483,0.04664,null,null
391,0.2505,0.04679,null,null
392,0.2498,0.04676,null,null
393,0.2499,0.04668,null,null
394,0.2504,0.04701,null,null
395,0.2488,0.04697,null,null
396,0.249,0.04722,null,null
397,0.2498,0.04724,null,null
398,0.2496,0.04724,null,null
399,0.2497,0.0468,null,null
400,0.2485,0.04692,null,null
401,0.2497,0.04683,null,null
402,0.2502,0.04692,null,null
403,0.2508,0.04679,null,null
404,0.2498,0.04694,null,null
405,0.2483,0.04691,null,null
406,0.2505,0.04702,null,null
407,0.2488,0.04696,null,null
408,0.2523,0.04684,null,null
409,0.2496,0.04712,null,null
410,0.2498,0.04715,null,null
411,0.2498,0.04708,null,null
412,0.2494,0.04696,null,null
413,0.2489,0.04679,null,null
414,0.2497,0.04697,null,null
415,0.249,0.04713,null,null
416,0.2507,0.04742,null,null
417,0.2501,0.04678,null,null
418,0.2513,0.04684,null,null
419,0.2494,0.04679,null,null
420,0.2489,0.04663,null,null
421,0.2506,0.04687,null,null
422,0.2497,0.04714,null,null
423,0.2501,0.04675,null,null
424,0.2506,0.04676,null,null
425,0.2508,0.04716,null,null
426,0.25,0.04676,null,null
427,0.2507,0.04707,null,null
428,0.2506,0.04723,null,null
429,0.2517,0.047,null,null
430,0.2494,0.04679,null,null
431,0.2506,0.0467,null,null
432,0.2499,0.04667,null,null
433,0.2504,0.04674,null,null
434,0.2496,0.04692,null,null
435,0.2505,0.04713,null,null
436,0.2493,0.04677,null,null
437,0.25,0.04662,null,null
438,0.2526,0.04712,null,null
439,0.2494,0.04654,null,null
440,0.2513,0.04708,null,null
441,0.2487,0.04673,null,null
442,0.2494,0.04684,null,null
443,0.2509,0.04673,null,null
444,0.2498,0.04667,null,null
445,0.2509,0.04669,null,null
446,0.2513,0.04668,null,null
447,0.2513,0.04684,null,null
448,0.2502,0.04678,null,null
449,0.2504,0.04695,null,null
450,0.2501,0.04722,null,null
451,0.2498,0.04641,null,null
452,0.2501,0.04699,null,null
453,0.2511,0.04699,null,null
454,0.2505,0.04689,null,null
455,0.2497,0.04695,null,null
456,0.2497,0.04661,null,null
457,0.2501,0.04697,null,null
458,0.2498,0.04669,null,null
459,0.2514,0.047,null,null
460,0.2515,0.04737,null,null
461,0.2507,0.04686,null,null
462,0.2513,0.04719,null,null
463,0.2508,0.04655,null,null
464,0.2494,0.04717,null,null
465,0.2498,0.04687,null,null
466,0.2494,0.04705,null,null
467,0.2524,0.04682,null,null
468,0.2519,0.04712,null,null
469,0.2497,0.04653,null,null
470,0.2503,0.04707,null,null
471,0.2527,0.04696,null,null
472,0.2517,0.04689,null,null
473,0.2499,0.04704,null,null
474,0.2508,0.04701,null,null
475,0.2509,0.04691,null,null
476,0.2497,0.04698,null,null
477,0.2497,0.04667,null,null
478,0.2499,0.04709,null,null
479,0.2513,0.04661,null,null
480,0.2505,0.04675,null,null
481,0.2526,0.04705,null,null
482,0.2498,0.04696,null,null
483,0.2496,0.0471,null,null
484,0.2488,0.04697,null,null
485,0.2503,0.04699,null,null
486,0.2505,0.04687,null,null
487,0.2498,0.04691,null,null
488,0.2494,0.04715,null,null
489,0.2492,0.04703,null,null
490,0.2495,0.04725,null,null
491,0.2489,0.04711,null,null
492,0.2501,0.04676,null,null
493,0.2501,0.04711,null,null
494,0.2515,0.04669,null,null
495,0.2491,0.04681,null,null
496,0.25,0.04744,null,null
497,0.25,0.0471,null,null
498,0.2497,0.0467,null,null
499,0.2488,0.04702,null,null
500,0.2481,0.04708,null,null
