t,cost
10,5.7048
20,5.5668
30,5.505
40,5.5332
50,5.493
60,5.394
70,5.4282
80,5.4684
90,5.3388
100,5.286
110,5.3118
120,5.3502
130,5.3022
140,5.2188
150,5.1726
160,5.1312
170,5.1126
180,5.0622
190,5.0166
200,4.986
210,4.9512
220,4.8558
230,5.1378
240,5.6814
250,5.8068
260,5.8068
270,5.7996
280,5.7948
290,5.784
300,5.784
310,5.7954
320,5.8248
330,5.805
340,5.7984
350,5.7624
360,5.7912
370,5.766
380,5.7702
390,5.7828
400,5.8194
410,5.832
420,5.8158
430,5.8122
440,5.7552
450,5.7684
460,5.8092
470,5.7738
480,5.7846
490,5.7744
500,5.763
