MDTU,S_B
1,1.00253
2,0.999454
3,0.999454
4,1.00527
5,1.00527
6,0.995121
7,0.995005
8,0.994428
9,0.992408
10,0.992408
11,1.00207
12,1.00207
13,0.99708
14,0.99708
15,0.99708
16,0.992865
17,0.992865
18,1.00004
19,1.00779
20,1.00779
21,1.00779
22,1.00779
23,1.00779
24,1.00779
25,1.00779
26,1.00779
27,1.00229
28,1.00229
29,1.00229
30,0.999353
31,0.999353
32,0.994624
33,0.99476
34,0.991432
35,0.991063
36,0.991063
37,0.991063
38,0.986768
39,0.993279
40,0.993279
41,0.993279
42,0.989857
43,0.994767
44,0.99791
45,0.99791
46,0.99791
47,0.99791
48,0.993681
49,0.993681
50,0.993681
51,0.993681
52,0.99999
53,0.998492
54,1.00528
55,1.00528
56,0.9896
57,0.994906
58,0.99051
59,0.99703
60,0.998998
61,1.00369
62,0.99583
63,0.998406
64,0.998406
65,0.998406
66,0.998406
67,1.00052
68,0.995861
69,1.00231
70,1.00165
71,0.998373
72,1.00361
73,0.993982
74,0.993982
75,0.997665
76,0.996518
77,0.998561
78,0.998561
79,0.998561
80,0.999418
81,0.995811
82,0.995811
83,0.999795
84,1.00216
85,1.00216
86,1.00216
87,0.999958
88,0.992676
89,0.99678
90,0.99678
91,0.99318
92,0.99318
93,0.990012
94,0.990012
95,0.9894
96,0.991827
97,0.991827
98,1.00122
99,0.99651
100,0.992211
101,0.991088
102,0.998158
103,0.990029
104,0.986577
105,0.986577
106,0.9909
107,0.993748
108,0.993748
109,0.993748
110,0.992702
111,0.992702
112,1.00695
113,0.993018
114,0.989368
115,0.996839
116,0.99066
117,0.99066
118,0.989022
119,0.989022
120,0.989022
121,1.00546
122,0.993618
123,0.991266
124,0.990035
125,0.99946
126,0.99887
127,1.00368
128,0.996729
129,0.99243
130,0.995717
131,1.00523
132,0.996018
133,0.994938
134,0.994938
135,0.994222
136,1.00049
137,1.00484
138,0.994257
139,0.992102
140,0.993039
141,0.993039
142,1.00162
143,0.996939
144,1.00007
145,0.991479
146,1.00064
147,0.995199
148,0.995199
149,0.995402
150,0.985377
151,0.985377
152,0.998564
153,0.991492
154,0.99912
155,0.997492
156,0.997492
157,0.997492
158,0.997492
159,0.996886
160,0.994997
161,0.997349
162,1.0009
163,1.00539
164,1.00143
165,0.991271
166,1.00221
167,1.00221
168,1.00436
169,1.00436
170,1.00436
171,1.00436
172,1.00011
173,1.00011
174,0.998948
175,0.987484
176,0.98764
177,0.995252
178,0.995252
179,0.995252
180,1.01114
181,1.0102
182,1.0102
183,1.00095
184,1.00095
185,0.993797
186,0.997977
187,0.997977
188,0.997977
189,0.991443
190,0.991443
191,0.990817
192,0.990817
193,0.987903
194,1.00077
195,0.995207
196,0.985821
197,0.985821
198,0.985821
199,0.986701
200,0.994869
201,0.994869
202,0.994869
203,0.992918
204,1.0009
205,0.998496
206,0.998496
207,0.992767
208,0.978679
209,0.995266
210,0.995266
211,0.979567
212,0.978277
213,0.992477
214,0.992477
215,0.992477
216,0.992477
217,0.99317
218,0.980185
219,0.980341
220,0.9819
