t,deltaS
1,-1.005
2,-0.5631
3,1.162
4,-0.4512
5,1.977
6,0.3789
7,0.521
8,-0.941
9,-0.1451
10,1.658
11,-0.2302
12,0.1576
13,0.4974
14,1.077
15,1.163
16,-1.547
17,1.663
18,0.4759
19,0.6856
20,1.955
21,1.963
22,2.433
23,0.7636
24,1.922
25,1.893
26,0.384
27,-2.343
28,2.604
29,2.081
30,0.2442
31,1.32
32,0.2056
33,0.8401
34,0.7128
35,0.7559
36,1.446
37,1.209
38,-1.545
39,-0.04111
40,2.113
41,0.6119
42,0.8097
43,-0.5685
44,-1.006
45,0.8209
46,1.743
47,1.783
48,0.2495
49,1.341
50,1.217
51,1.223
52,-1.096
53,0.8093
54,-0.2562
55,1.562
56,-0.07711
57,0.01891
58,-0.316
59,-0.0548
60,1.094
61,-1.298
62,1.423
63,-0.3214
64,0.4778
65,0.9555
66,2.365
67,-0.4459
68,0.1533
69,-0.6259
70,0.9894
71,0.301
72,1.277
73,-0.3454
74,1.814
75,-0.1665
76,1.296
77,-0.7335
78,1.122
79,0.7311
80,0.02923
81,0.8758
82,1.167
83,-0.5785
84,0.3341
85,1.604
86,2.671
87,-0.3758
88,0.3485
89,0.6346
90,1.484
91,-3.036
92,1.146
93,-1.58
94,0.6936
95,-0.5531
96,0.5257
97,0.4999
98,-0.7493
99,0.381
100,1.03
101,0.3426
102,0.3773
103,-0.006316
104,0.2001
105,0.5449
106,-0.08925
107,-0.9862
108,1.814
109,0.8335
110,0.44
111,0.7647
112,0.249
113,0.434
114,0.4331
115,-0.7093
116,0.4559
117,0.5593
118,0.08151
119,1.332
120,1.73
121,-1.378
122,0.6292
123,-0.7761
124,0.03018
125,-0.9891
126,-0.06188
127,0.8789
128,0.2623
129,-0.4832
130,1.077
131,-0.07314
132,0.8685
133,0.8085
134,1.168
135,0.1631
136,0.1317
137,0.4308
138,-0.6244
139,0.3991
140,-0.8707
141,0.6358
142,-1.177
143,0.4875
144,0.4136
145,-0.8808
146,-0.9486
147,0.459
148,0.7405
149,0.623
150,-0.1331
151,2.213
152,0.7558
153,-0.08463
154,-0.4797
155,-0.2691
156,0.7873
157,1.249
158,1.761
159,-0.5953
160,-0.102
161,-0.9852
162,-0.2154
163,0.07764
164,-0.6981
165,0.7083
166,0.2118
167,1.034
168,-0.1461
169,2.706
170,1.951
171,1.957
172,0.7134
173,0.6958
174,-0.6739
175,-1.58
176,-0.4389
177,-0.4866
178,1.216
179,2.219
180,-1.189
181,0.3336
182,0.6832
183,0.5686
184,2.029
185,0.2258
186,0.1121
187,1.15
188,1.589
189,0.4828
190,0.6126
191,-0.8842
192,0.7041
193,-0.662
194,1.096
195,0.06828
196,1.236
197,1.444
198,0.1862
199,0.5732
200,0.2531
201,1.547
202,2.308
203,0.5665
204,-0.5698
205,0.108
206,1.783
207,0.4284
208,0.2036
209,0.1523
210,1.143
211,0.8307
212,0.01266
213,0.2229
214,2.782
215,1.416
216,2.357
217,-0.7933
218,-0.7458
219,0.02132
220,-0.1291
221,-0.2949
222,-1.435
223,0.6885
224,-0.9128
225,-0.6451
226,5.833
227,-2.224
228,7.024
229,7.036
230,3.628
231,5.77
232,4.361
233,8.667
234,8.536
235,5.083
236,4.903
237,8.26
238,2.845
239,11.97
240,8.643
241,1.81
242,5.692
243,6.181
244,12.76
245,6.477
246,8.093
247,10.81
248,7.405
249,8.515
250,3.003
251,8.56
252,3.444
253,8.448
254,2.176
255,-0.1858
256,13.3
257,6.555
258,2.726
259,-0.3068
260,3.056
261,6.301
262,11.39
263,10.35
264,16.76
265,13.98
266,9.017
267,7.853
268,7.323
269,3.325
270,2.204
271,7.074
272,10.04
273,10.69
274,4.183
275,2.962
276,10.28
277,5.95
278,10.74
279,5.862
280,11.62
281,2.152
282,0.7163
283,1.985
284,1.523
285,11.14
286,15.18
287,8.034
288,5.212
289,4.834
290,-7.383
291,7.688
292,12.58
293,9.342
294,10.31
295,7.99
296,5.615
297,4.768
298,9.31
299,3.478
300,5.856
301,10.11
302,5.737
303,0.7733
304,8.973
305,10.64
306,12.39
307,11.23
308,11.89
309,11.92
310,7.629
311,4.448
312,14.39
313,7.483
314,-3.08
315,1.809
316,6.284
317,9.936
318,12.44
319,10.51
320,9.385
321,11.17
322,7.692
323,12.39
324,6.449
325,2.301
326,11.86
327,4.23
328,5.449
329,10.02
330,1.287
331,10.22
332,5.528
333,-0.7948
334,11.12
335,16.69
336,0.1866
337,4.298
338,6.684
339,3.47
340,8.024
341,2.796
342,3.782
343,5.662
344,15.27
345,5.2
346,9.117
347,5.675
348,11.79
349,2.989
350,8.411
351,6.364
352,13.71
353,8.975
354,5.214
355,17.15
356,6.866
357,6.264
358,5.769
359,9.362
360,15.21
361,12.4
362,6.868
363,12.23
364,10.24
365,0.76
366,13.17
367,7.49
368,12.07
369,5.085
370,7.908
371,1.434
372,8.965
373,6.739
374,9.078
375,7.119
376,1.226
377,10.29
378,11.94
379,6.672
380,7.509
381,5.394
382,16.43
383,-0.956
384,-0.03396
385,9.033
386,4.36
387,5.501
388,3.224
389,14.06
