t,N_f,N_g
10,50,1000
20,50,1000
30,50,1000
40,50,1000
50,50,1000
60,50,1000
70,50,1000
80,50,1000
90,50,1000
100,50,1000
110,50,1000
120,50,1000
130,50,1000
140,50,1000
150,50,1000
160,50,1000
170,50,1000
180,50,1000
190,50,1000
200,50,1000
210,50,1000
220,50,1000
230,50,1000
240,50,1000
250,50,1000
260,50,1000
270,50,1000
280,50,1000
290,50,1000
300,50,1000
310,50,1000
320,50,1000
330,50,1000
340,50,1000
350,50,1000
360,50,1000
370,50,1000
380,50,1000
390,50,1000
400,50,1000
410,50,1000
420,50,1000
430,50,1000
440,50,1000
450,50,1000
460,50,1000
470,50,1000
480,50,1000
490,50,1000
500,50,1000
