MDTU,plaq,Re(det),Im(det),link
3135,0.0210025,9.41183e-23,2.06327e-23,0.983275
3136,0.0210025,9.41183e-23,2.06327e-23,0.983275
3137,0.0204842,1.62482e-23,5.74186e-24,0.984803
3138,0.0189317,6.43142e-23,1.59798e-23,0.984348
3139,0.0189317,6.43142e-23,1.59798e-23,0.984348
3140,0.0189317,6.43142e-23,1.59798e-23,0.984348
3141,0.0189317,6.43142e-23,1.59798e-23,0.984348
3142,0.0205364,4.69874e-23,1.51328e-23,0.978247
3143,0.0240725,2.67351e-23,1.50492e-23,0.981903
3144,0.030731,2.96638e-23,1.21327e-23,0.982946
3145,0.018234,1.52475e-23,9.51104e-24,0.989701
3146,0.0226523,3.07433e-23,1.35769e-23,0.992515
3147,0.0226523,3.07433e-23,1.35769e-23,0.992515
3148,0.0193653,1.59206e-23,5.63292e-24,0.983868
3149,0.025387,1.57279e-22,5.55714e-23,0.976778
3150,0.0244839,7.18043e-23,3.03868e-23,0.984009
3151,0.0203629,1.35395e-23,9.81177e-24,0.970976
3152,0.0203629,1.35395e-23,9.81177e-24,0.970976
3153,0.017721,3.00516e-23,1.08123e-23,0.986355
3154,0.017721,3.00516e-23,1.08123e-23,0.986355
3155,0.0235797,4.13525e-23,1.94271e-23,0.971899
3156,0.0249593,2.97432e-23,1.92948e-23,0.965216
3157,0.0212249,5.74085e-23,2.29736e-23,0.975893
3158,0.0212249,5.74085e-23,2.29736e-23,0.975893
3159,0.0180726,3.6669e-23,1.40427e-23,0.981188
3160,0.022124,3.43777e-23,1.84853e-23,0.975925
3161,0.0221846,4.66789e-23,2.90003e-23,0.978727
3162,0.0221846,4.66789e-23,2.90003e-23,0.978727
3163,0.0183592,1.5275e-23,9.58172e-24,0.968214
3164,0.0191532,1.02945e-23,5.16802e-24,0.971291
3165,0.0209485,3.31992e-23,2.31355e-23,0.979167
3166,0.0209485,3.31992e-23,2.31355e-23,0.979167
3167,0.0247593,3.0734e-23,1.04869e-23,0.96944
3168,0.0214018,1.99119e-23,1.45322e-23,0.980242
3169,0.0217104,8.46739e-23,2.85794e-23,0.967987
3170,0.0217104,8.46739e-23,2.85794e-23,0.967987
3171,0.0271348,8.35532e-23,3.0006e-23,0.975391
3172,0.0227554,7.67494e-23,1.62703e-23,0.975246
3173,0.0227554,7.67494e-23,1.62703e-23,0.975246
3174,0.0262877,2.59993e-22,6.09104e-23,0.967755
3175,0.0235721,2.73174e-23,9.45711e-24,0.962734
3176,0.0229857,3.76698e-23,1.87533e-23,0.975099
3177,0.0189481,1.38118e-23,8.69322e-24,0.978073
3178,0.0212997,2.72262e-23,8.82294e-24,0.970401
3179,0.0212997,2.72262e-23,8.82294e-24,0.970401
3180,0.0181883,3.62502e-23,1.94528e-23,0.979035
3181,0.0139467,2.85064e-23,1.64785e-23,0.97422
3182,0.0201098,1.51556e-23,5.81611e-24,0.9865
3183,0.0192326,3.1956e-23,1.49446e-23,0.989017
3184,0.0201229,9.15614e-23,3.02051e-23,0.990515
3185,0.0132557,5.48157e-24,4.30715e-24,0.99139
3186,0.0132557,5.48157e-24,4.30715e-24,0.99139
3187,0.0193754,7.30248e-23,2.49124e-23,0.98248
3188,0.0194893,6.2986e-23,1.89409e-23,0.981558
3189,0.0194893,6.2986e-23,1.89409e-23,0.981558
3190,0.0220955,1.10667e-22,4.5699e-23,0.983464
3191,0.0204886,2.25018e-23,1.00804e-23,0.979773
3192,0.0200881,1.59803e-23,7.6274e-24,0.969961
3193,0.0283323,3.06901e-23,1.05948e-23,0.969103
3194,0.0195757,5.67714e-24,2.42356e-24,0.983571
3195,0.0172041,9.1556e-24,5.451e-24,0.971182
3196,0.0243195,2.94057e-23,1.17264e-23,0.961281
3197,0.0152533,1.22866e-23,5.6013e-24,0.953919
3198,0.0172877,3.35478e-23,1.12002e-23,0.963808
3199,0.0191892,4.26128e-23,1.74321e-23,0.967764
3200,0.0223292,7.87459e-24,3.43924e-24,0.969041
3201,0.0223292,7.87459e-24,3.43924e-24,0.969041
3202,0.0230619,2.26474e-23,1.15385e-23,0.976117
3203,0.0204693,1.53485e-23,9.11513e-24,0.978523
3204,0.0213281,3.89227e-23,1.38871e-23,0.969059
3205,0.021596,2.03432e-23,8.61127e-24,0.986598
3206,0.0182823,4.60326e-23,2.19098e-23,0.984725
3207,0.0201682,1.88852e-23,5.44376e-24,0.998765
3208,0.0192432,3.74566e-23,1.29202e-23,0.983197
3209,0.0223598,2.97024e-23,1.21125e-23,0.97993
3210,0.0246306,1.54476e-23,1.15456e-23,0.991274
3211,0.0279589,5.98738e-23,4.18858e-23,0.992979
3212,0.0279589,5.98738e-23,4.18858e-23,0.992979
3213,0.0200757,5.611e-23,2.11835e-23,0.995658
3214,0.0235047,5.08731e-23,1.82172e-23,0.987561
3215,0.0235047,5.08731e-23,1.82172e-23,0.987561
3216,0.0188462,1.86785e-23,9.58644e-24,0.985253
3217,0.0244594,2.28196e-23,1.20898e-23,0.988111
3218,0.0263023,3.25682e-23,1.44797e-23,0.979463
3219,0.018663,2.55188e-23,1.03999e-23,0.987687
3220,0.0150229,3.88355e-23,1.42451e-23,0.989127
3221,0.0250616,9.31217e-23,3.06141e-23,0.991599
3222,0.0254501,1.96244e-23,1.0272e-23,0.984967
3223,0.0230774,1.68558e-23,7.75245e-24,0.985571
3224,0.030835,3.6137e-23,2.39235e-23,0.983098
3225,0.030835,3.6137e-23,2.39235e-23,0.983098
3226,0.0212773,6.12545e-24,3.52957e-24,0.988843
3227,0.0155684,3.10354e-23,1.38481e-23,0.993885
3228,0.0213998,4.7555e-23,1.88164e-23,0.992516
3229,0.0213998,4.7555e-23,1.88164e-23,0.992516
3230,0.0236871,3.48195e-23,1.72976e-23,0.977685
3231,0.0265641,1.1245e-22,4.00467e-23,0.979278
3232,0.0182012,1.22132e-23,7.56511e-24,0.974842
3233,0.0212552,1.77434e-23,5.95522e-24,0.968239
3234,0.0192526,1.57368e-23,7.52878e-24,0.961078
3235,0.0234447,6.38579e-23,2.10562e-23,0.972796
3236,0.019122,1.26287e-23,7.68982e-24,0.965275
3237,0.0203877,5.34233e-23,2.41991e-23,0.963749
3238,0.0184169,5.49366e-23,1.80969e-23,0.97503
3239,0.0298774,7.80052e-23,3.03227e-23,0.9724
3240,0.0188809,2.81384e-23,1.41921e-23,0.967857
3241,0.0258299,5.46924e-22,1.51392e-22,0.972388
3242,0.0238643,1.08105e-22,1.43663e-23,0.965313
3243,0.0238643,1.08105e-22,1.43663e-23,0.965313
3244,0.0220596,2.38192e-23,1.25753e-23,0.961782
3245,0.0246248,7.56596e-24,5.70899e-24,0.960652
3246,0.0173143,1.44956e-23,8.7184e-24,0.959256
3247,0.0173143,1.44956e-23,8.7184e-24,0.959256
3248,0.0172685,3.42346e-23,1.13105e-23,0.973219
3249,0.0244157,5.17537e-23,3.07303e-23,0.971883
3250,0.0244157,5.17537e-23,3.07303e-23,0.971883
3251,0.0254573,3.67363e-23,1.09892e-23,0.96549
3252,0.0170967,1.9851e-23,1.34902e-23,0.985514
3253,0.0187148,1.3066e-22,3.31368e-23,0.975066
3254,0.0224012,4.40628e-23,1.68794e-23,0.983757
3255,0.02794,7.76252e-23,3.41099e-23,0.969153
3256,0.0250953,1.5345e-23,7.74088e-24,0.976941
3257,0.0250953,1.5345e-23,7.74088e-24,0.976941
3258,0.023702,6.79349e-23,1.73541e-23,0.983138
3259,0.0287596,2.72137e-23,1.41524e-23,0.985141
3260,0.0218605,1.63896e-23,7.85487e-24,0.992388
3261,0.0231193,6.14745e-23,2.22975e-23,0.987136
3262,0.0193962,1.87907e-23,7.50381e-24,0.978604
3263,0.0250503,1.83898e-22,6.33171e-23,0.975222
3264,0.0250503,1.83898e-22,6.33171e-23,0.975222
3265,0.0201658,2.27979e-23,1.26706e-23,0.98535
3266,0.0201658,2.27979e-23,1.26706e-23,0.98535
3267,0.0201658,2.27979e-23,1.26706e-23,0.98535
3268,0.0193808,1.4844e-23,8.55884e-24,0.98919
3269,0.0193808,1.4844e-23,8.55884e-24,0.98919
3270,0.0184206,4.18305e-24,2.55528e-24,0.984068
3271,0.0236189,1.73289e-23,4.65106e-24,0.984694
3272,0.0230901,9.83024e-23,2.19797e-23,0.988011
3273,0.0264521,7.23071e-23,3.85202e-23,0.984516
3274,0.0196768,1.99905e-23,7.36187e-24,0.979839
3275,0.0196768,1.99905e-23,7.36187e-24,0.979839
3276,0.0248701,5.32197e-23,1.82147e-23,0.988501
3277,0.0248701,5.32197e-23,1.82147e-23,0.988501
3278,0.0209237,2.05559e-23,8.92244e-24,0.986196
3279,0.0187316,2.84399e-23,1.11149e-23,0.978143
3280,0.0187316,2.84399e-23,1.11149e-23,0.978143
3281,0.0308782,3.15918e-23,1.09491e-23,0.984497
3282,0.0246908,7.1873e-23,1.78047e-23,0.978757
3283,0.0179974,6.42854e-23,1.87285e-23,0.974893
3284,0.0211848,5.17006e-23,1.79287e-23,0.981767
3285,0.0152355,1.03023e-23,5.04033e-24,0.99379
3286,0.0190634,1.57274e-23,8.22235e-24,0.985667
3287,0.0190634,1.57274e-23,8.22235e-24,0.985667
3288,0.0190634,1.57274e-23,8.22235e-24,0.985667
3289,0.0190634,1.57274e-23,8.22235e-24,0.985667
3290,0.0228527,1.26601e-22,3.13358e-23,0.988383
3291,0.0206105,6.08134e-23,1.63533e-23,0.994328
3292,0.0206105,6.08134e-23,1.63533e-23,0.994328
3293,0.0206105,6.08134e-23,1.63533e-23,0.994328
3294,0.0226665,3.15046e-23,1.22934e-23,0.986309
3295,0.0195012,1.52724e-23,6.83311e-24,0.976224
3296,0.0288592,5.78963e-23,2.81061e-23,0.976788
3297,0.0231889,4.19911e-23,1.38231e-23,0.975162
3298,0.0256177,4.79054e-23,1.97405e-23,0.994503
3299,0.02671,2.13991e-22,6.9765e-23,0.981668
3300,0.0274463,5.64326e-23,2.04609e-23,0.988912
3301,0.0239293,1.54425e-23,7.31741e-24,0.985783
3302,0.0239293,1.54425e-23,7.31741e-24,0.985783
3303,0.0248043,4.91235e-23,3.11472e-23,0.987707
3304,0.0236192,1.65598e-22,3.6473e-23,0.983294
3305,0.02429,1.2163e-23,5.46589e-24,0.972751
3306,0.0177097,5.02292e-23,1.14768e-23,0.976428
3307,0.0177097,5.02292e-23,1.14768e-23,0.976428
3308,0.0177097,5.02292e-23,1.14768e-23,0.976428
3309,0.0315087,4.01495e-23,1.51833e-23,0.970878
3310,0.0138415,1.07275e-23,4.70977e-24,0.972811
3311,0.0164247,2.13495e-23,8.50935e-24,0.974006
3312,0.0243469,9.77711e-23,3.96506e-23,0.977324
3313,0.0203693,2.32536e-23,8.16069e-24,0.975908
3314,0.0165798,6.23406e-23,1.88278e-23,0.972891
3315,0.0217616,4.57837e-23,1.92888e-23,0.985106
3316,0.0256985,2.00298e-23,8.92169e-24,0.970272
3317,0.0204807,4.39053e-23,2.25577e-23,0.973046
3318,0.0213345,1.00246e-22,3.47487e-23,0.979054
3319,0.02296,4.14354e-24,2.57891e-24,0.966204
3320,0.0210449,1.85452e-23,1.20371e-23,0.977704
3321,0.0186809,3.27363e-23,1.607e-23,0.984432
3322,0.0186809,3.27363e-23,1.607e-23,0.984432
3323,0.0285796,5.00448e-23,2.06272e-23,0.982677
3324,0.0267011,7.9247e-23,3.10284e-23,0.981126
3325,0.0267011,7.9247e-23,3.10284e-23,0.981126
3326,0.0243393,3.14611e-23,2.08219e-23,0.979617
3327,0.0199106,9.3989e-24,5.92634e-24,0.991303
3328,0.0218631,3.35178e-23,1.5324e-23,0.983039
3329,0.0315716,1.21029e-22,4.02623e-23,0.986487
3330,0.0163429,7.38813e-23,3.25188e-23,0.988664
3331,0.0269058,4.32968e-23,2.1878e-23,0.985517
3332,0.0223389,3.41344e-23,1.53428e-23,0.984871
3333,0.022263,4.21228e-23,2.41698e-23,0.979268
3334,0.0186428,1.57128e-23,8.25745e-24,0.982076
3335,0.016477,5.15426e-23,1.63767e-23,0.982302
3336,0.0173164,8.69212e-24,4.23413e-24,0.980696
3337,0.0232333,5.30365e-23,2.1438e-23,0.986596
3338,0.0165117,3.66033e-23,1.20975e-23,0.991318
3339,0.0165117,3.66033e-23,1.20975e-23,0.991318
3340,0.0158674,1.77922e-23,8.3936e-24,0.996162
3341,0.0189187,5.1007e-23,1.88492e-23,0.989537
3342,0.0228621,5.33423e-23,2.0872e-23,0.979574
3343,0.0228621,5.33423e-23,2.0872e-23,0.979574
3344,0.0225857,1.17358e-22,3.58515e-23,0.980295
3345,0.020705,5.85303e-23,1.99183e-23,0.967621
3346,0.0284094,6.56417e-23,1.65567e-23,0.978995
3347,0.0209299,4.03413e-23,1.45228e-23,0.9762
3348,0.0209299,4.03413e-23,1.45228e-23,0.9762
3349,0.0194575,1.82774e-23,7.2497e-24,0.984126
3350,0.0216151,3.5599e-23,1.27307e-23,0.985964
3351,0.0216151,3.5599e-23,1.27307e-23,0.985964
3352,0.0262067,5.19082e-23,2.21096e-23,0.98776
3353,0.0227261,1.98287e-23,1.10613e-23,0.991993
3354,0.0227261,1.98287e-23,1.10613e-23,0.991993
3355,0.019386,6.41476e-23,3.62972e-23,0.984494
3356,0.0170915,3.44654e-23,1.63849e-23,0.970811
3357,0.0173561,1.62067e-23,5.37006e-24,0.978744
3358,0.0217537,1.54901e-23,9.11048e-24,0.983535
3359,0.0218926,4.28846e-23,1.66143e-23,0.962523
3360,0.0218926,4.28846e-23,1.66143e-23,0.962523
3361,0.0213573,9.21673e-24,4.78471e-24,0.96603
