t,|deltaS|
1,0.4866
2,0.007498
3,0.3969
4,0.3411
5,0.5839
6,0.8732
7,0.07645
8,0.276
9,0.02451
10,2.997e-05
11,0.03401
12,0.4091
13,0.06281
14,0.4962
15,0.05888
16,0.0371
17,1.025
18,0.04573
19,0.5981
20,0.3126
21,0.3386
22,0.2288
23,0.7308
24,0.2352
25,0.9022
26,0.5154
27,0.06383
28,0.4046
29,0.4247
30,0.3741
31,0.2439
32,0.456
33,0.9735
34,0.001264
35,0.05263
36,0.721
37,0.5977
38,0.1688
39,0.1332
40,0.4516
41,0.3795
42,0.3014
43,0.06624
44,0.3663
45,0.169
46,0.08458
47,0.4332
48,1.012
49,0.5043
50,1.105
51,0.1751
52,0.0709
53,0.1371
54,0.4764
55,0.7097
56,0.5889
57,0.3269
58,0.0733
59,0.5639
60,0.1213
61,0.3568
62,0.1371
63,0.4204
64,0.5482
65,0.7898
66,0.6914
67,0.1491
68,0.5685
69,0.1977
70,1.048
71,0.6923
72,0.0323
73,0.4986
74,0.1449
75,0.2919
76,0.3448
77,0.2711
78,0.8162
79,0.6079
80,0.4928
81,0.6537
82,0.1179
83,0.07708
84,0.352
85,0.238
86,0.6641
87,0.06466
88,0.4203
89,0.6139
90,0.2458
91,0.5435
92,0.04656
93,0.978
94,0.4293
95,0.05575
96,0.2483
97,0.2262
98,0.6991
99,1.075
100,0.008549
101,1.254
102,0.5992
103,0.08635
104,0.2719
105,0.02226
106,0.09446
107,0.4705
108,0.03514
109,0.2297
110,0.2272
111,0.4652
112,0.1007
113,0.2819
114,0.173
115,0.07589
116,0.0531
117,0.2221
118,0.8072
119,0.4036
120,0.5453
121,0.4852
122,0.05659
123,0.1856
124,0.02076
125,0.2367
126,1.168
127,0.2755
128,0.3793
129,0.5103
130,0.1895
131,0.4758
132,0.2778
133,0.1046
134,0.5856
135,0.06748
136,0.1967
137,0.3667
138,0.06176
139,0.4792
140,0.1512
141,0.07379
142,0.6421
143,0.3357
144,0.4419
145,0.07553
146,0.2246
147,0.8469
148,0.5173
149,0.4615
150,0.8336
151,0.1631
152,0.2053
153,0.4606
154,0.6678
155,0.8871
156,0.03833
157,0.7965
158,0.5114
159,1.071
160,1.069
161,0.4137
162,0.007845
163,0.1682
164,1.141
165,1.385
166,0.1967
167,0.008029
168,0.4709
169,0.07688
170,0.2898
171,0.3952
172,0.1044
173,0.2542
174,0.4245
175,0.0973
176,0.2444
177,0.0128
178,0.9082
179,0.4902
180,0.2972
181,0.4839
