MDTU,0,2,4,6,8,10
10,0.027927,0.0279912,0.0289413,0.0293801,0.0294773,0.0299427
20,0.0226771,0.0228346,0.0236722,0.0238429,0.0241118,0.0241887
30,0.0216622,0.0217657,0.0237307,0.023919,0.0242359,0.024486
40,0.0226184,0.022702,0.0240892,0.0244299,0.026121,0.0266595
50,0.0227452,0.0229489,0.0236907,0.0238806,0.0248959,0.0251792
60,0.0233097,0.0236831,0.0248202,0.0248659,0.0256419,0.0261243
70,0.0243736,0.0244405,0.0254238,0.0255433,0.0263582,0.0265526
80,0.0216577,0.0223679,0.0240865,0.0243872,0.0258672,0.0262577
90,0.0227107,0.0229544,0.0241314,0.0242254,0.0250119,0.0254607
100,0.0220487,0.0222933,0.023346,0.0236405,0.0247763,0.0249178
110,0.0236422,0.0240576,0.0254521,0.0260919,0.0267163,0.0272465
120,0.0254185,0.0254864,0.0265548,0.0265744,0.0269638,0.0275478
130,0.0226571,0.022867,0.0246374,0.0247761,0.0248873,0.0251308
140,0.0224306,0.0228755,0.0242465,0.0242662,0.0246189,0.0247254
150,0.0238487,0.0245669,0.0251552,0.0260012,0.0264283,0.0268415
160,0.0210675,0.0210788,0.0233944,0.0238771,0.0240558,0.0243336
170,0.0229488,0.0231558,0.0258375,0.0262366,0.0268303,0.0272119
180,0.0226485,0.022967,0.0244111,0.024489,0.0248781,0.0253022
190,0.0230765,0.023471,0.0244799,0.0246156,0.0251485,0.0253875
200,0.0242041,0.0243366,0.025405,0.0255608,0.0257678,0.0264072
210,0.0225319,0.0225604,0.0241384,0.0244117,0.0250488,0.0253694
220,0.0225954,0.0230524,0.0240509,0.0248098,0.0258161,0.0263528
230,0.0224549,0.022923,0.0245199,0.0245579,0.0251791,0.0254828
240,0.024593,0.0248464,0.0254988,0.0256135,0.0264538,0.0265745
250,0.0253809,0.0258133,0.0258484,0.0261914,0.0269117,0.0271562
260,0.020594,0.0206957,0.0222006,0.0226705,0.0235895,0.0237227
270,0.0239883,0.0240111,0.0260026,0.0266657,0.0270726,0.0272604
280,0.0228111,0.0230521,0.0243831,0.0245005,0.025309,0.0255183
290,0.0224436,0.0227398,0.0233457,0.0235,0.0253198,0.0257194
300,0.0223058,0.0225924,0.0242979,0.0244984,0.0250752,0.0252888
310,0.0247423,0.0249,0.0269163,0.0269482,0.0274839,0.0277929
320,0.0233786,0.0236247,0.0264389,0.0266357,0.0266717,0.0271487
330,0.0237227,0.0239503,0.0248695,0.0252729,0.0268984,0.0270277
340,0.0255468,0.0256311,0.0263853,0.0264947,0.0281179,0.0282959
350,0.0226607,0.023132,0.025927,0.0260186,0.026398,0.0268193
360,0.0256884,0.0260192,0.0264753,0.0270103,0.0280209,0.0285238
370,0.0212367,0.0213132,0.023877,0.0243239,0.0243508,0.0250216
380,0.0222216,0.0223835,0.0237248,0.0237583,0.0247537,0.0248852
390,0.0230704,0.023159,0.0236293,0.0242101,0.0246608,0.0247085
400,0.02231,0.0224695,0.0244944,0.0247865,0.0253548,0.0259155
410,0.024322,0.0243976,0.0268089,0.0269976,0.0272578,0.0276081
420,0.0236624,0.024265,0.0255436,0.0256365,0.0262424,0.0265749
430,0.0254311,0.0257092,0.026008,0.0262012,0.0267842,0.026929
440,0.0238989,0.0239794,0.0247207,0.0250645,0.0251447,0.0257187
450,0.0244454,0.0247817,0.0263649,0.0263999,0.0269678,0.0270508
460,0.0232236,0.0234325,0.0254035,0.0254845,0.0259373,0.0261201
470,0.0222866,0.0227322,0.0242751,0.024408,0.024908,0.0249639
480,0.0210851,0.0217067,0.0217641,0.0222524,0.0238024,0.0241101
490,0.0244121,0.0245085,0.0255255,0.0257241,0.0260032,0.0264636
