t,|deltaS|
464,0.5198
465,0.7188
466,0.04563
467,0.8772
468,0.2146
469,0.3349
470,0.6343
471,0.5927
472,0.39
473,0.01507
474,0.6607
475,0.3795
476,0.4453
477,0.2764
478,0.3868
479,0.00659
480,0.7277
481,0.193
482,0.357
483,0.8244
484,0.01795
485,0.5035
486,0.2924
487,0.2695
488,0.6954
489,0.1571
490,0.6194
491,0.1218
492,0.3736
493,0.3297
494,0.6795
495,0.1654
496,0.4447
497,0.5067
498,0.85
499,0.2826
500,0.4699
501,0.7288
502,0.247
503,0.3852
504,0.7608
505,0.2441
506,0.5196
507,0.7859
508,0.02651
509,0.1697
510,0.01737
511,0.4794
512,0.7327
513,0.214
514,0.002199
515,0.858
516,0.3533
517,0.5035
518,0.302
519,0.2152
520,0.4426
521,0.5094
522,0.4838
523,0.3987
524,0.1894
525,0.298
526,0.786
527,0.2661
528,0.2321
529,0.3594
530,0.08427
531,0.6863
532,0.5422
533,0.1306
534,0.3397
535,0.07451
536,0.07786
537,0.00968
538,0.1165
539,0.3487
540,0.3171
541,0.2359
542,0.7886
543,0.1747
544,0.4863
545,0.2223
546,0.6438
547,0.4972
548,1.001
549,0.1515
550,0.4502
551,0.2122
552,0.7172
553,0.0389
554,1.133
555,0.5467
556,0.4404
557,0.3881
558,0.5328
559,0.03711
560,0.03032
561,0.3526
562,0.3377
563,0.2727
564,0.3242
565,0.5392
566,0.2357
567,0.5322
568,0.5204
569,0.01074
570,0.7053
571,0.3616
572,0.337
573,0.3729
574,0.2815
575,0.3193
576,0.3721
577,0.423
578,0.04674
579,0.1467
580,0.4699
581,0.0456
582,0.8789
583,0.4851
584,1.049
585,0.3892
586,0.1881
587,0.5208
588,0.7639
589,0.5401
590,0.01258
591,0.3762
592,0.2879
593,0.7274
594,0.3114
595,0.2672
596,0.1854
597,0.4332
598,0.6528
599,0.4776
600,0.2329
601,0.4251
602,0.1676
603,0.5456
604,0.1788
605,0.2096
606,0.2232
607,0.1593
608,0.2542
609,0.3323
610,0.2516
611,0.06163
612,0.1196
613,0.1174
614,0.06392
615,0.2655
616,0.4679
617,0.6905
618,0.3499
619,0.5625
620,0.207
621,0.1938
622,0.6615
623,0.5124
624,0.415
625,0.7001
626,0.04854
627,0.1461
628,0.6721
629,0.02329
630,0.9722
631,0.2903
632,0.2387
633,0.4827
634,0.7171
635,0.5853
636,0.1646
637,0.6925
638,0.4058
639,0.2606
640,0.4772
641,0.05542
642,0.4044
643,0.5116
644,0.684
645,0.5718
646,0.1731
647,0.6588
648,0.08212
649,0.8792
650,0.8345
651,0.3523
652,0.0854
653,0.4458
654,0.2983
655,0.4262
656,0.2283
657,0.3826
658,0.04412
659,0.1844
660,0.7446
661,0.5579
662,0.1662
663,0.3444
664,0.245
665,0.2012
666,0.2981
667,0.7426
668,0.4628
669,0.2841
670,0.8126
671,0.05674
672,0.1319
673,0.7931
674,0.1303
675,0.2729
676,0.1598
677,0.1099
678,0.105
679,0.4303
680,0.4038
681,0.2007
682,0.9201
683,0.1634
684,0.185
685,0.9288
686,0.1366
687,0.3083
688,0.09963
689,0.4288
690,0.7485
691,0.2906
692,0.09983
693,0.02749
694,0.4468
695,0.03463
696,0.4208
697,0.282
698,0.7157
699,0.7485
700,0.01692
701,0.05093
702,0.3018
703,0.3954
704,0.2249
705,0.2218
706,0.5043
707,0.5012
708,0.2408
709,0.292
710,0.01704
711,0.2782
712,0.1144
713,0.02066
714,0.3429
715,0.3207
716,0.5145
717,0.2112
718,0.07895
719,0.4743
720,0.4984
721,0.01652
722,0.3417
723,0.02204
724,0.1917
725,0.2106
726,0.2575
727,0.6065
728,0.04314
729,0.3359
730,0.5635
731,0.3904
732,0.1829
733,0.5546
734,0.2654
735,0.8186
