t,e^(-dS)
1,1.80796
2,0.887808
3,0.900505
4,0.887719
5,0.982809
6,0.955061
7,0.927577
8,0.978994
9,0.92896
10,1.004
11,0.926853
12,0.634575
13,0.605077
14,0.806703
15,0.964717
16,0.676854
17,0.647071
18,0.427928
19,0.61965
20,0.952819
21,1.07848
22,0.738821
23,0.995996
24,0.521889
25,0.981935
26,0.746246
27,1.44745
28,0.657375
29,1.39515
30,1.15569
31,1.00662
32,0.741337
33,1.5299
34,1.01255
35,0.859848
36,0.490417
37,1.94196
38,0.574819
39,0.778879
40,1.39654
41,0.933999
42,0.514016
43,1.06782
44,1.06222
45,0.864763
46,0.547277
47,0.744159
48,0.518145
49,0.289674
50,1.8443
51,0.788676
52,0.610913
53,1.62239
54,0.544439
55,1.63003
56,1.03788
57,0.663451
58,1.31851
59,1.43907
60,0.780204
61,0.937977
62,0.46158
63,1.50456
64,1.6346
65,0.462412
66,0.578683
67,0.928755
68,0.928235
69,0.409385
70,0.484761
71,1.12648
72,1.51862
73,0.682563
74,1.18637
75,1.00551
76,1.26858
77,0.560122
78,0.828615
79,0.469212
80,0.740966
81,0.608962
82,1.20274
83,1.0744
84,0.907238
85,0.816115
86,0.593036
87,0.434743
88,2.72918
89,0.939761
90,0.490564
91,1.56424
92,0.780126
93,0.523667
94,0.799715
95,0.501325
96,2.17973
97,1.10583
98,0.776002
99,0.860278
100,0.76018
101,0.523196
102,1.04957
103,0.919643
104,1.61737
105,0.830274
106,0.952915
107,1.7519
108,0.281394
109,1.95932
110,3.08638
111,1.12075
112,1.06776
113,0.75224
114,1.05669
115,1.82887
116,1.02107
117,0.676448
118,1.99252
119,1.02351
120,0.744606
121,0.531687
122,1.42376
123,0.557775
124,0.57695
125,0.923006
126,0.779112
127,1.02886
128,0.850016
129,1.3226
130,0.50687
131,0.932496
132,0.918145
133,0.743416
134,1.04073
135,0.878359
136,1.10772
137,0.414741
138,1.03293
139,0.872406
140,1.30839
141,0.659021
142,1.28685
143,0.341298
144,0.520274
145,1.68607
146,0.657244
147,0.764143
148,1.57554
149,0.766362
150,0.44682
151,0.498326
152,1.3477
153,0.969117
154,1.07108
155,0.922876
156,1.67063
157,0.908119
158,0.755784
159,1.57161
160,0.376589
161,1.56487
162,0.736608
163,1.36889
164,0.857101
165,0.530572
166,1.41524
167,0.428099
168,0.873017
169,1.83455
170,1.31969
171,2.24948
172,0.409548
173,0.621015
174,0.401118
175,0.993275
176,1.39292
177,1.018
178,0.560683
179,2.35915
180,0.807671
181,1.1768
182,0.645842
183,1.60593
184,1.1319
185,0.994682
186,1.1319
187,1.52959
188,0.646812
189,0.526292
190,0.88763
191,0.814566
192,0.886566
193,0.720579
194,0.792867
195,0.850016
196,0.947498
197,0.619898
198,1.61672
199,0.606773
200,1.33256
201,0.331211
202,1.00222
203,0.631094
204,0.465008
205,1.61915
206,2.27027
207,1.22214
208,1.40635
209,1.93209
210,0.741708
211,1.38472
212,0.702929
213,0.853594
214,0.84139
215,0.653378
216,1.08436
217,0.694266
218,1.26871
219,0.939066
220,0.533551
221,1.52776
222,0.588723
223,0.865801
224,0.7781
225,1.16521
226,1.05598
227,0.986038
228,2.60544
229,2.03033
230,0.542916
231,1.19674
232,0.440167
233,0.766056
234,0.656653
235,0.328243
236,1.2107
237,1.04561
238,0.760028
239,1.28313
240,0.443392
241,1.91995
242,0.864676
243,0.935055
244,0.382625
245,1.29292
246,3.16768
247,0.3718
248,0.891544
249,0.968574
250,0.567111
251,0.581584
252,2.52565
253,1.39794
