MDTU,min_min,min_max,max_min,max_max5
1,0.0797535,0.129048,0.205264,0.241827
2,0.0537917,0.096555,0.174706,0.233177
3,0.0273965,0.0782857,0.149417,0.213364
4,0.014209,0.056791,0.144179,0.181127
5,-0.0151393,0.0547289,0.128319,0.177988
6,-0.032875,0.0246921,0.113429,0.173722
7,-0.032875,0.0246921,0.113429,0.173722
8,-0.0541522,0.0346652,0.102512,0.167014
9,-0.0658711,0.0241339,0.0868298,0.153267
10,-0.0742517,0.0201469,0.0743305,0.161845
11,-0.0567983,0.00273982,0.0736101,0.149756
12,-0.0778431,0.00739879,0.0638437,0.156392
13,-0.067384,0.00426969,0.0590684,0.128628
14,-0.0971547,0.00740024,0.0487437,0.134377
15,-0.0831007,0.00684587,0.0767435,0.128906
16,-0.102686,0.00762565,0.0577507,0.129115
17,-0.102686,0.00762565,0.0577507,0.129115
18,-0.102686,0.00762565,0.0577507,0.129115
19,-0.0886443,-0.00598455,0.0661402,0.120645
20,-0.0826978,-0.0261193,0.064815,0.116225
21,-0.111874,-0.0199447,0.0574111,0.118919
22,-0.104261,-0.0322359,0.0494705,0.112931
23,-0.111315,-0.0288641,0.0532507,0.11852
24,-0.111315,-0.0288641,0.0532507,0.11852
25,-0.0982864,-0.0216085,0.0513997,0.113851
26,-0.110387,-0.037069,0.0457744,0.107859
27,-0.120908,-0.0179491,0.0343619,0.111806
28,-0.113014,-0.0349319,0.0452987,0.0940775
29,-0.119834,-0.0159794,0.0353665,0.116495
30,-0.115941,-0.0382545,0.034569,0.110295
31,-0.133825,-0.0237123,0.0243801,0.113614
32,-0.134736,-0.0348744,0.0197825,0.109588
33,-0.145788,-0.0236915,0.0104794,0.125175
34,-0.15691,-0.0156133,0.015076,0.113963
35,-0.125578,-0.0251013,0.0240612,0.10767
36,-0.125578,-0.0251013,0.0240612,0.10767
37,-0.124642,-0.0149456,0.0263068,0.109137
38,-0.124642,-0.0149456,0.0263068,0.109137
39,-0.137235,-0.00972157,0.0178874,0.113887
40,-0.116443,-0.0104562,0.0260537,0.121415
41,-0.0989386,-0.021369,0.0330385,0.104836
42,-0.0989386,-0.021369,0.0330385,0.104836
43,-0.120223,-0.0226864,0.0285082,0.113206
44,-0.111788,-0.0229104,0.0393834,0.107583
45,-0.10865,-0.0295234,0.0366455,0.106078
46,-0.10865,-0.0295234,0.0366455,0.106078
47,-0.106991,-0.0262073,0.0419759,0.110263
48,-0.106991,-0.0262073,0.0419759,0.110263
49,-0.106991,-0.0262073,0.0419759,0.110263
50,-0.101454,-0.0399417,0.0324905,0.110333
51,-0.101454,-0.0399417,0.0324905,0.110333
52,-0.105715,-0.0392179,0.0343277,0.0958975
53,-0.125963,-0.0204861,0.0299711,0.113079
54,-0.127944,-0.0148941,0.0248328,0.111493
55,-0.11253,-0.0346179,0.0447485,0.107729
56,-0.0989033,-0.019047,0.0443559,0.118683
57,-0.110741,-0.0190942,0.0464987,0.118857
58,-0.108106,-0.0275756,0.044984,0.108213
59,-0.110145,-0.0244824,0.045619,0.109345
60,-0.111297,-0.0230346,0.056124,0.105348
61,-0.0885075,-0.0291521,0.0444229,0.111124
62,-0.118125,-0.019337,0.0464249,0.114701
63,-0.0909196,-0.017166,0.0448829,0.123697
64,-0.087811,-0.0146174,0.0496804,0.107244
65,-0.0939503,-0.0199741,0.036658,0.109701
66,-0.130319,-0.0163078,0.0356325,0.133843
67,-0.114801,-0.0228225,0.0323082,0.109352
68,-0.111022,-0.00144077,0.0342065,0.121903
69,-0.13319,-0.00749584,0.0244063,0.121745
70,-0.109582,-0.010522,0.0388957,0.108235
71,-0.103735,-0.0091002,0.0513848,0.11952
72,-0.107905,-0.00835994,0.0360426,0.12194
73,-0.107905,-0.00835994,0.0360426,0.12194
74,-0.110361,-0.0199624,0.0457444,0.10558
75,-0.106689,-0.0160396,0.0337863,0.120036
76,-0.108925,-0.0132465,0.0349387,0.120816
77,-0.108925,-0.0132465,0.0349387,0.120816
78,-0.11758,-0.0215207,0.0307241,0.112375
79,-0.11758,-0.0215207,0.0307241,0.112375
80,-0.11758,-0.0215207,0.0307241,0.112375
81,-0.132978,-0.0196262,0.0355183,0.1156
82,-0.122704,-0.0274387,0.0403908,0.131679
83,-0.0919983,-0.0362838,0.04184,0.122776
84,-0.0935625,-0.0320428,0.0564367,0.0979453
85,-0.108363,-0.0159259,0.0411914,0.114156
86,-0.0988928,-0.0169951,0.0390785,0.111363
87,-0.0988928,-0.0169951,0.0390785,0.111363
88,-0.11904,-0.0283821,0.0392357,0.100477
89,-0.109793,-0.0400024,0.036205,0.10161
90,-0.109793,-0.0400024,0.036205,0.10161
91,-0.119722,-0.0152447,0.0459548,0.108774
92,-0.110826,-0.0310187,0.0354453,0.104055
93,-0.116523,-0.0294377,0.0467226,0.119113
94,-0.116523,-0.0294377,0.0467226,0.119113
95,-0.133822,-0.0310783,0.0239882,0.122165
96,-0.0999049,-0.048978,0.0443431,0.0972912
97,-0.101381,-0.0460292,0.0411029,0.107996
98,-0.113042,-0.0309146,0.0422418,0.1113
99,-0.119306,-0.0307299,0.0310574,0.106834
100,-0.107734,-0.0202103,0.0376922,0.0986511
101,-0.107734,-0.0202103,0.0376922,0.0986511
