ReTr(L),ImTr(L)
3.97348,-0.670951
3.45784,-0.493688
3.02414,-0.684557
2.41409,-0.113357
2.20719,-0.646861
2.04328,-0.468887
2.04328,-0.468887
1.95616,-0.700066
1.73726,-0.521399
1.83407,-0.622877
1.56268,-0.587457
1.53445,-0.738384
1.36981,-0.809892
1.38,-0.767958
1.30785,-0.910125
1.42061,-0.594981
1.42061,-0.594981
1.42061,-0.594981
1.29627,-0.642642
1.167,-0.588976
1.08221,-0.850838
1.08293,-0.653836
1.20594,-0.566125
1.20594,-0.566125
1.20666,-0.351151
1.18499,-0.0851209
1.32777,-0.106459
1.07268,-0.32985
1.1504,-0.615164
1.0346,-0.647499
1.20989,-0.414323
1.1468,-0.481842
1.19471,-0.690703
0.973682,-0.948882
0.921239,-0.870259
0.921239,-0.870259
1.01815,-0.797575
1.01815,-0.797575
1.09283,-0.838906
1.04249,-0.874102
1.00803,-0.753785
1.00803,-0.753785
0.93064,-0.844668
0.93204,-0.759641
0.890324,-0.839881
0.890324,-0.839881
0.908496,-0.81634
0.908496,-0.81634
0.908496,-0.81634
0.674174,-1.03074
0.674174,-1.03074
0.930359,-0.645144
1.09572,-0.717546
1.16495,-0.697758
1.10461,-0.605428
1.2406,-0.429088
1.26565,-0.482274
1.19742,-0.306701
1.17787,-0.358817
1.26163,-0.173624
1.19689,-0.215529
1.28791,-0.299915
1.26301,-0.495938
1.22274,-0.491848
1.25532,-0.315277
1.41268,-0.232622
1.16392,-0.576264
1.31276,-0.608139
1.30545,-0.539661
1.2735,-0.369594
1.36594,-0.355818
1.35871,-0.346438
1.35871,-0.346438
1.21069,-0.448893
1.24544,-0.60415
1.29562,-0.47187
1.29562,-0.47187
1.18197,-0.619666
1.18197,-0.619666
1.18197,-0.619666
1.15023,-0.608294
1.24099,-0.392619
1.1966,-0.212261
1.18659,-0.0881462
1.30843,0.139499
1.27818,-0.0250547
1.27818,-0.0250547
1.21096,-0.0698386
1.16285,-0.0545379
1.16285,-0.0545379
1.22437,-0.508326
1.08696,-0.574984
1.16866,-0.418295
1.16866,-0.418295
1.30144,-0.127132
1.06737,-0.0689511
1.15523,0.136402
1.19939,0.132217
1.18367,0.0931952
1.21945,-0.00578097
1.21945,-0.00578097
1.28621,-0.10132
1.27349,0.154486
1.28041,0.197
1.28041,0.197
1.19088,0.302373
1.35469,0.176294
1.35469,0.176294
1.17706,0.305848
1.4126,0.21327
1.13699,0.434821
1.19795,0.326373
1.19795,0.326373
1.22885,0.0786335
1.30414,0.158648
1.27978,0.236472
1.27978,0.236472
1.28038,0.185969
1.27986,0.328419
1.40637,0.148499
1.2521,0.366881
1.14423,0.529861
1.09041,0.627442
1.09041,0.627442
1.18758,0.570659
1.18758,0.570659
1.11377,0.514478
1.11377,0.514478
1.19891,0.463995
1.19891,0.463995
1.19039,0.457016
1.10142,0.51676
1.04022,0.621742
1.07042,0.507077
1.16027,0.461489
1.02516,0.538466
1.06515,0.743934
1.05484,0.690893
0.913148,0.778042
0.952628,0.923009
0.952628,0.923009
0.925029,0.94117
0.925029,0.94117
0.945,0.867966
1.23683,0.856095
1.23683,0.856095
1.13167,0.745041
0.884564,0.840663
0.884564,0.840663
0.884564,0.840663
0.884564,0.840663
1.08863,0.626029
1.07334,0.560153
1.15613,0.460675
1.22123,0.168058
1.30274,0.0342112
1.28002,-0.0667894
1.25823,-0.0181205
1.34067,-0.115166
1.03707,-0.478907
1.25824,-0.505322
1.20612,-0.41271
1.34869,-0.354348
1.25967,-0.348859
1.26251,-0.474243
1.142,-0.630148
1.142,-0.630148
0.949499,-1.00207
1.01549,-0.934936
0.907488,-1.01174
0.837076,-1.17109
0.901107,-1.01533
0.901107,-1.01533
0.636383,-1.07817
0.545479,-1.18129
0.618717,-1.08853
0.732064,-1.12663
0.650688,-1.10788
0.705125,-1.07921
0.844227,-0.920786
0.883847,-0.982911
0.892591,-0.933308
0.993616,-0.799625
1.15831,-0.491424
1.17569,-0.841086
0.984594,-0.743532
1.08073,-0.805718
1.07592,-0.655172
1.12457,-0.65051
1.07029,-0.640344
1.07029,-0.640344
0.9603,-0.897075
0.962826,-0.902636
1.03205,-0.886188
0.895675,-1.02765
1.17799,-0.874568
1.13643,-0.781
1.12359,-0.793822
1.12359,-0.793822
1.11974,-0.699219
1.14283,-0.506911
1.07389,-0.709953
1.06948,-0.605622
1.17828,-0.530776
1.25391,-0.267924
1.37502,-0.308619
1.36683,-0.275452
1.38399,-0.0103383
1.34409,-0.161691
1.38234,-0.104004
1.28432,-0.133592
1.21668,-0.116371
1.29373,-0.268265
1.29373,-0.268265
1.29373,-0.268265
1.23554,-0.442549
1.14475,-0.674308
1.0905,-0.465896
1.24269,-0.534992
1.24269,-0.534992
1.33368,-0.171308
1.23611,-0.206185
1.29389,0.0212389
1.21479,0.07137
1.33273,-0.102109
1.23607,-0.0115893
1.21403,0.259805
1.22346,0.390925
1.16683,0.622628
1.04343,0.563368
1.24798,0.49017
1.24798,0.49017
1.24496,0.62324
1.17244,0.485489
1.28966,0.330373
1.26899,0.356095
1.17221,0.397806
1.23537,0.463383
1.2292,0.357093
1.17178,0.194015
1.24798,0.200944
1.24798,0.200944
1.1409,0.372883
1.19814,0.399046
1.12918,0.230244
1.21103,0.398377
1.21103,0.398377
1.21227,0.567778
1.30621,0.480185
1.20685,0.48753
1.21117,0.416252
1.30458,0.118867
1.38947,0.136635
1.38947,0.136635
1.45344,0.0737016
1.45344,0.0737016
1.45344,0.0737016
1.2438,0.00902597
1.45209,-0.0373466
1.17584,-0.144228
1.29243,-0.105432
1.29243,-0.105432
1.38948,-0.226977
1.32749,-0.0616289
1.32749,-0.0616289
1.17433,-0.362765
0.995024,-0.536339
1.22697,-0.54596
1.28991,-0.505205
1.28991,-0.505205
1.28991,-0.505205
1.28991,-0.505205
1.28991,-0.505205
1.03984,-0.699235
1.06853,-0.703703
1.06853,-0.703703
0.763521,-1.00322
0.692703,-1.0145
0.734563,-0.96519
0.734563,-0.96519
0.946171,-0.905968
0.80772,-0.98752
0.823703,-1.02797
0.791685,-0.863412
0.691367,-0.951116
0.691367,-0.951116
0.850223,-0.953249
0.616522,-1.16076
0.191237,-1.33992
0.137069,-1.34042
0.110602,-1.3072
-0.107462,-1.2133
-0.3044,-1.24682
-0.339595,-1.26452
-0.476794,-1.29565
-0.476794,-1.29565
-0.476794,-1.29565
-0.476794,-1.29565
-0.473049,-1.30579
-0.317685,-1.25481
-0.3922,-1.3089
-0.392774,-1.36391
-0.180449,-1.30192
-0.382214,-1.17878
-0.321587,-1.16618
-0.351458,-1.27847
-0.374134,-1.22548
-0.185512,-1.27772
-0.381727,-1.20633
-0.455936,-1.2895
-0.611431,-1.1184
-0.748559,-0.970817
-1.07041,-0.810511
-1.05919,-0.703668
-1.05919,-0.703668
-1.11626,-0.547028
-1.01132,-0.702128
-0.969021,-0.865259
-1.04123,-0.561592
-1.12467,-0.69703
-1.13606,-0.545737
-1.19969,-0.53411
-1.28364,-0.449783
-1.3626,-0.352421
-1.29725,-0.155534
-1.22725,-0.34211
-1.22725,-0.34211
-1.17951,-0.604845
-1.16918,-0.655068
-1.16918,-0.655068
-1.21266,-0.667232
-1.00677,-0.634698
-1.04959,-0.67793
-1.04959,-0.67793
-1.0287,-0.83187
-0.953821,-0.908103
-0.933637,-0.894876
-0.904771,-0.925472
-0.870329,-0.873622
-0.856525,-0.996541
-0.856525,-0.996541
-0.570458,-1.26954
-0.570458,-1.26954
-0.570458,-1.26954
-0.505676,-1.27674
-0.544585,-1.27829
-0.544585,-1.27829
-0.544585,-1.27829
-0.422973,-1.32253
-0.232152,-1.36661
-0.122876,-1.37543
-0.0102405,-1.32189
-0.140195,-1.32392
-0.351601,-1.36758
-0.0995766,-1.24631
-0.0995766,-1.24631
-0.129238,-1.30524
0.0188355,-1.25639
-0.0445529,-1.30119
-0.0663873,-1.41577
-0.143933,-1.32322
-0.33359,-1.22252
-0.552562,-1.26529
-0.413371,-1.19806
-0.413371,-1.19806
-0.431745,-1.30633
-0.394072,-1.22964
-0.206082,-1.35909
-0.0761802,-1.26857
-0.236733,-1.28974
-0.236733,-1.28974
0.169747,-1.43995
0.560532,-1.40266
0.560532,-1.40266
0.7092,-1.18025
0.347996,-1.20242
0.38681,-1.29686
0.40636,-1.16371
0.408036,-1.12354
0.458466,-1.09845
0.491391,-1.19234
0.351363,-1.09554
0.672965,-1.11861
0.672965,-1.11861
0.651824,-1.07035
0.604063,-1.09037
0.604063,-1.09037
0.514602,-1.2702
0.423702,-1.13352
0.584596,-1.13976
0.550012,-1.19006
0.550012,-1.19006
0.617648,-1.09021
0.617648,-1.09021
0.379454,-1.22958
0.263278,-1.33381
0.0996898,-1.29358
-0.119518,-1.25673
0.0499353,-1.36192
0.159854,-1.38017
-0.0350961,-1.36761
0.0424469,-1.40267
0.0454852,-1.40923
-0.0468491,-1.30657
-0.359092,-1.36896
-0.464653,-1.32269
-0.735053,-1.20078
-0.530787,-1.26833
-0.15981,-1.2307
0.0452438,-1.3396
-0.291784,-1.25091
-0.291784,-1.25091
-0.443024,-1.13423
-0.443211,-1.17112
-0.462662,-1.27332
-0.462662,-1.27332
-0.193972,-1.23776
-0.381305,-1.09549
-0.381305,-1.09549
-0.734672,-1.03251
-0.589118,-1.18974
-0.58697,-0.943662
-0.626918,-1.06834
-0.687395,-0.921064
-0.750859,-0.97221
-0.666616,-0.88588
-0.666616,-0.88588
-0.643746,-1.04634
-0.591046,-1.08003
-0.750657,-0.936487
-0.750657,-0.936487
-0.845031,-0.807555
-1.01765,-0.807159
-0.880198,-0.866156
-0.724529,-1.06654
-0.677314,-0.939557
-0.520579,-1.05085
-0.176167,-1.21502
0.0289914,-1.27719
0.210744,-1.29143
0.335318,-1.30657
0.192786,-1.33513
0.147885,-1.3208
0.0790012,-1.42864
-0.0531199,-1.4247
-0.0192006,-1.34099
-0.0192006,-1.34099
-0.0192006,-1.34099
-0.377062,-1.3784
-0.459667,-1.24007
-0.617171,-1.08976
-0.617171,-1.08976
-0.605357,-1.04718
-0.605357,-1.04718
-0.74763,-1.09738
-1.12165,-0.708323
-1.0201,-0.777804
-1.17327,-0.705068
-1.13809,-0.634834
-1.13809,-0.634834
-1.2027,-0.500521
-1.26154,-0.435289
-1.09642,-0.466525
-1.10635,-0.53833
-1.10635,-0.53833
-1.12893,-0.728659
-1.12893,-0.728659
-1.03494,-0.655165
-1.03494,-0.655165
-1.03494,-0.655165
-1.03494,-0.655165
-1.08714,-0.635569
-1.20546,-0.45151
-1.10934,-0.410882
-1.18192,-0.491446
-1.18192,-0.491446
-1.0217,-0.453131
-1.0217,-0.453131
-1.05893,-0.470883
-0.89229,-0.576413
-0.980868,-0.557241
-1.01948,-0.597065
-0.953939,-0.52971
-1.07828,-0.529997
-1.07828,-0.529997
-1.07828,-0.529997
-0.982607,-0.614847
-0.982607,-0.614847
-0.935582,-0.617593
-0.935582,-0.617593
-0.971751,-0.726784
-0.81056,-0.946902
-0.840748,-0.816444
-0.73311,-1.04833
-0.752794,-0.894628
-1.02515,-0.927173
-0.863725,-0.805641
-0.863725,-0.805641
-0.82516,-0.898414
-0.738748,-1.0368
-0.738748,-1.0368
-0.870791,-1.02638
-0.870791,-1.02638
-0.896258,-1.05157
