MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,4.02973,3.97348,-0.670951
2,3.4929,3.45784,-0.493688
3,3.10066,3.02414,-0.684557
4,2.41675,2.41409,-0.113357
5,2.30003,2.20719,-0.646861
6,2.09639,2.04328,-0.468887
7,2.09639,2.04328,-0.468887
8,2.07766,1.95616,-0.700066
9,1.81381,1.73726,-0.521399
10,1.93695,1.83407,-0.622877
11,1.66945,1.56268,-0.587457
12,1.70287,1.53445,-0.738384
13,1.59132,1.36981,-0.809892
14,1.57929,1.38,-0.767958
15,1.59336,1.30785,-0.910125
16,1.54018,1.42061,-0.594981
17,1.54018,1.42061,-0.594981
18,1.54018,1.42061,-0.594981
19,1.44683,1.29627,-0.642642
20,1.30721,1.167,-0.588976
21,1.37663,1.08221,-0.850838
22,1.26501,1.08293,-0.653836
23,1.33221,1.20594,-0.566125
24,1.33221,1.20594,-0.566125
25,1.25671,1.20666,-0.351151
26,1.18804,1.18499,-0.0851209
27,1.33203,1.32777,-0.106459
28,1.12225,1.07268,-0.32985
29,1.30455,1.1504,-0.615164
30,1.22051,1.0346,-0.647499
31,1.27887,1.20989,-0.414323
32,1.24391,1.1468,-0.481842
33,1.38,1.19471,-0.690703
34,1.35957,0.973682,-0.948882
35,1.26729,0.921239,-0.870259
36,1.26729,0.921239,-0.870259
37,1.29335,1.01815,-0.797575
38,1.29335,1.01815,-0.797575
39,1.3777,1.09283,-0.838906
40,1.36046,1.04249,-0.874102
41,1.25869,1.00803,-0.753785
42,1.25869,1.00803,-0.753785
43,1.2568,0.93064,-0.844668
44,1.20239,0.93204,-0.759641
45,1.22396,0.890324,-0.839881
46,1.22396,0.890324,-0.839881
47,1.22138,0.908496,-0.81634
48,1.22138,0.908496,-0.81634
49,1.22138,0.908496,-0.81634
50,1.23164,0.674174,-1.03074
51,1.23164,0.674174,-1.03074
52,1.13216,0.930359,-0.645144
53,1.30976,1.09572,-0.717546
54,1.35793,1.16495,-0.697758
55,1.25965,1.10461,-0.605428
56,1.31271,1.2406,-0.429088
57,1.35442,1.26565,-0.482274
58,1.23608,1.19742,-0.306701
59,1.23131,1.17787,-0.358817
60,1.27352,1.26163,-0.173624
61,1.21614,1.19689,-0.215529
62,1.32237,1.28791,-0.299915
63,1.35689,1.26301,-0.495938
64,1.31796,1.22274,-0.491848
65,1.29431,1.25532,-0.315277
66,1.4317,1.41268,-0.232622
67,1.29877,1.16392,-0.576264
68,1.44678,1.31276,-0.608139
69,1.4126,1.30545,-0.539661
70,1.32605,1.2735,-0.369594
71,1.41152,1.36594,-0.355818
72,1.40218,1.35871,-0.346438
73,1.40218,1.35871,-0.346438
74,1.29123,1.21069,-0.448893
75,1.38424,1.24544,-0.60415
76,1.37888,1.29562,-0.47187
77,1.37888,1.29562,-0.47187
78,1.33456,1.18197,-0.619666
79,1.33456,1.18197,-0.619666
80,1.33456,1.18197,-0.619666
81,1.30117,1.15023,-0.608294
82,1.30162,1.24099,-0.392619
83,1.21528,1.1966,-0.212261
84,1.18986,1.18659,-0.0881462
85,1.31584,1.30843,0.139499
86,1.27842,1.27818,-0.0250547
87,1.27842,1.27818,-0.0250547
88,1.21297,1.21096,-0.0698386
89,1.16413,1.16285,-0.0545379
90,1.16413,1.16285,-0.0545379
91,1.3257,1.22437,-0.508326
92,1.22967,1.08696,-0.574984
93,1.24127,1.16866,-0.418295
94,1.24127,1.16866,-0.418295
95,1.30764,1.30144,-0.127132
96,1.0696,1.06737,-0.0689511
97,1.16325,1.15523,0.136402
98,1.20665,1.19939,0.132217
99,1.18733,1.18367,0.0931952
100,1.21946,1.21945,-0.00578097
101,1.21946,1.21945,-0.00578097
102,1.2902,1.28621,-0.10132
103,1.28282,1.27349,0.154486
104,1.29548,1.28041,0.197
105,1.29548,1.28041,0.197
106,1.22867,1.19088,0.302373
107,1.36611,1.35469,0.176294
108,1.36611,1.35469,0.176294
109,1.21614,1.17706,0.305848
110,1.42861,1.4126,0.21327
111,1.2173,1.13699,0.434821
112,1.24161,1.19795,0.326373
113,1.24161,1.19795,0.326373
114,1.23136,1.22885,0.0786335
115,1.31375,1.30414,0.158648
116,1.30145,1.27978,0.236472
117,1.30145,1.27978,0.236472
118,1.29382,1.28038,0.185969
119,1.32133,1.27986,0.328419
120,1.41419,1.40637,0.148499
121,1.30475,1.2521,0.366881
122,1.26096,1.14423,0.529861
123,1.25805,1.09041,0.627442
124,1.25805,1.09041,0.627442
125,1.31757,1.18758,0.570659
126,1.31757,1.18758,0.570659
127,1.22685,1.11377,0.514478
128,1.22685,1.11377,0.514478
129,1.28556,1.19891,0.463995
130,1.28556,1.19891,0.463995
131,1.2751,1.19039,0.457016
132,1.21662,1.10142,0.51676
133,1.21187,1.04022,0.621742
134,1.18445,1.07042,0.507077
135,1.24868,1.16027,0.461489
136,1.15798,1.02516,0.538466
137,1.29922,1.06515,0.743934
138,1.26096,1.05484,0.690893
139,1.19966,0.913148,0.778042
140,1.32644,0.952628,0.923009
141,1.32644,0.952628,0.923009
142,1.31965,0.925029,0.94117
143,1.31965,0.925029,0.94117
144,1.28312,0.945,0.867966
145,1.50421,1.23683,0.856095
146,1.50421,1.23683,0.856095
147,1.35491,1.13167,0.745041
148,1.22031,0.884564,0.840663
149,1.22031,0.884564,0.840663
150,1.22031,0.884564,0.840663
151,1.22031,0.884564,0.840663
152,1.2558,1.08863,0.626029
153,1.21071,1.07334,0.560153
154,1.24453,1.15613,0.460675
155,1.23274,1.22123,0.168058
156,1.30319,1.30274,0.0342112
157,1.28176,1.28002,-0.0667894
158,1.25836,1.25823,-0.0181205
159,1.34561,1.34067,-0.115166
160,1.14231,1.03707,-0.478907
161,1.35592,1.25824,-0.505322
162,1.27477,1.20612,-0.41271
163,1.39446,1.34869,-0.354348
164,1.30709,1.25967,-0.348859
165,1.34864,1.26251,-0.474243
166,1.30432,1.142,-0.630148
167,1.30432,1.142,-0.630148
168,1.38047,0.949499,-1.00207
169,1.38033,1.01549,-0.934936
170,1.3591,0.907488,-1.01174
171,1.4395,0.837076,-1.17109
172,1.35753,0.901107,-1.01533
173,1.35753,0.901107,-1.01533
174,1.25197,0.636383,-1.07817
175,1.30115,0.545479,-1.18129
176,1.25208,0.618717,-1.08853
177,1.34358,0.732064,-1.12663
178,1.28483,0.650688,-1.10788
179,1.28914,0.705125,-1.07921
180,1.24923,0.844227,-0.920786
181,1.32185,0.883847,-0.982911
182,1.29143,0.892591,-0.933308
183,1.27541,0.993616,-0.799625
184,1.25824,1.15831,-0.491424
185,1.44557,1.17569,-0.841086
186,1.2338,0.984594,-0.743532
187,1.34802,1.08073,-0.805718
188,1.25971,1.07592,-0.655172
189,1.29917,1.12457,-0.65051
190,1.24722,1.07029,-0.640344
191,1.24722,1.07029,-0.640344
192,1.31412,0.9603,-0.897075
193,1.31977,0.962826,-0.902636
194,1.36031,1.03205,-0.886188
195,1.36319,0.895675,-1.02765
196,1.46715,1.17799,-0.874568
197,1.37893,1.13643,-0.781
198,1.37572,1.12359,-0.793822
199,1.37572,1.12359,-0.793822
200,1.32012,1.11974,-0.699219
201,1.25021,1.14283,-0.506911
202,1.28735,1.07389,-0.709953
203,1.22905,1.06948,-0.605622
204,1.29231,1.17828,-0.530776
205,1.28222,1.25391,-0.267924
206,1.40923,1.37502,-0.308619
207,1.39431,1.36683,-0.275452
208,1.38403,1.38399,-0.0103383
209,1.35378,1.34409,-0.161691
210,1.38625,1.38234,-0.104004
211,1.29125,1.28432,-0.133592
212,1.22224,1.21668,-0.116371
213,1.32125,1.29373,-0.268265
214,1.32125,1.29373,-0.268265
215,1.32125,1.29373,-0.268265
216,1.31241,1.23554,-0.442549
217,1.32859,1.14475,-0.674308
218,1.18585,1.0905,-0.465896
219,1.35295,1.24269,-0.534992
220,1.35295,1.24269,-0.534992
221,1.34463,1.33368,-0.171308
222,1.25319,1.23611,-0.206185
223,1.29406,1.29389,0.0212389
224,1.21688,1.21479,0.07137
225,1.33663,1.33273,-0.102109
226,1.23612,1.23607,-0.0115893
227,1.24152,1.21403,0.259805
228,1.2844,1.22346,0.390925
229,1.32256,1.16683,0.622628
230,1.1858,1.04343,0.563368
231,1.34079,1.24798,0.49017
232,1.34079,1.24798,0.49017
233,1.39225,1.24496,0.62324
234,1.26898,1.17244,0.485489
235,1.33131,1.28966,0.330373
236,1.31801,1.26899,0.356095
237,1.23787,1.17221,0.397806
238,1.31942,1.23537,0.463383
239,1.28002,1.2292,0.357093
240,1.18773,1.17178,0.194015
241,1.26405,1.24798,0.200944
242,1.26405,1.24798,0.200944
243,1.20029,1.1409,0.372883
244,1.26285,1.19814,0.399046
245,1.15242,1.12918,0.230244
246,1.27487,1.21103,0.398377
247,1.27487,1.21103,0.398377
248,1.33865,1.21227,0.567778
249,1.39168,1.30621,0.480185
250,1.30161,1.20685,0.48753
251,1.2807,1.21117,0.416252
252,1.30998,1.30458,0.118867
253,1.39617,1.38947,0.136635
254,1.39617,1.38947,0.136635
255,1.45531,1.45344,0.0737016
256,1.45531,1.45344,0.0737016
257,1.45531,1.45344,0.0737016
258,1.24383,1.2438,0.00902597
259,1.45257,1.45209,-0.0373466
260,1.18465,1.17584,-0.144228
261,1.29673,1.29243,-0.105432
262,1.29673,1.29243,-0.105432
263,1.4079,1.38948,-0.226977
264,1.32892,1.32749,-0.0616289
265,1.32892,1.32749,-0.0616289
266,1.22909,1.17433,-0.362765
267,1.13037,0.995024,-0.536339
268,1.34296,1.22697,-0.54596
269,1.38532,1.28991,-0.505205
270,1.38532,1.28991,-0.505205
271,1.38532,1.28991,-0.505205
272,1.38532,1.28991,-0.505205
273,1.38532,1.28991,-0.505205
274,1.25307,1.03984,-0.699235
275,1.27944,1.06853,-0.703703
276,1.27944,1.06853,-0.703703
277,1.26072,0.763521,-1.00322
278,1.22843,0.692703,-1.0145
279,1.21292,0.734563,-0.96519
280,1.21292,0.734563,-0.96519
281,1.30997,0.946171,-0.905968
282,1.27578,0.80772,-0.98752
283,1.31727,0.823703,-1.02797
284,1.17143,0.791685,-0.863412
285,1.17584,0.691367,-0.951116
286,1.17584,0.691367,-0.951116
287,1.27733,0.850223,-0.953249
288,1.31433,0.616522,-1.16076
289,1.3535,0.191237,-1.33992
290,1.34741,0.137069,-1.34042
291,1.31187,0.110602,-1.3072
292,1.21805,-0.107462,-1.2133
293,1.28344,-0.3044,-1.24682
294,1.30932,-0.339595,-1.26452
295,1.3806,-0.476794,-1.29565
296,1.3806,-0.476794,-1.29565
297,1.3806,-0.476794,-1.29565
298,1.3806,-0.476794,-1.29565
299,1.38884,-0.473049,-1.30579
300,1.2944,-0.317685,-1.25481
301,1.3664,-0.3922,-1.3089
302,1.41934,-0.392774,-1.36391
303,1.31437,-0.180449,-1.30192
304,1.2392,-0.382214,-1.17878
305,1.20971,-0.321587,-1.16618
306,1.3259,-0.351458,-1.27847
307,1.28132,-0.374134,-1.22548
308,1.29111,-0.185512,-1.27772
309,1.26529,-0.381727,-1.20633
310,1.36773,-0.455936,-1.2895
311,1.27463,-0.611431,-1.1184
312,1.2259,-0.748559,-0.970817
313,1.34264,-1.07041,-0.810511
314,1.27162,-1.05919,-0.703668
315,1.27162,-1.05919,-0.703668
316,1.24309,-1.11626,-0.547028
317,1.23116,-1.01132,-0.702128
318,1.29911,-0.969021,-0.865259
319,1.18303,-1.04123,-0.561592
320,1.32316,-1.12467,-0.69703
321,1.26034,-1.13606,-0.545737
322,1.31321,-1.19969,-0.53411
323,1.36016,-1.28364,-0.449783
324,1.40743,-1.3626,-0.352421
325,1.30654,-1.29725,-0.155534
326,1.27404,-1.22725,-0.34211
327,1.27404,-1.22725,-0.34211
328,1.32555,-1.17951,-0.604845
329,1.34019,-1.16918,-0.655068
330,1.34019,-1.16918,-0.655068
331,1.3841,-1.21266,-0.667232
332,1.19014,-1.00677,-0.634698
333,1.2495,-1.04959,-0.67793
334,1.2495,-1.04959,-0.67793
335,1.32296,-1.0287,-0.83187
336,1.31698,-0.953821,-0.908103
337,1.29324,-0.933637,-0.894876
338,1.29426,-0.904771,-0.925472
339,1.23316,-0.870329,-0.873622
340,1.31405,-0.856525,-0.996541
341,1.31405,-0.856525,-0.996541
342,1.39182,-0.570458,-1.26954
343,1.39182,-0.570458,-1.26954
344,1.39182,-0.570458,-1.26954
345,1.37324,-0.505676,-1.27674
346,1.38946,-0.544585,-1.27829
347,1.38946,-0.544585,-1.27829
348,1.38946,-0.544585,-1.27829
349,1.38852,-0.422973,-1.32253
350,1.38618,-0.232152,-1.36661
351,1.38091,-0.122876,-1.37543
352,1.32193,-0.0102405,-1.32189
353,1.33132,-0.140195,-1.32392
354,1.41205,-0.351601,-1.36758
355,1.25028,-0.0995766,-1.24631
356,1.25028,-0.0995766,-1.24631
357,1.31162,-0.129238,-1.30524
358,1.25653,0.0188355,-1.25639
359,1.30195,-0.0445529,-1.30119
360,1.41732,-0.0663873,-1.41577
361,1.33103,-0.143933,-1.32322
362,1.26722,-0.33359,-1.22252
363,1.38069,-0.552562,-1.26529
364,1.26736,-0.413371,-1.19806
365,1.26736,-0.413371,-1.19806
366,1.37583,-0.431745,-1.30633
367,1.29124,-0.394072,-1.22964
368,1.37463,-0.206082,-1.35909
369,1.27086,-0.0761802,-1.26857
370,1.31129,-0.236733,-1.28974
371,1.31129,-0.236733,-1.28974
372,1.44992,0.169747,-1.43995
373,1.51052,0.560532,-1.40266
374,1.51052,0.560532,-1.40266
375,1.37694,0.7092,-1.18025
376,1.25177,0.347996,-1.20242
377,1.35332,0.38681,-1.29686
378,1.23262,0.40636,-1.16371
379,1.19534,0.408036,-1.12354
380,1.19029,0.458466,-1.09845
381,1.28963,0.491391,-1.19234
382,1.15051,0.351363,-1.09554
383,1.30544,0.672965,-1.11861
