MDTU,min_min,min_max,max_min,max_max5
1,-0.0969154,-0.0109564,-0.00260111,0.0893694
2,-0.096723,-0.00998891,-0.000257446,0.0810497
3,-0.0924725,-0.00833262,0.0106459,0.0765097
4,-0.10665,0.00284253,-0.00110314,0.089261
5,-0.10665,0.00284253,-0.00110314,0.089261
6,-0.0994514,-0.0076942,0.00898446,0.0907031
7,-0.100303,-0.00791901,0.00581061,0.0862639
8,-0.0966346,-0.00179359,0.00956088,0.0827196
9,-0.101127,-0.00843313,0.00641847,0.0797554
10,-0.107671,-0.0124227,0.000359717,0.0806926
11,-0.0942586,-0.0128256,0.0132701,0.0752555
12,-0.102529,-0.00271987,0.00277422,0.0844949
13,-0.0929555,-0.0172074,0.00895051,0.0845552
14,-0.0852077,-0.00507439,0.0249856,0.085339
15,-0.0890349,0.00561789,0.0213095,0.0983959
16,-0.11708,0.0067567,0.0105538,0.0853744
17,-0.102577,0.0136816,0.0131014,0.0951567
18,-0.0902236,-0.00373096,0.00309029,0.0918359
19,-0.0992264,-0.00227809,0.0140953,0.084017
20,-0.0821313,0.00114362,0.0198233,0.0915629
21,-0.0976924,0.00319985,0.00437864,0.0968311
22,-0.0737676,-0.00215458,0.0249402,0.0897374
23,-0.0884397,-1.84523e-05,0.0198472,0.0905885
24,-0.0899719,0.00171497,0.0074886,0.0905542
25,-0.103632,-0.00586967,0.00634498,0.0916796
26,-0.0955363,-0.0104597,0.00943976,0.0914039
27,-0.0984129,-0.000286602,-0.00452375,0.0923427
28,-0.108997,0.00914268,0.00576283,0.104812
29,-0.0862081,-0.00608084,0.0161091,0.0906578
30,-0.0923718,-0.00983065,0.00404035,0.0940741
31,-0.121935,-0.015582,0.0102899,0.0896304
32,-0.0890186,-0.0287566,0.014941,0.0735688
33,-0.103835,-0.0167187,0.00506873,0.0826008
34,-0.0865516,-0.0270031,0.0131141,0.0802634
35,-0.097842,-0.0100737,0.0194889,0.0892414
36,-0.097842,-0.0100737,0.0194889,0.0892414
37,-0.102241,-0.00300089,0.00539352,0.106721
38,-0.0839315,-0.0169471,0.0191978,0.0816448
39,-0.0873274,-0.000511241,0.0128705,0.0984351
40,-0.0853244,-0.000245998,0.013988,0.0859002
41,-0.104421,-0.00345269,0.00498596,0.0980537
42,-0.0853171,-0.0157148,0.024238,0.0839442
43,-0.0848062,-0.00627136,0.011905,0.0840288
44,-0.0898309,-0.00159319,0.0154092,0.0809837
45,-0.092776,0.00660097,0.0116855,0.0906004
46,-0.0874351,-0.00708152,0.0141104,0.0894225
47,-0.102309,0.00883754,0.00678754,0.0996086
48,-0.0905632,-0.00686206,0.0160251,0.0857908
49,-0.090755,-0.0083034,0.0115895,0.08126
50,-0.0963447,-0.0037715,0.00561818,0.0925746
51,-0.0896549,-0.00622183,0.00260202,0.0851644
52,-0.101571,0.00279793,0.00752717,0.084144
53,-0.0894973,-0.0046124,0.019059,0.0856767
54,-0.0980521,-0.00911009,0.00280944,0.088448
55,-0.0980521,-0.00911009,0.00280944,0.088448
56,-0.0931716,-0.0118721,0.007884,0.0866202
57,-0.0867295,-0.00733774,0.0113792,0.0805591
58,-0.0902992,-0.0167578,0.021117,0.0722358
59,-0.0900902,-0.0120604,0.0187175,0.0856744
60,-0.0784136,-0.00551548,0.010735,0.0834671
61,-0.0942436,-0.00729245,0.0061184,0.087087
62,-0.109836,-9.39326e-05,0.00365641,0.0914502
63,-0.115589,0.00551332,-0.00572046,0.0911192
64,-0.10658,-0.00556797,0.00151164,0.0906135
65,-0.100745,-0.00576797,0.00909349,0.0872185
66,-0.0807207,-0.0130091,0.0203522,0.0836777
67,-0.0965561,0.00673615,0.00236683,0.088179
68,-0.0937598,-0.00562391,0.00487818,0.0900878
69,-0.106116,-0.00778193,0.003148,0.0874048
70,-0.104902,-0.00772862,0.00636643,0.0838756
71,-0.094684,0.00387429,0.00916641,0.0895115
72,-0.0968037,-0.00478954,0.00739027,0.0831365
73,-0.0968037,-0.00478954,0.00739027,0.0831365
74,-0.107174,-0.00641121,0.00610976,0.0964446
75,-0.101277,-0.000590538,0.00841173,0.092586
76,-0.101277,-0.000590538,0.00841173,0.092586
77,-0.106359,-0.00184426,0.00102741,0.0827624
78,-0.109263,-0.00502279,-0.0015856,0.0864076
79,-0.109263,-0.00502279,-0.0015856,0.0864076
80,-0.109263,-0.00502279,-0.0015856,0.0864076
81,-0.0911367,-0.00915444,0.0102893,0.0802922
82,-0.0911367,-0.00915444,0.0102893,0.0802922
83,-0.0905052,0.000467918,0.0184451,0.0848092
84,-0.0888598,-0.0107008,0.0130325,0.0793853
85,-0.097676,0.00637355,-0.00202636,0.0982892
86,-0.0970629,0.000832845,0.0090304,0.0876977
87,-0.0964828,-0.000178341,0.012307,0.089202
88,-0.0964828,-0.000178341,0.012307,0.089202
89,-0.0964828,-0.000178341,0.012307,0.089202
90,-0.0991698,-0.0103179,0.0110439,0.0839048
91,-0.101363,-0.00115431,0.0088356,0.0827708
92,-0.090293,-0.010281,0.0137582,0.0843436
93,-0.098919,-0.00470702,0.00702605,0.0773476
94,-0.0960402,-0.00853017,0.00838817,0.0808278
95,-0.0912155,-0.00533638,0.00864529,0.0864672
96,-0.0867945,-0.00350437,0.0192966,0.0903511
97,-0.0965159,0.00526535,0.0141516,0.0890022
98,-0.0836361,-0.00997103,0.0132906,0.0818386
99,-0.0836361,-0.00997103,0.0132906,0.0818386
100,-0.0963761,-0.00414094,0.0106263,0.0864565
101,-0.0864385,-0.0114045,0.00786205,0.0796538
102,-0.0962423,-0.0106325,0.00190847,0.0866215
103,-0.104594,-0.00145083,0.00370271,0.0892075
104,-0.0965585,-0.00617528,-0.000437294,0.0952119
105,-0.0965585,-0.00617528,-0.000437294,0.0952119
106,-0.0939613,-0.00493515,0.0147012,0.0822233
107,-0.104755,-0.000205478,0.00428429,0.0899178
108,-0.0981081,-0.00416471,0.00253551,0.0809247
109,-0.0981081,-0.00416471,0.00253551,0.0809247
110,-0.108962,-0.0147102,-0.00712115,0.0899384
111,-0.104437,-0.0265552,0.00435034,0.069824
112,-0.113486,-0.0126456,-0.00521472,0.0846796
113,-0.113486,-0.0126456,-0.00521472,0.0846796
114,-0.0967266,-0.0100808,0.00326016,0.07538
115,-0.105638,-0.0176331,-0.00648851,0.0739493
116,-0.116726,-0.00857643,-0.00578527,0.0875161
117,-0.100845,-0.0171503,-0.00025045,0.0730168
118,-0.101115,-0.0179997,0.00210091,0.0750571
119,-0.110225,-0.0107067,0.00931944,0.0773309
120,-0.103178,-0.0118299,0.000769664,0.0880959
121,-0.0942522,-0.0168178,0.00846946,0.083236
122,-0.0942522,-0.0168178,0.00846946,0.083236
123,-0.105269,-0.00176191,0.00629107,0.0888995
124,-0.0983227,-0.00363112,0.00957209,0.0870019
125,-0.0955201,-0.0143118,0.00417307,0.0805239
126,-0.0955201,-0.0143118,0.00417307,0.0805239
127,-0.104778,-0.0031498,0.0102186,0.0912564
128,-0.0973654,0.00270073,0.0129101,0.0889739
129,-0.10611,0.0031855,0.0108511,0.0869909
130,-0.090096,-0.0149309,0.0177122,0.0886239
131,-0.096765,-0.00619969,0.0100008,0.0909774
132,-0.0962859,-0.0059638,0.00972102,0.0900311
133,-0.0947647,-0.00510898,0.00926401,0.0960399
134,-0.0947647,-0.00510898,0.00926401,0.0960399
135,-0.0871919,-0.00282886,0.0143944,0.0853931
136,-0.0871919,-0.00282886,0.0143944,0.0853931
137,-0.0907437,0.00483627,0.012629,0.0930444
138,-0.0826842,-0.00616928,0.0222408,0.0829367
139,-0.100668,-0.00103023,0.00977511,0.0866509
140,-0.082597,-0.00289099,0.0131329,0.0854144
141,-0.0924263,-0.000487489,0.010041,0.093007
142,-0.0924263,-0.000487489,0.010041,0.093007
143,-0.100598,-0.000360228,0.00811436,0.0915971
144,-0.0954722,-0.00142353,0.0127073,0.0832446
145,-0.0890545,-0.00120404,0.0141278,0.0826458
146,-0.0984119,0.00188998,0.00549366,0.0903504
147,-0.0992499,-0.00246226,0.0116267,0.0950064
148,-0.0891602,-0.0172278,0.0197424,0.0851924
149,-0.101813,0.00424118,0.00928787,0.092358
150,-0.0924257,-0.00744816,0.0162127,0.0826979
151,-0.0924257,-0.00744817,0.0162127,0.082698
152,-0.0923684,-0.00150971,0.00927259,0.0803353
153,-0.101818,-0.0125581,0.000766334,0.0797416
154,-0.0993432,-0.0313522,0.00800467,0.0735542
155,-0.0998728,-0.00344677,0.00282007,0.0817195
156,-0.0862618,-0.0289366,0.014991,0.0720765
157,-0.098702,-0.00630719,0.00537949,0.082006
158,-0.0931091,-0.00466404,0.00800119,0.0827839
159,-0.0873786,0.00114382,0.00901822,0.0870126
160,-0.0806214,-0.00738639,0.0116042,0.082796
161,-0.0975897,-0.00207165,0.00370573,0.0874872
162,-0.0988088,-0.00595998,0.00760971,0.0923325
163,-0.0934998,-0.00570302,0.00392994,0.0838804
164,-0.0854677,-0.0229681,0.0147249,0.0818797
165,-0.0932342,-0.00387407,0.00444771,0.0922182
166,-0.0932342,-0.00387407,0.00444771,0.0922182
