t,|deltaS|
1,0.07611
2,0.2937
3,0.186
4,0.02421
5,0.526
6,0.3653
7,0.1406
8,0.1938
9,0.3137
10,0.354
11,0.2773
12,0.2838
13,0.5588
14,0.4624
15,0.05742
16,0.5423
17,0.2777
18,0.3276
19,0.1691
20,0.1245
21,0.04618
22,0.6726
23,0.4574
24,0.7131
25,0.4451
26,0.2186
27,0.468
28,0.484
29,0.4648
30,0.1517
31,0.06919
32,0.3497
33,0.03327
34,0.1683
35,0.1235
36,0.3894
37,0.002704
38,0.08564
39,0.3543
40,0.1533
41,0.3255
42,0.3544
43,0.1064
44,0.4268
45,0.0963
46,0.184
47,0.1081
48,0.2277
49,0.3396
50,0.4534
51,0.4896
52,0.09801
53,0.1102
54,0.1385
55,0.4704
56,0.01044
57,0.5152
58,0.3989
59,0.3659
60,0.4563
61,0.7499
62,0.3087
63,0.5478
64,0.06636
65,0.5204
66,0.3057
67,0.04318
68,0.07591
69,0.2603
70,0.1916
71,0.354
72,0.5021
73,0.6748
74,0.4599
75,0.2903
76,0.2025
77,0.05817
78,0.1754
79,0.6254
80,0.7028
81,0.07792
82,0.179
83,0.01165
84,0.7765
85,0.5283
86,0.002967
87,0.06251
88,0.2808
89,0.9117
90,0.2304
91,0.01452
92,0.09356
93,0.251
94,0.07175
95,0.7344
96,0.2804
97,0.05733
98,0.1893
99,0.4934
100,0.02145
101,0.01295
102,0.189
103,0.03904
104,0.278
105,0.4499
106,0.2907
107,0.2717
108,0.02064
109,0.6851
110,0.6164
111,0.09164
112,0.2945
113,0.5067
114,0.5389
115,0.5672
116,0.3866
117,0.1788
118,0.2953
119,0.2143
120,0.4957
121,0.0447
122,0.704
123,0.4797
124,0.1781
125,0.3666
126,0.5524
127,0.3241
128,0.1563
129,0.1391
130,0.3196
131,0.4504
132,0.1981
133,0.2651
134,0.1418
135,0.311
136,0.2519
137,0.2029
138,0.01728
139,0.1194
140,0.7058
141,0.6909
142,0.4946
143,0.6238
144,0.02383
145,0.09533
146,0.1807
147,0.1252
148,0.05045
149,0.02756
150,0.4418
151,0.4965
152,0.6261
153,0.6257
154,0.333
155,0.02915
156,0.3021
157,0.812
158,0.06929
159,0.5628
160,0.06942
161,0.8534
162,0.4825
163,0.39
164,0.1481
165,0.06482
166,0.4637
167,0.532
168,0.2534
169,0.5696
170,0.3145
171,0.0494
172,0.4411
173,0.1805
174,0.3332
175,0.4941
176,0.9581
177,0.3584
178,0.3031
179,1.063
180,0.1312
181,0.4327
182,0.3779
183,0.0105
184,0.08886
185,0.12
186,0.2864
187,0.5547
188,0.06478
189,0.6877
190,0.1522
191,0.3074
192,0.04529
193,0.2701
194,0.156
195,0.3788
196,0.4353
197,0.5458
198,0.276
199,0.2441
200,0.02996
201,0.2107
202,0.1916
203,0.02153
204,0.1782
205,0.3653
206,0.2262
207,0.3228
208,0.3005
209,0.1954
210,0.2631
211,0.4356
212,0.1289
213,0.08041
214,0.2277
215,0.1461
216,0.2123
217,0.441
218,0.647
219,0.5606
220,0.3776
221,0.08738
222,0.1723
223,0.2999
224,0.03902
225,0.5101
226,0.2585
227,0.2385
228,0.3594
229,0.4049
230,0.02708
231,0.4381
232,0.2506
233,0.4268
234,0.06723
235,0.3305
236,0.1428
237,0.4222
238,0.5124
239,0.2075
240,0.1076
241,0.57
242,0.4744
243,0.5964
244,0.3092
245,0.3193
246,0.4886
247,0.2995
248,0.3544
249,0.1356
250,0.1991
251,0.09811
252,0.04202
253,0.1448
254,0.02968
255,0.2846
256,0.08054
257,0.5985
258,0.3009
259,0.07968
260,0.1208
261,0.3434
262,0.2543
263,0.1387
264,0.9107
265,0.008354
266,0.1837
267,0.04687
