t,walltime
10,16.77
20,17.47
30,17.52
40,17.43
50,17.51
60,17.49
70,17.46
80,17.47
90,17.54
100,17.54
110,13.19
120,13.2
130,13.2
140,13.24
150,13.17
160,13.13
170,13.19
180,13.12
190,13.18
200,13.15
210,13.14
220,13.11
230,13.18
240,13.18
250,13.16
260,13.19
270,13.13
280,13.21
290,13.19
300,13.16
310,13.21
320,13.16
330,13.2
340,13.2
350,13.19
360,13.11
370,13.2
380,13.13
390,13.16
400,13.18
410,13.15
420,13.13
430,13.12
440,13.18
450,13.16
460,13.18
470,13.16
480,13.09
490,13.13
500,13.2
510,13.17
520,13.2
530,13.18
540,13.16
550,13.13
560,13.18
570,13.14
580,13.15
590,13.21
600,13.2
610,13.14
620,13.2
630,13.16
640,13.18
650,13.18
660,13.2
670,13.19
680,13.16
690,13.21
700,13.17
710,13.17
720,13.16
730,13.17
740,13.22
750,13.12
760,13.19
770,13.21
780,13.21
790,13.2
800,13.15
810,13.18
820,13.23
830,13.16
840,13.23
850,13.18
860,13.15
870,13.22
880,13.18
890,13.18
900,13.17
910,13.16
920,13.18
930,13.24
940,13.22
950,13.26
960,13.33
970,13.25
980,13.21
990,13.28
1000,13.21
1010,13.25
1020,13.17
1030,13.2
1040,13.17
1050,13.22
1060,13.22
1070,13.17
1080,13.26
1090,13.22
1100,13.24
1110,13.18
1120,13.22
1130,13.19
1140,13.19
1150,13.19
1160,13.18
1170,13.22
1180,13.22
1190,13.25
1200,13.18
1210,13.22
1220,13.2
1230,13.28
1240,13.17
1250,13.17
1260,13.22
1270,13.24
1280,13.25
1290,13.23
1300,13.22
1310,13.21
1320,13.19
1330,13.29
1340,13.26
1350,13.22
1360,13.26
1370,13.29
1380,13.31
1390,13.3
1400,13.25
1410,13.22
1420,13.26
1430,13.28
1440,13.24
1450,13.25
1460,13.28
1470,13.27
1480,13.27
1490,13.24
1500,13.26
1510,13.2
1520,13.27
1530,13.21
1540,13.21
1550,13.32
1560,13.29
1570,13.29
1580,13.2
1590,13.25
1600,13.26
1610,13.32
1620,13.29
1630,13.26
1640,13.21
1650,13.29
1660,13.26
1670,13.29
1680,13.35
1690,13.31
1700,13.31
1710,13.26
1720,13.29
1730,13.27
1740,13.26
1750,13.27
1760,13.26
1770,13.24
1780,13.28
1790,13.33
1800,13.39
1810,13.36
1820,13.29
1830,13.37
1840,13.37
1850,13.32
1860,13.33
1870,13.36
1880,13.3
1890,13.26
1900,13.36
1910,13.35
1920,13.37
1930,13.3
1940,13.39
1950,13.35
1960,13.44
1970,13.35
1980,13.41
1990,13.34
2000,13.44
2010,13.34
2020,13.47
2030,13.39
2040,13.43
2050,13.39
2060,13.44
2070,13.42
2080,13.52
2090,13.39
2100,13.53
2110,13.35
2120,13.54
2130,13.47
2140,13.45
2150,13.44
2160,13.47
2170,13.45
2180,13.51
2190,13.44
2200,13.51
2210,13.45
2220,13.52
2230,13.48
2240,13.55
2250,13.49
2260,13.55
2270,13.46
2280,13.58
2290,13.56
2300,13.6
2310,13.61
2320,13.54
2330,13.63
2340,13.52
2350,13.65
2360,13.55
2370,13.63
2380,13.55
2390,13.62
2400,13.6
2410,13.66
2420,13.67
2430,13.62
2440,13.77
2450,13.6
2460,13.76
2470,13.61
2480,13.73
2490,13.73
2500,13.64
2510,13.76
2520,13.7
2530,13.84
2540,13.8
2550,13.64
2560,13.79
2570,13.69
2580,13.83
2590,13.82
2600,13.72
2610,13.82
2620,13.72
2630,13.85
2640,13.77
2650,13.65
2660,13.84
2670,13.92
2680,13.75
2690,13.84
2700,13.69
2710,13.91
2720,13.89
2730,13.75
2740,13.89
2750,13.92
2760,13.82
2770,13.94
2780,14.02
2790,13.82
2800,13.99
2810,14.01
2820,13.88
2830,14.07
2840,14.09
2850,13.87
2860,14.13
2870,14.06
2880,13.96
2890,14
2900,14.01
2910,13.86
2920,14.14
2930,14.18
2940,14.15
2950,13.86
2960,14.11
2970,14.18
2980,13.98
2990,14.19
3000,14.21
3010,14.21
3020,13.99
3030,14.26
3040,14.21
3050,14.12
3060,14.06
3070,14.17
3080,14.26
3090,14.13
3100,14.06
3110,14.27
3120,14.28
3130,14.06
3140,14.09
3150,14.32
3160,14.26
3170,14.39
3180,14.03
3190,14.35
3200,14.32
3210,14.38
3220,14.14
3230,14.36
3240,14.38
3250,14.44
3260,14.41
3270,14.25
3280,14.27
3290,14.37
3300,14.4
3310,14.4
3320,14.2
3330,14.35
3340,14.49
3350,14.44
3360,14.45
3370,14.52
3380,14.21
3390,14.45
3400,14.55
3410,14.51
3420,14.56
3430,14.51
3440,14.21
3450,14.62
3460,14.59
3470,14.58
3480,14.55
3490,14.59
3500,14.63
