MDTU,S_B
1,0.869978
2,0.918096
3,0.939739
4,0.939739
5,0.939739
6,0.955401
7,0.955401
8,0.955401
9,0.955401
10,0.955401
11,0.955401
12,0.967438
13,0.962588
14,0.962588
15,0.974185
16,0.976833
17,0.976662
18,0.976662
19,0.985254
20,0.989269
21,0.989269
22,0.989269
23,0.981427
24,0.981427
25,0.981427
26,0.981427
27,0.986562
28,0.986562
29,0.986562
30,0.985759
31,0.984112
32,0.996555
33,0.996555
34,0.982984
35,0.999831
36,0.999831
37,0.987832
38,0.999435
39,0.989723
40,0.989723
41,0.988311
42,0.988311
43,0.98813
44,1.00023
45,1.00023
46,0.996094
47,0.988782
48,0.985552
49,0.99509
50,0.997335
51,0.997335
52,0.996938
53,0.995694
54,0.989498
55,0.989498
56,0.99787
57,0.990485
58,0.994687
59,0.997257
60,0.98854
61,0.996961
62,0.997122
63,0.997122
64,0.99807
65,0.998125
66,1.00852
67,1.00852
68,0.996347
69,1.00009
70,0.997108
71,1.00182
72,1.00314
73,0.987061
74,0.987061
75,0.99447
76,1.00068
77,1.00068
78,0.986309
79,0.996487
80,0.996487
81,0.995718
82,0.995718
83,0.99655
84,0.988557
85,1.00416
86,0.993374
87,0.997804
88,0.997804
89,0.997804
90,0.999709
91,1.00078
92,0.997879
93,0.995537
94,0.995537
95,0.995537
96,0.99769
97,1.00308
98,0.994029
99,0.994029
100,0.997324
101,0.997324
102,0.997493
103,1.00222
104,0.999461
105,0.989893
106,1.00522
107,1.00142
108,1.00273
109,0.999462
110,1.00424
111,1.0009
112,1.0009
113,0.99409
114,0.990876
115,0.989094
116,0.998858
117,0.998858
118,1.00578
119,1.00322
120,1.00212
121,1.00213
122,1.00213
123,0.996968
124,0.996968
125,0.997376
126,0.997801
127,1.0014
128,1.0019
129,1.0019
130,0.991867
131,0.999017
132,0.999216
133,0.989636
134,0.995671
135,0.995671
136,0.995671
137,0.994848
138,0.994253
139,0.994253
140,0.990732
141,0.990547
142,0.990547
143,0.993091
144,0.992885
145,0.998859
146,0.998859
147,0.995399
148,0.995259
149,1.00628
150,1.00628
151,0.998158
152,0.998158
153,1.00107
154,1.00107
155,0.999689
156,1.00002
157,0.999335
158,1.00015
159,0.986057
160,0.990033
161,0.99313
162,0.99313
163,0.990098
164,0.991995
165,0.990919
166,0.990919
167,1.00812
168,0.999737
169,0.995045
170,0.993138
171,0.996542
172,1.00079
173,1.00079
174,0.993345
175,0.999428
176,0.987722
177,0.998102
178,0.9923
179,0.99559
180,0.993621
181,0.988755
182,0.996187
183,0.995338
184,1.00138
185,0.998271
186,0.998271
187,0.998271
188,0.99671
189,0.993926
190,0.993926
191,0.997316
192,0.998941
193,1.00094
194,0.995973
195,0.995698
196,0.988938
197,0.980207
198,0.997809
199,0.992093
200,0.982419
201,0.994702
202,1.00087
203,1.00194
204,0.990266
205,0.99356
206,0.997659
207,0.997659
208,0.998132
209,0.99294
210,1.00506
211,1.00334
212,1.00278
213,0.996427
214,0.996427
215,0.998014
216,0.996716
217,0.989811
218,0.989811
219,0.996574
220,0.996574
221,0.993586
222,0.994276
223,0.994276
224,0.994276
225,0.999034
226,0.991472
227,0.9944
228,1.00235
229,0.983551
230,0.983551
231,0.99445
232,0.994107
233,0.997168
234,0.996356
235,0.988287
236,0.994681
237,0.993125
238,0.993946
239,0.991916
240,0.999589
241,0.992603
242,1.00644
243,0.995883
244,0.999911
245,1.00496
246,0.999151
247,0.993691
248,0.997106
249,0.998775
250,0.997205
251,0.997205
252,1.00139
253,1.00143
254,1.00143
255,1.0035
256,1.0035
257,1.00315
258,0.992723
259,0.992734
260,0.987866
261,0.987866
262,1.00252
263,1.00806
264,0.997482
265,0.997482
266,0.993361
267,1.00164
268,1.00164
269,0.996521
270,1.00293
271,1.00293
272,0.995765
273,1.00448
274,0.991124
275,1.0014
276,1.0014
277,1.00507
278,1.00336
279,0.992331
280,0.992331
281,0.996745
282,0.996745
283,1.00594
284,1.00596
285,0.995611
286,1.00065
287,0.997435
288,0.992943
289,0.992943
290,0.991892
291,0.992307
292,0.999112
293,1.0032
294,0.99077
295,0.998273
296,0.998273
297,0.998273
298,0.993092
299,0.993092
300,0.995929
301,0.99499
302,1.00742
303,1.00742
304,0.997885
305,0.99931
306,0.989683
307,0.990512
308,0.999737
309,0.990179
310,0.995537
311,0.999928
312,0.999928
313,0.995472
314,0.999304
315,0.999304
316,0.99249
317,0.998318
318,0.993218
319,0.993218
320,0.990816
321,0.994187
322,1.00266
323,0.99647
324,0.997001
325,1.00007
326,0.998155
327,0.99544
328,0.99544
329,1.00147
330,1.00147
331,0.997728
332,0.992029
333,0.999022
334,0.994861
335,0.998277
336,0.995853
337,0.99759
338,0.993509
339,0.996291
340,0.999583
341,0.999583
342,0.997798
343,0.997285
344,0.992831
345,0.998914
346,0.999397
347,0.999397
348,0.999397
349,0.999855
350,0.99975
351,1.00219
352,1.00013
353,1.00013
354,0.999407
355,0.995885
356,0.995885
357,0.994707
358,0.994707
359,0.994707
360,0.993074
361,0.991561
362,0.998635
363,1.00211
364,1.00033
365,1.00033
366,0.999163
367,0.997961
368,1.00556
369,0.997695
370,0.992857
371,1.00394
372,1.00394
373,1.00394
374,1.00394
375,0.994816
376,0.996036
377,0.996447
378,0.986577
379,0.993445
380,1.00406
381,0.997007
382,0.993713
383,0.999259
384,0.993588
385,0.986969
386,0.986969
387,0.986969
388,0.993652
389,0.984929
390,0.991544
391,0.993254
392,0.993254
393,0.993254
394,0.993254
395,0.988631
396,0.988103
397,0.996455
398,0.989171
399,0.989171
400,0.989171
401,0.982286
402,0.998019
403,0.996931
404,0.994367
405,0.991394
406,0.996554
407,1.00029
408,1.00029
409,1.00029
410,1.00029
411,1.00014
412,1.00014
413,0.997903
414,0.983791
415,0.983791
416,0.983791
417,0.992847
418,0.998962
419,0.998962
420,1.00124
421,0.993572
422,0.993422
423,0.993512
424,0.992295
425,0.990381
426,0.997924
427,0.997924
428,1.00314
429,1.00642
430,0.997653
431,0.988392
432,0.989697
433,1.00853
434,0.999453
435,0.988178
436,0.993611
437,0.991776
438,0.996535
439,0.987938
440,0.998493
441,0.992371
442,0.997796
443,0.997796
444,0.991211
445,0.995695
446,0.995695
447,0.995695
448,0.995695
449,0.995695
450,0.992407
451,0.993403
452,1.0008
453,0.997063
454,0.995881
455,0.988402
456,0.988282
457,0.991197
458,0.985403
459,1.00065
460,0.99317
461,0.998331
462,1.00847
463,1.00144
464,1.0035
465,1.00005
466,0.997029
467,0.997029
468,1.00374
469,1.00009
470,1.00009
471,0.995002
472,0.996589
473,1.0019
474,1.00701
475,0.986281
476,0.986281
477,0.99571
478,0.997939
479,0.996941
480,0.997797
481,1.00596
482,0.996088
483,0.996088
484,0.993269
485,0.987894
486,0.999326
487,1.00443
488,1.00312
489,1.00138
490,1.00011
491,0.997448
492,0.997725
493,1.00409
494,1.00005
495,0.994962
496,0.997697
497,0.991526
498,0.991526
499,0.995265
500,0.989361
501,0.995705
502,0.995705
503,0.995705
504,0.997543
505,1.00058
506,0.989536
507,0.989536
508,0.99014
509,0.99014
510,0.994239
511,0.998969
512,0.995496
