ReTr(L),ImTr(L)
7.12391,0.173695
4.50644,-0.539755
3.52327,-0.749141
3.00274,-0.662138
2.54941,-0.62777
2.19675,-0.824322
1.9616,-0.725776
1.77112,-0.875963
1.84176,-0.593807
1.80861,-0.528588
1.58787,-0.443388
1.58787,-0.443388
1.6354,-0.218116
1.6354,-0.218116
1.62307,-0.191576
1.52753,-0.0999578
1.57158,-0.172867
1.57158,-0.172867
1.48728,-0.331533
1.43574,-0.300348
1.47959,-0.244246
1.38973,-0.284369
1.38973,-0.284369
1.44643,-0.385216
1.29531,-0.623533
1.39443,-0.549105
1.47326,-0.741698
1.35593,-0.681628
1.22853,-0.667999
1.29374,-0.572408
1.29374,-0.572408
1.29374,-0.572408
1.27248,-0.693558
1.34748,-0.632155
1.22108,-0.713808
1.05402,-0.981595
1.11931,-0.766738
1.14668,-0.724957
1.18805,-0.844075
1.23347,-0.824726
1.40838,-0.538905
1.36612,-0.65207
1.42775,-0.428072
1.53945,-0.50529
1.53945,-0.50529
1.52109,-0.386879
1.45565,-0.412133
1.45565,-0.412133
1.45565,-0.412133
1.48173,-0.283195
1.48173,-0.283195
1.48955,-0.0235544
1.43903,0.0439377
1.50084,-0.042224
1.50084,-0.042224
1.48275,-0.197244
1.48275,-0.197244
1.38951,-0.235338
1.42632,-0.153623
1.41393,-0.0520035
1.43481,0.0521465
1.5009,0.0529015
1.45112,0.0502121
1.52682,0.176092
1.3657,0.274583
1.38939,0.313415
1.41777,0.358605
1.48533,0.139781
1.33494,0.0771937
1.42848,0.154831
1.40749,0.34437
1.43633,0.190377
1.43633,0.190377
1.37746,-0.0738695
1.35776,-0.189144
1.35776,-0.189144
1.35177,-0.290331
1.35177,-0.290331
1.41046,-0.344852
1.41046,-0.344852
1.39948,-0.169598
1.39948,-0.169598
1.40799,-0.13884
1.43783,0.133453
1.47106,0.357512
1.47106,0.357512
1.39873,0.293508
1.40342,0.190889
1.40342,0.190889
1.54597,0.0122592
1.47479,-0.0575697
1.55995,-0.0155465
1.55995,-0.0155465
1.55995,-0.0155465
1.42431,-0.217326
1.30908,-0.381599
1.29492,-0.600959
1.16971,-0.821525
1.16971,-0.821525
1.20135,-0.732601
1.20135,-0.732601
1.16282,-0.788616
1.23181,-0.605928
1.1866,-0.54389
1.11706,-0.661459
1.05588,-0.58571
1.20291,-0.578514
1.20291,-0.578514
1.20291,-0.578514
1.24573,-0.639195
1.22493,-0.742985
1.25008,-0.685132
1.25063,-0.60558
1.15737,-0.723976
1.22418,-0.783033
1.26295,-0.502915
1.32504,-0.317903
1.36049,-0.145186
1.41557,-0.172056
1.36803,-0.119566
1.23914,-0.380046
1.23914,-0.380046
1.29774,-0.41971
1.24874,-0.494893
1.25879,-0.402621
1.28241,-0.484542
1.27011,-0.627547
1.29661,-0.576269
1.29661,-0.576269
1.32211,-0.652734
1.34217,-0.700224
1.2064,-0.97268
1.09003,-1.04952
0.955424,-1.21366
0.955424,-1.21366
0.955424,-1.21366
0.846144,-1.24094
0.895043,-1.15042
0.944997,-1.13106
0.892463,-1.11169
0.928467,-1.01428
0.953186,-1.01596
0.99824,-0.999859
1.12212,-0.97564
1.08596,-0.907808
1.17994,-0.789546
1.17427,-0.856163
1.20304,-0.815888
1.18985,-0.803758
1.18985,-0.803758
1.18985,-0.803758
1.33607,-0.717653
1.21915,-0.745596
1.21915,-0.745596
1.11014,-1.01237
1.11014,-1.01237
1.00237,-1.16238
1.05934,-1.05544
1.05934,-1.05544
1.05934,-1.05544
0.853488,-1.14312
0.670238,-1.18625
0.741968,-1.24208
0.610393,-1.26839
0.547671,-1.32773
0.547671,-1.32773
0.547671,-1.32773
0.760558,-1.32544
0.760558,-1.32544
0.850883,-1.20926
0.767479,-1.25815
0.603423,-1.39021
0.328334,-1.4053
0.474966,-1.34094
0.68027,-1.26956
0.820662,-1.10085
0.959745,-1.03825
0.993419,-0.95054
1.11355,-0.808184
1.1826,-0.839427
1.12517,-0.860248
0.965806,-1.16707
0.971254,-1.01447
0.971254,-1.01447
1.10192,-0.846913
1.10192,-0.846913
1.14709,-0.768897
1.12422,-0.761107
1.19466,-0.690677
1.19466,-0.690677
1.19466,-0.690677
1.16819,-0.851962
1.04443,-0.864726
1.08077,-1.02028
1.02241,-1.10049
0.880432,-1.17684
0.958239,-1.11468
1.1372,-0.881311
1.07853,-0.886134
1.07971,-0.90063
0.968277,-0.915599
1.02302,-0.846474
1.06291,-0.98102
1.12528,-0.884331
1.12528,-0.884331
1.30974,-0.716822
1.16207,-0.84854
1.31325,-0.605548
1.41702,-0.538781
1.32978,-0.457948
1.30403,-0.375616
1.36507,-0.289147
1.34526,-0.302024
1.41904,-0.0915945
1.35887,-0.0900957
1.38412,-0.0293523
1.38412,-0.0293523
1.39156,-0.0821642
1.39156,-0.0821642
1.39156,-0.0821642
1.34812,-0.298908
1.40265,-0.13725
1.4654,-0.391169
1.332,-0.343188
1.39912,-0.309211
1.35666,-0.499862
1.42275,-0.572683
1.34972,-0.403364
1.33017,-0.479235
1.35106,-0.256623
1.35106,-0.256623
1.22874,-0.581111
1.20763,-0.515782
1.19148,-0.644941
1.10016,-0.869718
1.11735,-0.765875
1.14111,-0.734754
1.05812,-0.807331
1.14946,-0.840596
0.952235,-0.986366
1.02789,-0.946071
1.02789,-0.946071
0.8045,-1.15393
0.772958,-1.01062
0.825402,-1.08141
0.825402,-1.08141
0.954328,-1.02362
0.854838,-1.00329
0.818867,-1.01728
0.812009,-1.01034
0.831295,-1.05219
1.06783,-0.912126
1.12744,-0.836875
1.07496,-0.816914
1.07496,-0.816914
1.07496,-0.816914
1.07496,-0.816914
1.07496,-0.816914
1.16269,-0.725016
1.14848,-0.557313
1.23504,-0.453925
1.23504,-0.453925
1.31737,-0.266331
1.33083,-0.247831
1.33083,-0.247831
1.33083,-0.247831
1.3131,-0.219076
1.3598,-0.359174
1.37236,-0.186403
1.37236,-0.186403
1.40019,-0.190869
1.43766,0.174204
1.43766,0.174204
1.41373,0.0311509
1.38537,-0.2246
1.29386,-0.481227
1.28689,-0.44866
1.26511,-0.563545
1.33612,-0.47562
1.36072,-0.504622
1.36072,-0.504622
1.43101,-0.274132
1.43606,-0.271973
1.43606,-0.271973
1.33261,-0.446585
1.33261,-0.446585
1.33261,-0.446585
1.36354,-0.424764
1.34037,-0.411635
1.26783,-0.695061
1.14502,-0.812018
1.16574,-0.88449
1.21328,-0.956592
1.19939,-0.873587
1.02203,-1.10963
1.02203,-1.10963
1.02203,-1.10963
0.984326,-1.06201
0.984326,-1.06201
0.828672,-1.25794
0.765734,-1.1848
0.807451,-1.25416
0.618393,-1.35417
0.618393,-1.35417
0.540364,-1.26726
0.763818,-1.17909
0.763818,-1.17909
0.74046,-1.12321
0.73125,-1.17141
0.619921,-1.23112
0.775124,-1.17279
0.825438,-1.08546
0.825438,-1.08546
0.631517,-1.23361
0.631517,-1.23361
0.726749,-1.21481
0.689198,-1.21728
0.6769,-1.23697
0.649507,-1.29907
0.63715,-1.32165
0.473874,-1.37689
0.438431,-1.40335
0.615213,-1.33656
0.589867,-1.37639
0.589867,-1.37639
0.761423,-1.21724
0.667818,-1.24838
0.652433,-1.27829
0.652433,-1.27829
0.566511,-1.31033
0.566511,-1.31033
0.667641,-1.2249
0.462008,-1.29516
0.462008,-1.29516
0.632847,-1.22793
0.621477,-1.29463
0.621477,-1.29463
0.662214,-1.28291
0.662214,-1.28291
0.629927,-1.2545
0.702535,-1.28252
0.672788,-1.26446
0.672788,-1.26446
0.720566,-1.23922
0.720566,-1.23922
0.739991,-1.12886
0.739991,-1.12886
0.684907,-1.3154
0.694299,-1.17691
1.00055,-0.949641
1.1672,-0.778381
1.1672,-0.778381
1.0377,-0.887104
1.06207,-0.934987
1.08698,-0.928909
1.08698,-0.928909
1.099,-0.771201
1.09728,-0.856607
1.1881,-0.850959
1.1881,-0.850959
1.19172,-0.911129
0.959484,-1.07767
1.0002,-1.27986
0.947407,-1.15708
0.947407,-1.15708
0.947084,-1.17029
0.89163,-1.19417
1.0923,-1.01969
1.13976,-0.904062
1.12862,-0.987264
1.01689,-0.926551
1.01689,-0.926551
1.04254,-0.823759
1.04254,-0.823759
1.05905,-0.82008
1.05905,-0.82008
1.0589,-0.762428
1.15027,-0.717851
1.03249,-0.760193
1.06167,-0.850313
1.065,-0.865909
1.13436,-0.674166
1.43616,-0.441339
1.44534,-0.462692
1.38181,-0.370686
1.40742,-0.561139
1.40742,-0.561139
1.36778,-0.616997
1.30532,-0.802223
1.30532,-0.802223
1.2725,-0.83777
1.2725,-0.83777
1.3353,-0.710538
1.3353,-0.710538
1.47284,-0.390807
1.47284,-0.390807
1.47298,-0.373896
1.47298,-0.373896
1.47298,-0.373896
1.38661,-0.660881
1.38661,-0.660881
1.34598,-0.710866
1.30125,-0.907769
1.29531,-0.695177
1.44929,-0.597503
1.37835,-0.527083
1.5397,-0.44661
1.5397,-0.44661
1.474,-0.294337
1.474,-0.294337
1.4541,-0.362222
1.4541,-0.362222
1.4541,-0.362222
1.43331,-0.365587
1.43331,-0.365587
1.43331,-0.365587
1.43331,-0.365587
1.43331,-0.365587
1.43331,-0.365587
1.43331,-0.365587
1.46507,-0.261926
1.29942,-0.199439
1.29942,-0.199439
1.29942,-0.199439
1.29942,-0.199439
1.32874,-0.426364
1.32874,-0.426364
1.25963,-0.605041
1.15787,-0.472592
1.13867,-0.382202
1.34001,-0.350171
1.23694,-0.184776
1.37108,-0.00740992
1.26671,0.000732577
1.40771,-0.139732
1.41768,-0.335142
1.37903,-0.0296488
1.4036,0.220937
1.38253,0.249621
1.36853,0.259249
1.34367,0.209024
1.4488,0.157779
1.42442,0.0671255
1.34889,0.0457888
1.37082,0.0478195
1.44624,-0.0250633
1.44624,-0.0250633
1.4958,0.0120156
1.47535,-0.000420672
1.37063,-0.214709
1.39851,-0.149844
1.4141,-0.325022
1.28245,-0.454943
1.445,-0.415852
1.445,-0.415852
1.4222,-0.308691
1.4141,-0.379681
1.36335,-0.378444
1.36335,-0.378444
1.39376,-0.266213
1.41041,-0.262863
1.34951,-0.444509
1.3512,-0.324327
1.22736,-0.345734
1.22736,-0.345734
1.2338,-0.310343
1.30135,-0.332201
1.34048,-0.438909
1.28546,-0.519602
1.26688,-0.407709
1.3099,-0.380602
1.12759,-0.624342
1.2231,-0.733174
1.11658,-0.76266
1.11544,-0.615346
1.11544,-0.615346
1.15995,-0.767709
1.15995,-0.767709
0.959435,-0.917453
1.1194,-0.772973
1.10647,-0.662495
1.18824,-0.725192
1.13885,-0.69059
1.2651,-0.402707
1.3401,-0.601795
1.3401,-0.601795
1.3401,-0.601795
1.20116,-0.592828
1.20116,-0.592828
1.25138,-0.754397
1.2589,-0.750734
1.12953,-0.748005
1.12953,-0.748005
1.06366,-0.926684
1.20212,-0.71904
1.25864,-0.673822
1.14892,-0.701388
1.14892,-0.701388
1.17071,-0.700159
1.17854,-0.781106
1.21127,-0.760019
1.21127,-0.760019
1.23147,-0.718767
1.17492,-0.734334
1.13788,-0.775735
1.17336,-0.634565
1.17336,-0.634565
1.17336,-0.634565
1.17336,-0.634565
1.17336,-0.634565
1.34551,-0.44345
1.3307,-0.273397
1.25955,-0.380057
1.37757,-0.248305
1.3271,-0.250496
1.37413,-0.207654
1.37413,-0.207654
1.40163,-0.12422
1.40163,-0.12422
1.34758,0.0289952
1.3697,-0.0237895
1.30203,0.000245368
1.32896,-0.164564
1.36829,-0.104372
1.36829,-0.104372
1.3892,0.00971904
1.38771,-0.00264706
1.43165,-0.0646098
1.43165,-0.0646098
1.43165,-0.0646098
1.44829,-0.104761
1.45101,-0.0337681
1.45101,-0.0337681
1.33355,-0.105443
1.36153,0.00532873
1.36153,0.00532873
1.34768,-0.304423
1.28699,-0.241408
1.30641,-0.276261
1.37343,-0.304177
1.24221,-0.511328
1.28601,-0.609953
1.28601,-0.609953
1.28601,-0.609953
1.31763,-0.406138
1.39413,-0.384244
1.39413,-0.384244
1.34763,-0.388559
1.34763,-0.388559
1.4214,-0.222967
1.4214,-0.222967
1.34431,-0.241919
1.34431,-0.241919
1.2639,-0.237049
1.32816,-0.0648698
1.32816,-0.0648698
1.32771,-0.0863985
1.37629,-0.0166863
1.37629,-0.0166863
1.38663,-0.0558943
1.45574,-0.227976
1.37894,-0.326336
1.41832,-0.267932
1.27153,-0.491887
1.28847,-0.575964
1.39277,-0.516584
1.33773,-0.640658
1.15291,-0.677162
1.15291,-0.677162
1.16616,-0.838172
1.30138,-0.677201
1.35561,-0.613099
1.35561,-0.613099
1.38234,-0.347977
1.26141,-0.574661
1.26141,-0.574661
1.28259,-0.606424
1.24232,-0.668675
1.21716,-0.510974
1.2062,-0.645675
1.2062,-0.645675
1.34259,-0.462717
1.33642,-0.320743
1.4124,-0.432794
1.4124,-0.432794
1.33343,-0.378206
1.33343,-0.378206
1.33343,-0.378206
1.30139,-0.421669
1.25677,-0.478117
1.24411,-0.528029
1.24411,-0.528029
1.23629,-0.623898
1.23629,-0.623898
1.06421,-0.863565
1.06421,-0.863565
1.00727,-0.849496
1.23313,-0.710422
1.23313,-0.710422
1.14016,-0.840319
1.01053,-0.933058
1.0247,-0.995502
0.963912,-1.00878
1.08086,-0.819908
1.0769,-0.811462
0.935266,-0.984501
0.84617,-1.13291
0.854803,-1.12323
0.877533,-1.09189
1.11712,-0.92231
1.04726,-0.825247
1.08206,-0.920354
1.0328,-0.912448
0.993125,-0.956978
0.993125,-0.956978
1.04146,-0.879132
0.978021,-0.999253
1.09545,-0.956777
0.902627,-1.04632
0.968799,-1.05725
0.968799,-1.05725
0.968799,-1.05725
1.00133,-1.00268
1.00679,-0.956719
1.00679,-0.956719
0.972521,-1.08059
0.892489,-1.16758
0.944788,-1.12972
0.863976,-1.21473
1.01819,-0.946352
0.877854,-1.22889
0.877854,-1.22889
0.814632,-1.12554
0.789347,-1.17473
0.816074,-1.11166
1.02794,-1.15744
1.02794,-1.15744
1.02794,-1.15744
0.949572,-1.01631
0.990684,-1.1147
0.905934,-1.11945
0.905934,-1.11945
0.753848,-1.16568
0.753848,-1.16568
0.75791,-1.11867
0.671417,-1.23844
0.674522,-1.23856
0.896591,-1.09819
0.898906,-1.13673
1.05385,-0.963878
1.0865,-0.879031
1.0865,-0.879031
1.11642,-0.868287
1.12332,-0.928491
1.12332,-0.928491
1.00999,-0.968521
1.0968,-1.00521
1.11811,-0.851399
1.11811,-0.851399
1.18632,-0.763668
1.18632,-0.763668
1.15488,-0.797755
1.1051,-0.883828
1.08713,-0.98284
0.969629,-0.927704
0.969629,-0.927704
1.08239,-0.994067
0.923697,-1.0918
0.857556,-1.11261
0.878923,-1.15694
0.878923,-1.15694
0.792082,-1.11769
0.694954,-1.24579
0.604357,-1.40289
0.668353,-1.27245
0.694447,-1.3142
0.694447,-1.3142
0.694447,-1.3142
0.600771,-1.27247
0.636745,-1.21686
0.713729,-1.2286
0.99039,-1.1067
0.99039,-1.1067
0.982864,-1.15026
0.939666,-1.08101
0.939666,-1.08101
0.939666,-1.08101
0.939666,-1.08101
0.976515,-1.00198
1.07313,-0.970213
1.0451,-0.881698
1.19972,-0.87014
1.07772,-0.792555
1.15762,-0.731788
1.10164,-0.888609
1.10164,-0.888609
0.977618,-1.00316
0.721375,-1.20289
0.721375,-1.20289
0.632746,-1.26037
0.76093,-1.21129
0.76093,-1.21129
0.793888,-1.20517
0.654155,-1.1218
0.724766,-1.19736
0.704196,-1.14435
0.704196,-1.14435
0.790175,-1.18371
0.71942,-1.19779
0.71942,-1.19779
0.71942,-1.19779
0.71942,-1.19779
0.828208,-1.171
0.874972,-1.06304
1.03345,-0.923197
1.15407,-0.901676
1.16195,-0.829561
1.1395,-0.835739
1.1395,-0.835739
1.1034,-0.814068
1.1034,-0.814068
1.05843,-0.791058
1.05843,-0.791058
1.02206,-0.796863
1.22082,-0.67611
1.1353,-0.686414
1.285,-0.725744
1.21085,-0.622311
1.22194,-0.723647
1.22194,-0.723647
1.22194,-0.723647
1.27391,-0.379344
1.40777,-0.475452
1.31881,-0.449618
1.33203,-0.439806
1.37973,-0.507924
1.37973,-0.507924
1.37985,-0.447943
1.5208,-0.270952
1.49709,-0.376136
1.35037,-0.356082
1.40001,-0.548257
1.41805,-0.533236
1.41318,-0.470787
1.41318,-0.470787
1.48759,-0.324512
1.50195,-0.238458
1.49948,-0.00961715
1.43226,-0.307617
1.43226,-0.307617
1.42183,-0.239464
1.42183,-0.239464
1.50402,-0.0927018
1.51778,-0.17348
1.34238,-0.00582157
1.51332,-0.127706
1.51332,-0.127706
1.41932,0.0859253
1.41932,0.0859253
1.3854,0.0234486
1.48651,-0.0246137
1.47057,-0.00822563
1.40893,0.126583
1.40893,0.126583
1.40893,0.126583
1.4119,-0.0221021
1.37399,0.0608244
1.37399,0.0608244
1.31322,0.359299
1.31322,0.359299
1.35492,0.367404
1.45848,0.0849005
1.43483,0.258014
1.43771,0.196434
1.43771,0.196434
1.36094,0.282447
1.36205,0.166928
1.38017,0.308209
1.30936,0.350179
1.19475,0.661499
1.15047,0.7801
1.26808,0.666841
1.22568,0.682585
1.13861,0.824989
1.08493,0.883112
1.08493,0.883112
1.03735,0.889534
1.221,0.781649
1.1584,0.71288
1.1801,0.68928
1.20804,0.659764
1.20804,0.659764
1.21389,0.757844
1.21389,0.757844
1.15173,0.73954
1.15173,0.73954
1.25393,0.682639
1.19715,0.831505
1.19715,0.831505
1.166,0.859764
1.18304,1.01764
1.16377,0.861332
1.14545,0.757817
1.26208,0.576568
1.28521,0.73874
1.05623,0.818528
1.09105,0.970398
1.09105,0.970398
1.09105,0.970398
1.06791,0.976634
1.06791,0.976634
1.17784,0.819269
1.04216,0.98059
1.04216,0.98059
1.0665,0.985934
1.21129,0.757555
1.27803,0.655909
1.20895,0.488924
1.35833,0.523118
1.26695,0.467691
1.30074,0.470398
1.43832,0.377642
1.43457,0.156821
1.4425,0.0373916
1.4425,0.0373916
1.45526,-0.0138717
1.48385,-0.100811
1.43488,0.253108
1.45422,0.323668
1.39093,0.222871
1.4969,0.0654394
1.38868,0.0662242
1.28458,-0.0796305
1.37054,0.026192
1.32102,0.0860835
1.27622,-0.0123601
1.30767,-0.042037
1.32474,0.00061992
1.3609,0.201369
1.31042,0.22199
1.37469,0.186747
1.33726,0.0812552
1.26423,0.33941
1.26423,0.33941
1.24612,0.442174
1.35157,0.397861
1.35157,0.397861
1.21804,0.551794
1.21804,0.551794
1.27933,0.534544
1.32846,0.349714
1.32846,0.349714
1.40299,0.344479
1.46625,0.247484
1.38129,0.376055
1.45549,0.28114
1.46171,0.191155
1.46171,0.191155
1.54144,0.0769479
1.47898,0.0626333
1.58542,0.167712
1.58542,0.167712
1.58542,0.167712
1.47866,0.268299
1.39094,0.352544
1.32565,0.278391
1.32565,0.278391
1.34673,0.248408
1.34673,0.248408
1.21939,0.519419
1.13941,0.556436
1.25415,0.386427
1.25415,0.386427
1.23502,0.418788
1.19938,0.718062
1.21061,0.599506
1.21061,0.599506
1.26304,0.590128
1.28149,0.734373
1.26813,0.634074
1.23913,0.52042
1.33678,0.535669
1.43093,0.399529
1.40496,0.29075
1.30992,0.477594
1.38579,0.310877
1.41692,0.362704
1.41692,0.362704
1.41692,0.362704
1.46299,-0.0465637
1.34911,-0.134316
1.42102,-0.0305501
1.46808,0.136508
1.42365,0.0343447
1.48564,0.238221
1.39892,-0.0403946
1.39892,-0.0403946
1.44305,0.163714
1.38096,0.2906
1.49275,0.117025
1.45568,0.324037
1.38715,0.352813
1.46368,0.177027
1.34502,0.20185
1.37405,0.135687
1.43348,0.149518
1.43348,0.149518
1.43348,0.149518
1.43348,0.149518
1.43348,0.149518
1.43348,0.149518
1.42508,0.397514
1.37793,0.396259
1.35202,0.28377
1.38373,0.442106
1.38373,0.442106
1.37943,0.593199
1.28294,0.604508
1.28294,0.604508
1.27344,0.567199
1.30173,0.646357
1.26179,0.586089
1.29642,0.408551
1.25719,0.372962
1.38986,0.244229
1.39221,0.0409146
1.36851,0.218049
1.48726,-0.118177
1.39096,0.0650149
1.38766,-0.0199665
1.43495,0.208874
1.4221,0.105195
1.43734,0.0660289
1.38822,0.0849894
1.43431,0.171966
1.34687,0.280975
1.40161,0.374418
1.39441,0.540468
1.26541,0.532291
1.29832,0.677237
1.18603,0.700721
1.27439,0.725381
1.06702,0.807058
