MDTU,|Tr(Lx)|
319,1.36211e-21
320,6.2969e-22
321,4.52535e-23
322,1.29702e-21
323,4.04435e-21
324,7.35224e-22
325,3.16083e-21
326,8.98459e-22
327,1.1474e-21
328,7.88605e-22
329,2.45915e-22
330,3.06413e-22
331,5.1403e-22
332,1.03342e-21
333,1.36209e-21
334,1.96966e-21
335,8.28526e-22
336,2.00004e-22
337,7.60511e-22
338,9.8139e-22
339,1.25164e-21
340,3.81178e-22
341,4.162e-22
342,6.36066e-23
343,6.36066e-23
344,2.0301e-21
345,2.51627e-22
346,6.12677e-22
347,1.94726e-22
348,1.56768e-22
349,5.67973e-22
350,6.93347e-22
351,5.2631e-22
352,1.51986e-22
353,1.51986e-22
354,1.55844e-21
355,1.49559e-21
356,1.82689e-21
357,8.80784e-22
358,9.14475e-22
359,1.09204e-21
360,2.30111e-21
361,4.72014e-22
362,1.47616e-21
363,8.038e-22
364,7.14876e-22
365,7.14876e-22
366,1.26346e-22
367,6.6117e-22
368,9.8283e-22
369,1.05442e-21
370,7.89999e-22
371,1.78032e-21
372,4.6329e-22
373,1.43528e-21
374,2.67383e-22
375,5.08043e-22
376,2.89266e-22
377,2.50261e-22
378,1.0653e-22
379,3.99063e-21
380,1.369e-21
381,8.17126e-22
382,5.88885e-22
383,2.56585e-22
384,1.05971e-21
385,7.97303e-22
386,8.01916e-22
387,8.58935e-22
388,1.3227e-21
389,6.00111e-22
390,2.32058e-21
391,6.73553e-22
392,1.43821e-21
393,2.63273e-23
394,9.79808e-22
395,3.56479e-21
396,2.03875e-22
397,2.06924e-21
398,1.07731e-21
399,2.65218e-21
400,7.12922e-22
401,3.77205e-22
402,1.08759e-21
403,3.08527e-22
404,1.77455e-22
405,3.1418e-22
406,9.62401e-22
407,7.58528e-22
408,7.58528e-22
409,1.32722e-21
410,1.1581e-22
411,8.04434e-22
412,3.19119e-22
413,2.02174e-21
414,2.59931e-22
415,1.49934e-21
416,4.94859e-22
417,9.79339e-22
418,1.13984e-21
419,1.29064e-22
420,8.67024e-23
421,4.86944e-22
422,2.34439e-21
423,1.35856e-22
424,2.24877e-22
425,5.48143e-22
426,1.82961e-22
427,1.82961e-22
428,5.09138e-22
429,8.30493e-22
430,3.17671e-22
431,4.71261e-22
432,1.18572e-21
433,1.02349e-21
434,1.96674e-22
435,2.13715e-22
436,4.11782e-22
437,2.71137e-21
438,6.62073e-22
439,3.7362e-22
440,1.07459e-21
441,2.40461e-22
442,8.50014e-22
443,4.09619e-22
444,5.76391e-22
445,3.49255e-22
446,1.23237e-21
447,7.29336e-22
448,1.82302e-22
449,6.20762e-22
450,1.94041e-21
451,1.01816e-21
452,9.57705e-22
453,7.90751e-22
454,4.95646e-22
455,1.106e-21
456,5.94144e-21
457,3.92913e-22
458,1.19664e-21
459,9.89816e-22
460,7.75378e-23
461,1.73327e-22
462,1.72675e-22
463,1.25998e-21
464,3.57996e-22
465,3.57996e-22
466,4.13705e-22
467,2.44205e-21
468,2.39658e-22
469,1.29775e-21
470,1.29775e-21
471,7.89763e-22
472,1.0937e-21
473,9.33186e-22
474,2.90348e-21
475,7.0839e-22
476,1.07875e-21
477,2.02184e-21
478,1.43451e-21
479,8.98415e-22
480,5.40263e-22
481,2.46891e-21
482,4.72307e-22
483,6.09317e-22
484,1.39512e-21
485,8.13784e-22
486,4.03411e-22
487,1.64695e-21
488,6.18887e-22
489,8.81785e-22
490,1.49752e-21
491,7.90843e-22
492,2.05333e-22
493,4.25162e-22
494,2.68833e-22
495,2.33678e-21
496,1.60564e-21
497,2.8533e-22
498,5.01085e-22
499,2.0758e-22
500,2.89186e-22
501,1.13007e-21
502,1.34263e-21
503,1.49643e-21
504,9.45468e-22
505,8.1467e-22
506,2.27091e-22
507,5.60189e-22
508,4.5156e-22
509,4.5156e-22
510,5.68626e-22
511,8.4159e-22
512,1.01533e-21
513,1.19942e-21
514,5.11469e-22
515,2.6021e-22
516,1.25597e-22
517,1.0293e-21
518,9.49555e-23
519,4.5176e-22
520,2.50799e-22
521,2.86658e-22
522,3.16245e-22
523,1.27216e-21
524,7.18896e-22
525,9.36165e-22
526,6.60708e-22
527,1.36439e-21
528,4.27146e-22
529,1.26546e-21
530,1.94613e-22
531,7.00682e-23
532,4.39249e-22
533,4.48744e-22
534,5.99611e-22
535,5.69325e-22
536,3.82363e-22
537,5.37286e-22
538,4.55259e-22
539,7.21303e-22
540,6.71001e-22
541,1.33778e-21
542,3.94881e-22
543,6.40641e-21
544,6.40641e-21
545,1.64369e-22
546,5.94255e-22
547,1.3506e-21
548,1.04348e-21
549,1.87382e-21
550,1.62356e-21
551,3.84001e-22
552,3.83659e-22
553,2.76906e-22
554,1.68896e-21
555,5.5054e-22
556,5.31123e-22
557,2.84657e-22
558,7.13004e-22
559,2.61707e-22
560,6.00064e-22
561,1.4897e-21
562,1.94184e-22
563,1.27781e-21
564,1.16828e-21
565,1.16828e-21
566,8.6063e-22
567,4.40475e-21
568,3.08322e-21
569,3.63833e-22
570,2.84715e-22
571,1.51732e-22
572,7.28946e-23
573,2.78796e-22
574,5.66304e-22
575,5.67814e-22
576,5.67814e-22
577,1.15163e-21
578,6.02607e-22
579,2.86781e-21
580,6.15881e-22
581,6.15881e-22
582,5.84234e-22
583,2.59911e-22
584,3.59258e-22
585,2.01575e-21
586,5.91578e-22
587,7.13129e-22
588,7.13129e-22
589,1.19871e-21
590,1.11737e-21
591,1.30711e-21
592,1.72393e-21
593,2.93243e-22
594,6.6663e-22
595,5.88158e-22
596,1.98955e-22
597,7.66961e-22
598,3.9839e-22
599,1.2329e-21
600,5.30046e-22
601,5.21827e-22
602,2.5322e-22
603,1.26491e-21
604,1.73678e-21
605,1.53091e-21
606,3.04844e-22
607,6.34536e-22
608,5.07817e-22
609,8.15564e-22
610,1.54567e-21
611,6.11808e-22
