t,cg_iters
639,10275
640,10421
641,10396
642,10263
643,10313
644,10528
645,10332
646,10227
647,10231
648,10315
649,10317
650,10444
651,10377
652,10411
653,10343
654,10506
655,10424
656,10289
657,10290
658,10301
659,10337
660,10326
661,10397
662,10339
663,10209
664,10224
665,10298
666,10319
667,10464
668,10311
669,10296
670,10435
671,10234
672,10249
673,10280
674,10413
675,10336
676,10208
677,10286
678,10382
679,10337
680,10376
681,10360
682,10223
683,10302
684,10609
685,10270
686,10389
687,10415
688,10282
689,10210
690,10343
691,10420
692,10309
693,10408
694,10269
695,10192
696,10270
697,10244
698,10376
699,10389
700,10340
701,10252
702,10321
703,10314
704,10403
705,10263
706,10371
707,10270
708,10320
709,10352
710,10544
711,10374
712,10384
713,10226
714,10232
715,10358
716,10348
717,10233
718,10282
719,10244
720,10317
721,10368
722,10439
723,10170
724,10211
725,10417
726,10082
727,10260
728,10388
729,10470
730,10394
731,10415
732,10454
733,10245
734,10277
735,10329
736,10326
737,10359
738,10415
739,10404
740,10349
741,10354
742,10219
743,10252
744,10198
745,10286
746,10275
747,10308
748,10254
749,10074
750,10168
751,10260
752,10295
753,10519
754,10429
755,10405
756,10384
757,10175
758,10299
759,10247
760,10357
761,10407
762,10273
763,10347
764,10401
765,10449
766,10347
767,10243
768,10364
769,10398
770,10314
771,10464
772,10368
773,10185
774,10318
775,10389
776,10323
777,10348
778,10406
779,10329
780,10445
781,10333
782,10346
783,10340
784,10323
785,10206
786,10574
787,10283
788,10279
789,10514
790,10366
791,10165
792,10363
793,10267
794,10318
795,10351
796,10185
797,10322
798,10236
799,10396
800,10353
801,10322
802,10146
803,10269
804,10436
805,10324
806,10306
807,10246
808,10295
809,10390
810,10460
811,10302
812,10543
813,10312
814,10272
815,10381
816,10601
817,10501
818,10366
819,10293
820,10356
821,10236
822,10329
823,10300
824,10290
825,10328
826,10259
827,10270
828,10307
829,10300
830,10286
831,10365
832,10359
833,10233
834,10294
835,10303
836,10476
837,10518
838,10421
839,10398
840,10328
841,10242
842,10297
843,10200
844,10281
845,10365
846,10283
847,10425
848,10356
849,10442
850,10266
851,10234
852,10188
853,10212
854,10366
855,10432
856,10264
857,10279
858,10316
859,10233
860,10349
861,10318
862,10368
863,10575
864,10374
865,10466
866,10245
867,10282
868,10294
869,10359
870,10394
871,10294
872,10443
873,10376
874,10230
875,10203
876,10348
877,10259
878,10334
879,10482
880,10324
881,10373
882,10330
883,10295
884,10242
885,10307
886,10600
887,10201
888,10164
889,10181
890,10380
891,10230
892,10351
893,10278
894,10248
895,10227
896,10285
897,10443
898,10381
899,10270
900,10250
901,10227
902,10332
903,10249
904,10349
905,10286
906,10168
907,10252
908,10415
909,10194
910,10330
911,10165
912,10224
913,10317
914,10301
915,10475
916,10360
917,10366
918,10391
919,10293
920,10271
921,10395
922,10343
923,10358
924,10399
925,10359
926,10305
927,10303
928,10392
929,10458
930,10467
931,10399
932,10273
933,10251
934,10348
935,10455
936,10331
937,10323
938,10435
939,10346
940,10372
941,10437
942,10518
943,10444
944,10382
945,10526
946,10353
947,10420
948,10248
949,10304
950,10338
951,10420
952,10380
953,10409
954,10674
955,10413
956,10450
957,10494
958,10524
959,10531
960,10497
961,10398
962,10451
963,10415
964,10285
965,10389
966,10621
967,10318
968,10478
969,10262
970,10338
971,10233
972,10256
973,10342
974,10368
975,10428
976,10332
977,10306
978,10418
979,10386
980,10445
981,10282
982,10314
983,10430
984,10306
985,10598
986,10291
987,10507
988,10452
989,10611
990,10378
991,10259
992,10359
993,10369
994,10263
995,10356
996,10353
997,10295
998,10355
999,10377
1000,10267
1001,10209
1002,10286
1003,10427
1004,10475
1005,10324
1006,10311
1007,10368
1008,10453
1009,10349
1010,10484
1011,10279
1012,10262
1013,10408
1014,10400
1015,10202
1016,10343
1017,10293
1018,10341
1019,10343
1020,10345
1021,10438
1022,10246
1023,10215
1024,10421
1025,10305
1026,10383
1027,10296
1028,10263
1029,10282
1030,10376
1031,10237
1032,10471
1033,10403
1034,10286
1035,10242
1036,10192
1037,10341
1038,10346
1039,10242
1040,10269
1041,10220
1042,10425
1043,10259
1044,10285
1045,10278
1046,10245
1047,10361
1048,10483
1049,10382
1050,10335
1051,10338
1052,10426
1053,10363
1054,10328
1055,10334
1056,10374
1057,10282
1058,10411
1059,10261
1060,10344
1061,10328
1062,10278
1063,10312
1064,10285
1065,10208
1066,10232
1067,10414
1068,10270
1069,10367
1070,10219
1071,10272
1072,10353
1073,10446
1074,10488
1075,10367
1076,10255
1077,10269
1078,10491
1079,10373
1080,10397
1081,10359
1082,10268
1083,10383
1084,10370
1085,10237
1086,10371
1087,10344
1088,10353
1089,10477
1090,10295
1091,10347
1092,10248
1093,10380
1094,10314
1095,10489
1096,10393
1097,10337
1098,10319
1099,10386
1100,10396
1101,10385
1102,10229
1103,10234
1104,10373
1105,10314
1106,10305
1107,10382
1108,10406
1109,10313
1110,10187
1111,10434
1112,10514
1113,10412
1114,10186
1115,10350
1116,10234
1117,10441
1118,10254
1119,10160
1120,10308
1121,10249
1122,10199
1123,10424
1124,10513
1125,10370
1126,10168
1127,10208
1128,10219
1129,10342
1130,10454
1131,10358
1132,10185
1133,10239
1134,10354
1135,10248
1136,10304
1137,10346
1138,10351
1139,10249
1140,10267
1141,10183
1142,10502
1143,10286
1144,10325
1145,10320
1146,10389
1147,10330
1148,10350
1149,10315
1150,10209
1151,10159
1152,10296
1153,10313
1154,10382
1155,10200
1156,10280
1157,10285
1158,10408
1159,10243
1160,10446
1161,10324
1162,10425
1163,10371
1164,10224
1165,10080
1166,10177
1167,10357
1168,10466
1169,10551
1170,10484
1171,10397
1172,10362
1173,10440
1174,10354
1175,10448
1176,10329
1177,10345
1178,10218
1179,10283
1180,10352
1181,10315
1182,10411
1183,10403
1184,10236
1185,10407
1186,10551
1187,10324
1188,10437
1189,10253
1190,10245
1191,10550
1192,10183
1193,10291
1194,10349
1195,10285
1196,10445
1197,10469
1198,10232
1199,10223
1200,10286
1201,10305
1202,10458
1203,10355
1204,10329
1205,10207
1206,10416
1207,10460
1208,10279
1209,10347
1210,10287
1211,10491
1212,10227
1213,10229
1214,10299
1215,10468
1216,10350
1217,10181
1218,10239
1219,10200
1220,10298
1221,10399
1222,10463
1223,10257
1224,10380
1225,10334
1226,10374
1227,10463
1228,10432
1229,10225
1230,10382
1231,10320
1232,10232
1233,10232
1234,10236
1235,10198
1236,10372
1237,10381
1238,10253
1239,10134
1240,10343
1241,10310
1242,10172
1243,10309
1244,10275
1245,10358
1246,10303
1247,10205
1248,10215
1249,10459
1250,10351
1251,10423
1252,10324
1253,10090
1254,10363
1255,10248
1256,10347
1257,10385
1258,10350
1259,10262
1260,10291
1261,10301
1262,10252
1263,10301
1264,10366
1265,10375
1266,10513
1267,10296
1268,10412
1269,10312
1270,10390
1271,10361
1272,10136
1273,10433
1274,10364
1275,10451
1276,10504
1277,10390
1278,10523
1279,10347
1280,10181
1281,10408
1282,10272
1283,10403
1284,10381
1285,10312
1286,10369
1287,10445
1288,10497
1289,10281
1290,10199
1291,10417
1292,10272
1293,10244
1294,10162
1295,10422
1296,10279
1297,10239
1298,10280
1299,10190
1300,10401
1301,10361
1302,10394
1303,10261
1304,10312
1305,10259
1306,10317
1307,10306
1308,10346
1309,10394
1310,10185
1311,10355
1312,10429
1313,10362
1314,10234
1315,10213
1316,10311
1317,10385
1318,10236
1319,10234
1320,10218
1321,10388
1322,10426
1323,10196
1324,10433
1325,10294
1326,10635
1327,10309
1328,10529
1329,10332
1330,10373
1331,10438
1332,10338
1333,10221
1334,10351
1335,10350
1336,10323
1337,10388
1338,10392
1339,10499
1340,10404
1341,10402
1342,10192
1343,10340
1344,10254
1345,10222
1346,10429
1347,10562
1348,10369
1349,10379
1350,10289
1351,10442
1352,10325
1353,10344
1354,10371
1355,10328
1356,10398
1357,10361
1358,10277
1359,10300
1360,10332
1361,10365
1362,10415
1363,10298
1364,10417
1365,10497
1366,10412
1367,10422
1368,10387
1369,10234
1370,10358
1371,10255
1372,10266
1373,10500
1374,10368
1375,10411
1376,10445
1377,10453
1378,10577
1379,10463
1380,10437
1381,10309
1382,10481
1383,10424
1384,10585
1385,10287
1386,10384
1387,10309
1388,10263
1389,10293
1390,10619
1391,10385
1392,10276
1393,10451
1394,10249
1395,10187
1396,10289
1397,10326
1398,10346
1399,10384
1400,10328
1401,10265
1402,10299
1403,10327
1404,10289
1405,10388
1406,10323
1407,10391
1408,10453
1409,10327
1410,10234
1411,10270
1412,10279
1413,10325
1414,10422
1415,10355
1416,10423
1417,10405
1418,10323
1419,10415
1420,10360
1421,10458
1422,10359
1423,10241
1424,10488
1425,10474
1426,10298
1427,10352
1428,10348
1429,10493
1430,10360
1431,10353
1432,10322
1433,10276
1434,10420
1435,10347
1436,10276
1437,10383
1438,10428
1439,10247
1440,10376
1441,10429
1442,10404
1443,10262
1444,10415
1445,10335
1446,10391
1447,10265
1448,10191
1449,10389
1450,10360
1451,10339
1452,10427
1453,10353
1454,10282
1455,10282
1456,10273
1457,10445
1458,10421
1459,10314
1460,10402
1461,10375
1462,10272
1463,10309
1464,10329
1465,10319
1466,10376
1467,10263
1468,10390
1469,10379
1470,10351
1471,10236
1472,10338
1473,10301
1474,10594
1475,10402
1476,10392
1477,10472
1478,10287
1479,10265
1480,10490
1481,10414
1482,10155
1483,10342
1484,10343
1485,10298
1486,10271
1487,10306
1488,10490
1489,10500
1490,10233
1491,10408
1492,10300
1493,10270
1494,10492
1495,10263
1496,10361
1497,10370
1498,10414
1499,10243
1500,10528
1501,10296
1502,10309
1503,10233
1504,10346
1505,10274
1506,10266
1507,10268
1508,10238
1509,10440
1510,10277
1511,10254
1512,10365
1513,10313
1514,10519
1515,10462
1516,10312
1517,10221
1518,10304
1519,10349
1520,10323
1521,10237
1522,10265
1523,10269
1524,10339
1525,10269
1526,10346
1527,10262
1528,10300
1529,10254
1530,10320
1531,10211
1532,10314
1533,10163
1534,10200
1535,10292
1536,10598
1537,10206
1538,10174
1539,10442
1540,10224
1541,10401
1542,10389
1543,10394
1544,10414
1545,10280
1546,10316
1547,10338
1548,10371
1549,10486
1550,10500
1551,10500
1552,10415
1553,10395
1554,10383
1555,10308
1556,10420
1557,10358
1558,10219
1559,10239
1560,10346
1561,10309
1562,10452
1563,10478
1564,10265
1565,10424
1566,10330
1567,10433
1568,10348
1569,10292
1570,10292
1571,10228
1572,10374
1573,10389
1574,10405
1575,10255
1576,10178
1577,10272
1578,10211
1579,10282
1580,10194
1581,10314
1582,10328
1583,10324
1584,10228
1585,10288
1586,10366
1587,10465
1588,10421
1589,10324
1590,10233
