t,deltaS
429,0.03732
430,0.2722
431,-0.1254
432,0.02122
433,-0.09135
434,-0.1089
435,0.117
436,-0.1531
437,0.03712
438,-0.002398
439,0.08833
440,-0.09003
441,0.2036
442,0.06273
443,-0.05805
444,0.0946
445,0.004569
446,0.1163
447,0.05954
448,-0.07266
449,0.12
450,0.1441
451,0.01569
452,-0.1429
453,0.008817
454,-0.1623
455,-0.01517
456,-0.0003637
457,0.2093
458,0.086
459,0.01489
460,-0.1085
461,0.1056
462,-0.04699
463,-0.09069
464,-0.1078
465,0.1999
466,0.1037
467,-0.002324
468,-0.07137
469,0.09312
470,0.134
471,-0.03729
472,-0.004402
473,0.009864
474,0.07029
475,0.02419
476,0.03831
477,-0.06021
478,0.02463
479,0.0979
480,-0.07477
481,0.09098
482,0.05213
483,-0.06457
484,0.1132
485,-0.009964
486,0.07077
487,-0.06166
488,0.1508
489,0.1926
490,0.0664
491,-0.01588
492,-0.09494
493,0.0224
494,0.002556
495,0.01315
496,-0.05189
497,-0.02929
498,-0.1006
499,-0.06074
500,0.08391
501,0.05294
502,0.01496
503,-0.06007
504,0.08596
505,0.01584
506,-0.01234
507,-0.09432
508,-0.0009489
509,0.1237
510,-0.09067
511,0.1573
512,-0.08344
513,0.1243
514,0.09137
515,-0.03412
516,0.1407
517,-0.2164
518,0.06618
519,0.09187
520,0.005605
521,-0.1014
522,-0.01216
523,0.05721
524,-0.04051
525,0.07907
526,-0.08985
527,0.07761
528,-0.1361
529,-0.09359
530,-0.1022
531,0.04362
532,-0.02271
533,0.2813
534,-0.2207
535,0.1157
536,-0.005489
537,0.03573
538,-0.1869
539,0.01147
540,-0.07879
541,0.05219
542,-0.07129
543,-0.1055
544,0.1684
545,0.1095
546,-0.006195
547,0.01603
548,0.09979
549,-0.2117
550,0.04941
551,0.217
552,-0.05606
553,0.03421
554,0.0546
555,-0.1263
556,-0.1511
557,0.004602
558,-0.1081
559,0.1163
560,-0.1844
561,-0.1332
562,0.1004
563,-0.0147
564,0.1921
565,0.04467
566,0.08516
567,0.1131
568,-0.03806
569,0.07324
570,-0.2598
571,0.2057
572,-0.043
573,0.03497
574,-0.08679
575,0.09302
576,0.04857
577,-0.03029
578,-0.1039
579,0.2108
580,0.1066
581,0.0689
582,0.06344
583,-0.04298
584,0.02107
585,-0.1503
586,0.1227
587,-0.07513
588,0.08958
589,-0.1084
590,0.04759
591,-0.1186
592,0.0558
593,0.1883
594,-0.05954
595,0.03178
596,-0.1039
597,-0.0003623
598,0.05162
599,-0.0196
600,0.01567
601,-0.06711
602,0.03733
603,0.1275
604,-0.004269
605,-0.129
606,0.08917
607,-0.07683
608,0.1473
609,0.03902
610,-0.1874
611,0.07077
612,-0.2268
613,0.17
614,0.1757
615,-0.08983
616,0.1267
617,0.0399
618,0.04798
619,0.1036
620,-0.03325
621,0.00885
622,-0.09615
623,0.02988
624,0.08267
625,0.1065
626,-0.05116
627,-0.119
628,0.08198
629,-0.03261
630,0.183
631,0.02186
632,0.04372
633,-0.03272
634,-0.1727
635,0.02862
636,-0.1643
637,0.1267
638,-0.02925
639,0.1262
640,0.08791
641,-0.2181
642,0.04577
643,0.06521
644,-0.03449
645,-0.1512
646,0.06812
647,-0.02335
648,-0.07937
649,0.08943
650,0.2187
651,0.02667
652,0.1073
653,-0.02546
654,0.07998
655,-0.02234
656,-0.05455
657,-0.09234
658,-0.05475
659,-0.09046
660,-0.02904
661,-0.07096
662,0.06628
663,-0.07664
664,-0.03437
665,-0.1102
666,0.03683
667,-0.1438
668,0.06742
669,0.03254
670,0.2689
671,-0.07316
672,0.1041
673,0.106
674,0.0547
675,-0.047
676,0.03595
677,-0.03559
678,-0.09679
679,0.1219
680,0.2063
681,-0.1253
682,-0.06134
683,0.1366
684,0.3115
685,0.01006
686,-0.0488
687,0.06043
688,-0.009273
689,-0.04806
690,0.1237
691,-0.1345
692,0.08769
693,-0.05723
694,-0.03632
695,0.1331
696,0.02884
697,-0.03498
698,0.04926
699,0.1083
700,0.1338
701,0.2029
702,-0.158
703,-0.1991
704,-0.0346
705,0.09067
706,0.001412
707,0.05543
708,0.03248
709,0.06874
710,-0.05545
711,-0.07228
712,-0.192
713,0.1928
714,-0.01745
715,0.1368
716,0.04802
717,0.05885
718,0.1897
719,-0.07458
720,-0.1152
721,-0.05181
722,0.009689
723,-0.02724
724,0.03851
725,0.03158
726,-0.1103
727,-0.01131
728,0.1255
729,0.08255
730,0.03333
731,0.03199
732,-0.1811
733,0.2162
734,-0.221
735,-0.06578
736,0.0195
737,0.2639
738,-0.1513
739,-0.01802
740,-0.142
741,0.07922
742,-0.04161
743,-0.09948
744,0.1022
745,0.01178
746,-0.00861
747,-0.04652
748,-0.003935
749,0.07937
750,-0.1143
751,0.2349
752,0.03454
753,-0.02677
754,-0.166
755,0.1699
756,0.0114
757,-0.003003
758,-0.01321
759,0.13
760,-0.00114
761,-0.01181
762,-0.09462
763,0.06754
764,-0.004703
765,-0.006551
766,-0.177
767,0.09479
768,-0.1451
769,0.1637
770,0.03903
771,0.01241
772,-0.01782
773,-0.07982
774,0.04559
775,0.05754
776,0.07691
777,-0.07997
778,0.2001
779,-0.09378
780,0.01522
781,-0.1055
782,0.1384
783,-0.04724
784,0.01785
785,-0.04997
786,0.02764
787,-0.1078
788,-0.09149
789,-0.02694
790,-0.09386
791,0.2177
792,0.009957
793,-0.09373
