MDTU,min_width,max_width
266,2.52059,1.02379
267,2.55517,1.03549
268,2.40281,1.02446
269,2.57015,1.01986
270,2.52856,1.03553
271,2.41779,1.02918
272,2.49537,1.02518
273,2.55178,1.03478
274,2.57245,1.02545
275,2.60134,1.02736
276,2.56255,1.03051
277,2.51353,1.03509
278,2.49039,1.02616
279,2.4648,1.02215
280,2.47841,1.0224
281,2.47005,1.02943
282,2.53046,1.02091
283,2.42354,1.03748
284,2.4434,1.03518
285,2.45306,1.02703
286,2.55902,1.02948
287,2.40437,1.02778
288,2.46951,1.031
289,2.57062,1.02366
290,2.46897,1.02544
291,2.38835,1.03187
292,2.47571,1.0417
293,2.53472,1.01852
294,2.48279,1.027
295,2.57835,1.02676
296,2.50578,1.02931
297,2.48858,1.03077
298,2.50244,1.02868
299,2.50244,1.02868
300,2.39981,1.04086
301,2.5005,1.031
302,2.44706,1.0299
303,2.50305,1.03682
304,2.57119,1.02263
305,2.51375,1.04485
306,2.5519,1.02696
307,2.60338,1.03239
308,2.47641,1.03401
309,2.4596,1.04602
310,2.42461,1.03279
311,2.56297,1.01865
312,2.50562,1.03436
313,2.44364,1.03344
314,2.60002,1.03003
315,2.60002,1.03003
316,2.49454,1.01496
317,2.51661,1.02521
318,2.50324,1.03153
319,2.49705,1.02482
320,2.47723,1.02363
321,2.49757,1.02985
322,2.56425,1.02876
323,2.53083,1.02518
324,2.53406,1.02705
325,2.45974,1.0292
326,2.35522,1.02973
327,2.54652,1.03
328,2.48665,1.01893
329,2.62071,1.032
330,2.43858,1.03099
331,2.4908,1.02849
332,2.49931,1.02357
333,2.56553,1.01779
334,2.50111,1.01855
335,2.49368,1.03086
336,2.59578,1.03075
337,2.40878,1.02123
338,2.55564,1.02087
339,2.59747,1.01887
340,2.42438,1.02727
341,2.56188,1.02606
342,2.49979,1.02617
343,2.49979,1.02617
344,2.53777,1.02868
345,2.47782,1.03592
346,2.65165,1.02246
347,2.61827,1.04498
348,2.55651,1.03551
349,2.52576,1.0358
350,2.59503,1.02872
351,2.51862,1.0258
352,2.50101,1.03522
353,2.50101,1.03522
354,2.41402,1.02138
355,2.51586,1.02631
356,2.60997,1.02427
357,2.50632,1.02348
358,2.56672,1.04094
359,2.55636,1.02541
360,2.4624,1.02611
361,2.4656,1.02698
362,2.63365,1.02572
363,2.5253,1.02726
364,2.46849,1.03309
365,2.46849,1.03309
366,2.54689,1.03784
367,2.43436,1.03045
368,2.41894,1.03485
369,2.52729,1.02043
370,2.55438,1.0283
371,2.51469,1.02371
372,2.56222,1.03781
373,2.49584,1.02308
374,2.51622,1.0314
375,2.50091,1.0291
376,2.39969,1.03255
377,2.50553,1.03728
378,2.55856,1.03792
379,2.41833,1.0228
380,2.49671,1.02336
381,2.46574,1.02154
382,2.54194,1.03634
383,2.49389,1.04313
384,2.5698,1.02983
385,2.48226,1.02846
386,2.44308,1.02126
387,2.64218,1.03075
388,2.52596,1.0269
389,2.57176,1.02822
390,2.55537,1.02098
391,2.4964,1.02441
392,2.54815,1.0261
393,2.49531,1.03711
394,2.41701,1.03062
395,2.56834,1.0098
396,2.53185,1.03421
397,2.45613,1.01983
398,2.56075,1.02804
399,2.52246,1.02081
400,2.48723,1.03334
401,2.42881,1.03818
402,2.44927,1.03477
403,2.52014,1.04398
404,2.54995,1.02764
405,2.44549,1.03652
406,2.579,1.03156
407,2.59166,1.04125
408,2.59166,1.04125
409,2.52412,1.04219
410,2.43083,1.03689
411,2.53133,1.03696
412,2.47899,1.03449
413,2.47044,1.0241
414,2.49909,1.04134
415,2.51442,1.03769
416,2.56047,1.02717
417,2.45125,1.02282
418,2.50567,1.02227
419,2.47662,1.02288
420,2.43853,1.0407
421,2.55239,1.02865
422,2.56292,1.01938
423,2.51681,1.02219
424,2.51189,1.03759
425,2.47971,1.02244
426,2.49916,1.03577
427,2.49916,1.03577
428,2.51616,1.03245
429,2.49948,1.02854
430,2.5415,1.02967
431,2.46653,1.03778
432,2.50202,1.01946
433,2.55224,1.03984
434,2.57798,1.02713
435,2.50277,1.02008
436,2.52281,1.03324
437,2.48966,1.02846
438,2.52544,1.02794
439,2.53346,1.02696
440,2.5231,1.03191
441,2.51844,1.04413
442,2.53983,1.03359
443,2.50674,1.04414
444,2.47999,1.03381
445,2.56957,1.03076
446,2.48222,1.02152
447,2.63964,1.02439
448,2.60638,1.03658
449,2.53401,1.02419
450,2.47742,1.0248
451,2.57793,1.02973
452,2.54316,1.02013
453,2.57529,1.03206
454,2.52224,1.03366
455,2.58203,1.03318
456,2.48861,1.02783
457,2.59129,1.03827
458,2.5632,1.0253
459,2.56345,1.02767
460,2.50418,1.03342
461,2.48482,1.03661
462,2.59121,1.02872
463,2.43441,1.0313
464,2.52428,1.02037
465,2.52428,1.02037
466,2.57481,1.02689
467,2.41489,1.03117
468,2.5546,1.03087
469,2.47855,1.02728
470,2.47855,1.02728
471,2.4855,1.02688
472,2.50248,1.02104
473,2.52835,1.03121
474,2.55591,1.02482
475,2.49588,1.02611
476,2.44264,1.02902
477,2.4558,1.02988
478,2.61202,1.02259
479,2.43999,1.0275
480,2.44845,1.02966
481,2.59822,1.03186
482,2.60447,1.02398
483,2.49976,1.04293
484,2.52532,1.02582
485,2.5313,1.0342
486,2.53101,1.03349
487,2.52708,1.03003
488,2.4626,1.02622
489,2.55908,1.02366
490,2.44581,1.01822
491,2.49781,1.01984
492,2.47828,1.02508
493,2.57005,1.02793
494,2.41122,1.02335
495,2.52631,1.01748
496,2.5436,1.03192
497,2.54406,1.01916
498,2.48812,1.03485
499,2.53492,1.03157
500,2.47109,1.02776
501,2.50095,1.01968
502,2.51415,1.02593
503,2.4053,1.01242
504,2.47325,1.02199
505,2.53272,1.0294
506,2.57194,1.04586
507,2.47927,1.02332
508,2.47051,1.02857
509,2.47051,1.02857
510,2.45162,1.03227
511,2.51249,1.02435
512,2.47736,1.02633
513,2.50925,1.02886
514,2.56168,1.02621
515,2.51604,1.0371
516,2.52247,1.03589
517,2.50156,1.02503
518,2.64766,1.04172
519,2.46876,1.02629
520,2.47143,1.03523
521,2.49029,1.0208
522,2.49296,1.02585
523,2.56299,1.03764
524,2.43562,1.03574
525,2.50548,1.02929
526,2.50818,1.03331
527,2.57211,1.02914
528,2.44217,1.02347
529,2.56893,1.02815
530,2.53805,1.03406
531,2.52271,1.04065
532,2.46775,1.03939
533,2.53058,1.02568
534,2.53804,1.02703
535,2.5358,1.0309
536,2.54245,1.02867
537,2.51475,1.03318
538,2.48656,1.02979
539,2.43638,1.0339
540,2.51258,1.03383
541,2.52468,1.04149
542,2.50289,1.0345
543,2.57615,1.01429
544,2.57615,1.01429
545,2.57361,1.02806
546,2.54829,1.03756
547,2.50809,1.0249
548,2.50713,1.02027
549,2.49046,1.02269
550,2.55433,1.03426
551,2.60629,1.04052
552,2.48813,1.02396
553,2.55243,1.02204
554,2.4697,1.03256
555,2.48651,1.0308
556,2.50495,1.03362
557,2.48584,1.02636
558,2.53506,1.02684
559,2.51489,1.02786
560,2.52234,1.02994
561,2.44888,1.02221
562,2.56375,1.03285
563,2.50138,1.03152
564,2.50062,1.03134
565,2.50062,1.03134
566,2.46607,1.02299
567,2.53218,1.01471
568,2.51052,1.01162
569,2.51999,1.03075
570,2.57236,1.02698
571,2.44102,1.03248
572,2.53805,1.04317
573,2.46463,1.0366
574,2.49499,1.02598
575,2.45762,1.02263
576,2.45762,1.02263
577,2.53821,1.02972
578,2.51738,1.02591
579,2.52698,1.02437
580,2.52841,1.02885
581,2.52841,1.02885
582,2.47307,1.01878
583,2.4588,1.0307
584,2.51408,1.02276
585,2.43709,1.02346
586,2.46179,1.02852
587,2.42996,1.03238
588,2.42996,1.03238
