ReTr(L),ImTr(L)
2.2247,-13.1202
3.55084,-12.6548
3.68983,-13.6523
4.27973,-12.9508
4.68862,-13.1641
3.99694,-13.3743
2.3725,-13.7684
1.66428,-13.6557
2.78257,-13.9572
1.79473,-13.7986
2.2399,-13.8151
2.21481,-13.71
2.04358,-13.1902
2.76044,-13.5648
3.85518,-13.3903
3.85518,-13.3903
2.00359,-13.9782
-0.608977,-14.0511
-0.443327,-13.8549
0.712239,-13.8105
0.864253,-13.3526
-0.0552973,-13.9459
-0.17007,-13.8269
0.00503338,-13.6079
0.589654,-13.6162
0.887494,-13.645
1.54568,-14.2001
1.52994,-13.4979
1.28803,-13.023
2.10196,-13.4143
2.37289,-13.4167
2.37289,-13.4167
3.63245,-13.3102
2.86506,-12.9741
3.39817,-12.9572
3.40337,-13.1657
3.81125,-12.9636
4.23398,-13.3795
3.19892,-13.807
3.35185,-13.7886
4.2104,-13.1167
3.93875,-13.017
4.61015,-13.108
3.77281,-13.2935
3.7861,-13.2265
1.83075,-13.7398
1.2759,-13.9315
1.63054,-13.3328
0.932948,-13.3682
-0.364535,-13.4105
1.13453,-13.3362
2.10737,-13.5013
2.18078,-13.9213
1.77,-12.6264
0.655585,-13.0673
0.14357,-13.3288
-0.819973,-13.1653
-0.831676,-13.3257
-0.571896,-13.8916
-0.571896,-13.8916
0.180389,-14.5594
-0.134043,-14.6508
-1.37008,-14.2512
-1.58671,-14.6802
-1.47815,-13.8754
-1.51205,-13.7062
-1.70819,-13.6008
-2.18766,-13.6465
-1.45278,-13.6969
-1.45278,-13.6969
-1.50645,-13.3899
-0.76646,-14.052
-0.715212,-14.0223
-1.26189,-13.7028
-2.11011,-13.9603
-1.10927,-14.3666
-1.48726,-14.2439
-2.36909,-14.0649
-1.46965,-13.9798
-1.19844,-14.1683
0.806234,-14.2565
0.806234,-14.2565
0.154499,-14.817
0.785261,-14.5376
0.671249,-14.1139
0.860922,-13.0642
0.842961,-13.9702
1.72911,-13.7675
1.03162,-14.1926
1.29733,-14.3124
1.98057,-14.4311
2.48506,-14.4395
1.71914,-14.018
1.82501,-13.9517
2.08374,-13.4975
1.57386,-13.6569
2.83654,-12.9543
2.24169,-13.7328
1.74636,-13.0787
3.07087,-13.1895
3.59168,-13.2789
4.27869,-13.2877
5.42052,-12.7973
6.09176,-12.6144
4.08083,-13.1669
5.03205,-12.7709
4.27151,-13.2918
3.90469,-12.8128
3.82613,-13.659
5.21804,-12.4437
5.44077,-12.8359
4.56078,-12.401
4.77785,-12.8245
4.40586,-12.3005
5.28164,-12.3322
5.58138,-12.4116
6.55668,-11.7202
6.81815,-11.7598
7.60083,-12.2737
7.93998,-12.3235
7.89222,-12.1889
9.23628,-11.5846
8.7198,-11.3959
9.09525,-11.7941
9.09525,-11.7941
8.42382,-12.3709
8.92232,-11.9411
9.15297,-11.3106
11.042,-9.81602
10.6485,-10.0254
12.1344,-7.66727
12.4091,-7.57914
12.4029,-5.88022
11.9138,-6.79389
12.1445,-6.21074
12.5111,-5.83472
12.0361,-6.81443
10.8743,-6.96039
11.0844,-7.21918
11.003,-7.97199
12.5248,-7.84665
12.4572,-7.48808
12.5383,-6.95215
12.5383,-6.95215
12.5794,-6.66946
12.2155,-6.02488
12.0738,-5.54977
12.2421,-6.8793
11.6486,-7.00966
12.0661,-7.67903
12.0416,-7.02663
11.8609,-6.6159
12.296,-6.65832
12.974,-5.76589
12.7924,-6.05478
13.2013,-4.90597
14.0499,-3.64561
13.9873,-2.97445
13.6521,-2.28029
14.3138,-1.13219
13.6677,-3.40074
13.2796,-4.00256
12.6031,-4.30078
12.7791,-4.12986
13.0726,-3.95529
13.0333,-2.87204
12.802,-3.01704
12.6785,-3.21051
12.7653,-4.06897
12.5123,-3.95003
12.4109,-5.25965
12.6526,-5.62789
12.4223,-6.27289
12.4475,-6.15335
11.8014,-6.74676
11.1269,-7.54177
10.7149,-9.51449
11.263,-8.22461
10.86,-8.87669
11.3354,-7.68036
11.936,-8.53261
11.936,-8.53261
12.0367,-7.23631
11.7436,-7.55319
12.4336,-6.99625
11.6079,-7.92657
11.6079,-7.92657
11.4144,-7.62328
11.5613,-7.48459
11.0558,-8.30629
11.2498,-7.31856
12.371,-6.20447
12.5616,-5.32941
13.3067,-5.03115
13.2828,-4.43344
13.0574,-5.14632
13.2825,-5.08672
12.966,-5.83898
12.6789,-6.53013
12.771,-6.90798
13.6949,-5.0628
13.657,-4.06966
13.648,-3.77819
14.0212,-2.35305
13.6289,-2.90171
12.794,-2.87209
13.0316,-2.89587
12.7626,-3.82052
12.6292,-4.43962
12.2717,-4.72254
12.3299,-4.20994
12.6755,-4.37425
12.6323,-5.16843
12.0915,-5.24391
12.6234,-5.99667
12.6092,-5.42231
11.7044,-6.64239
11.2788,-6.81905
10.9779,-7.25058
11.2845,-7.26936
10.6002,-7.71218
11.6467,-6.6097
12.6868,-5.88648
12.5559,-6.4186
12.2023,-6.71165
12.2023,-6.71165
12.1253,-7.12566
9.50212,-9.78655
8.92909,-10.6017
8.98202,-10.1496
8.99462,-9.5865
9.4939,-9.7655
8.02001,-10.2983
6.35348,-12.5453
5.14937,-12.7331
5.25558,-12.4405
4.41281,-12.6514
5.42185,-12.633
6.63879,-11.9906
7.44124,-11.8016
8.59037,-11.0792
9.71686,-9.81547
8.49383,-10.7484
7.98212,-10.6117
8.76449,-10.5717
8.51098,-11.0727
6.67886,-12.4647
6.84828,-12.5363
7.49284,-12.2746
5.64346,-11.9861
5.18055,-12.8758
5.49927,-12.1509
7.22944,-11.6219
6.55031,-12.1631
7.05932,-12.568
6.33749,-13.0491
7.01432,-12.6856
6.99701,-12.4061
7.70501,-12.0556
7.74535,-11.769
7.74535,-11.769
7.32774,-11.6343
7.1531,-12.0241
7.4884,-12.0755
6.04451,-11.8303
6.69679,-12.7079
6.86915,-12.845
6.7735,-12.0345
6.25745,-12.6085
4.83814,-12.5804
5.03587,-12.3238
6.44494,-11.9045
6.19454,-12.4479
4.59583,-12.5252
3.87534,-13.075
4.37566,-12.4947
3.63926,-12.8735
3.83355,-13.4854
3.92576,-13.3029
1.93198,-14.099
3.20643,-13.3922
3.20643,-13.3922
5.91786,-12.4177
6.19603,-11.9411
6.13179,-12.0381
6.02326,-11.9423
3.63749,-13.5729
4.02268,-12.9165
4.25991,-12.8235
4.17245,-12.8513
4.45792,-12.907
4.11242,-12.5817
4.11242,-12.5817
4.00923,-13.325
3.99044,-13.908
3.57249,-12.8137
3.14197,-12.7316
3.14197,-12.7316
2.53758,-12.5903
3.39104,-12.9772
4.76648,-12.5506
4.22716,-13.2904
3.40509,-12.9762
4.60212,-12.7732
4.60212,-12.7732
5.11482,-12.988
5.0554,-12.4762
5.67173,-12.3079
4.7096,-12.7966
5.04834,-12.5436
5.41139,-12.5887
4.11179,-12.6574
3.91673,-13.3822
3.41642,-13.6047
3.08654,-13.6246
3.82566,-13.2558
3.81899,-13.4397
4.47049,-13.1985
4.38689,-13.2838
4.38222,-12.9957
4.54957,-13.0142
5.11812,-13.2755
3.75213,-13.3403
3.91556,-13.9224
3.01497,-13.5418
3.55682,-13.2261
3.77893,-13.7611
3.48593,-13.3756
4.05771,-13.948
5.51246,-12.9941
5.29899,-12.6395
5.5017,-13.0436
4.61848,-12.9876
4.80947,-12.7234
4.07706,-13.1511
3.75752,-12.6996
5.48214,-12.5459
6.70448,-12.3534
5.06648,-13.2118
6.53983,-12.3309
6.57481,-11.545
5.49511,-11.8712
4.8507,-11.7333
5.626,-12.3358
6.60749,-11.9049
7.10277,-12.1494
6.5847,-11.9861
7.97777,-11.0528
8.50307,-10.6688
8.85368,-10.8619
9.18393,-10.9338
8.32355,-11.0488
9.95051,-10.4391
10.3872,-8.63161
9.51202,-9.6633
9.17902,-9.994
8.21153,-10.5268
9.29011,-10.5981
7.14171,-12.1906
7.37395,-11.244
8.08872,-10.4111
7.83444,-11.7142
6.82758,-12.011
6.47337,-12.1996
7.45362,-12.3967
7.65837,-12.107
8.42193,-10.7933
7.9619,-11.0982
7.95177,-10.5412
7.67574,-11.3217
7.83165,-10.5956
8.94875,-9.75264
9.56787,-10.0154
10.3511,-9.33822
10.39,-9.24158
10.9027,-8.65962
11.5134,-7.55917
12.3415,-7.65739
12.3423,-7.02592
12.7961,-7.27111
13.5404,-6.36366
13.7301,-4.87073
11.9956,-7.41654
13.2376,-6.0914
12.4755,-6.54139
12.8267,-5.8033
11.4886,-6.88181
11.8313,-7.51583
12.4707,-6.67529
12.1933,-6.49776
11.6639,-6.73489
11.4975,-7.77039
11.3528,-7.48662
12.0536,-7.29136
12.2625,-6.85972
12.6551,-5.87366
12.6551,-5.87366
12.4748,-6.81237
12.3351,-6.90728
12.3351,-6.90728
12.3351,-6.90728
12.6783,-5.87411
12.5947,-6.0504
12.347,-6.04056
12.7928,-5.36304
13.0006,-5.33835
12.903,-4.45248
13.0993,-5.3255
12.8824,-4.86563
12.5301,-5.93741
12.2016,-6.92316
12.4875,-5.85438
12.765,-5.71209
11.9665,-6.57728
11.654,-7.70074
11.654,-7.70074
12.2088,-6.19485
12.2088,-6.19485
12.647,-5.66655
13.4577,-5.6775
13.4209,-5.18621
13.0888,-5.25782
13.1313,-5.05035
12.9871,-4.68774
13.0135,-4.26573
13.3987,-3.26257
13.9302,-3.30873
14.2048,-2.51711
14.6916,-2.07869
14.384,-1.56987
14.2574,-4.01173
14.2574,-4.01173
14.4316,-3.54996
14.1413,-3.47354
13.4762,-2.50488
13.8602,-1.91757
13.6348,-2.80835
13.9121,-3.88329
13.3862,-4.58624
13.1193,-5.17718
12.6004,-6.03445
13.3522,-4.86322
13.0299,-5.92378
12.1179,-6.82257
11.4971,-6.27318
11.008,-6.62226
11.8663,-5.28939
11.8663,-5.28939
13.1837,-4.89033
12.8094,-4.31398
12.5289,-5.09165
12.3428,-6.21984
12.2639,-6.79721
11.315,-6.4313
12.1555,-5.91658
12.9014,-4.49336
13.6729,-4.74524
12.8999,-5.51285
12.9188,-6.0573
12.4375,-6.58549
11.9568,-7.25833
12.2331,-6.91988
11.0249,-8.37631
11.4024,-7.82263
12.0229,-7.80995
10.8772,-8.24051
10.8763,-9.1725
10.8763,-9.1725
10.4465,-9.24878
10.071,-9.45748
11.2894,-9.27639
10.4366,-9.25192
9.92771,-10.5284
11.095,-8.77465
10.9915,-9.09104
10.7406,-9.69476
10.8696,-9.15049
10.106,-9.59313
8.82373,-10.7236
8.9519,-10.7553
7.96625,-11.2421
8.19646,-10.8631
7.41103,-11.7827
8.2296,-11.1917
7.29529,-12.3892
7.05745,-12.2187
7.00762,-12.1182
5.21337,-13.0083
5.6425,-12.4545
6.39169,-12.3612
5.92975,-12.1896
5.85467,-12.0415
5.91544,-11.9345
6.15851,-12.4722
5.15354,-11.9518
6.01869,-11.857
6.13881,-11.9103
6.27505,-12.1213
5.17486,-11.9578
6.2048,-11.7844
6.54952,-11.6926
7.91995,-11.1337
8.35521,-10.9854
8.82872,-10.7154
9.09528,-10.9506
8.14963,-11.5291
8.96576,-10.929
8.16516,-10.7128
7.49554,-11.384
6.9756,-11.8838
6.55336,-12.0794
6.75204,-12.0427
6.65655,-11.2864
5.93184,-12.3202
6.07331,-12.4585
6.17651,-12.2385
6.06252,-12.2923
6.76735,-12.437
5.46698,-13.7549
4.13947,-13.1476
3.68927,-12.9615
3.45392,-13.3273
3.67022,-13.821
2.68264,-14.0745
1.50872,-14.0465
2.74205,-14.1255
3.31556,-14.8784
2.7431,-13.9532
2.1229,-14.0959
1.36725,-13.8547
1.36725,-13.8547
1.66348,-13.4279
-0.158256,-13.9235
0.101698,-13.5739
0.507043,-13.6844
-0.256748,-13.9109
-0.112129,-14.137
-0.129323,-13.7012
0.207748,-13.304
-0.480142,-13.3971
-0.423862,-14.0014
1.12233,-13.3352
2.11914,-12.7936
1.56624,-13.5803
1.87117,-13.836
1.25929,-13.7915
2.87361,-13.1423
1.11734,-12.8603
2.59542,-12.805
2.01923,-13.2342
1.92396,-13.0507
2.62353,-13.1275
3.51802,-12.5652
2.82718,-13.1331
3.68976,-13.0268
3.04717,-13.0588
3.01837,-13.3096
1.75399,-13.2209
2.32393,-13.0577
1.32005,-13.2535
2.08065,-13.3728
2.51263,-13.5047
1.76274,-13.4185
2.66481,-14.0042
1.58131,-13.4964
0.395806,-14.299
-0.0198094,-14.1531
-0.915851,-14.0975
1.47149,-14.1871
1.3751,-14.0032
1.21075,-13.9346
0.611327,-13.965
1.58248,-13.8436
1.22609,-13.9206
1.25598,-13.5869
2.41763,-13.8031
1.97378,-13.3246
2.80818,-13.5685
2.80818,-13.5685
2.80818,-13.5685
2.80357,-12.7592
3.17113,-12.8945
2.38214,-13.015
2.23158,-13.3737
2.45097,-13.0993
1.64208,-13.3539
1.78917,-13.2622
2.35331,-13.4799
2.08517,-13.0198
1.67926,-13.4468
1.49672,-13.9562
2.35718,-13.8588
2.58447,-13.3134
3.38739,-13.3699
3.04316,-13.5961
3.7746,-13.599
2.98327,-13.5468
3.54079,-13.1434
2.05402,-13.5853
1.58584,-13.5051
1.17357,-13.8553
0.932278,-13.8689
1.03835,-13.7224
2.32453,-14.3738
3.06196,-13.915
3.07189,-13.8092
3.49523,-13.3143
3.04565,-14.2989
4.16538,-13.8936
2.86836,-14.3662
1.64004,-14.4822
1.91212,-14.2245
1.56109,-13.8585
0.512336,-13.9677
1.78472,-13.5068
2.04858,-14.2211
2.50193,-14.0827
2.38766,-13.7366
3.75702,-13.9429
3.45909,-13.0408
3.70803,-13.4864
6.41934,-13.1398
7.45405,-12.95
6.94282,-13.8502
6.34371,-13.8093
7.98371,-14.0312
7.91646,-12.6003
7.52431,-12.3506
8.06427,-11.6656
7.71228,-12.2852
7.33008,-12.5653
7.33008,-12.5653
7.67778,-12.0164
6.28299,-12.3382
6.90796,-12.5436
6.15265,-12.1661
5.92191,-12.331
6.44066,-12.0488
5.92971,-12.4254
5.15318,-12.604
4.91495,-13.0449
