t,e^(-dS)
1,10.7618
2,0.231772
3,0.728112
4,0.674152
5,0.798516
6,0.816033
7,0.82605
8,0.857787
9,0.864331
10,1.02819
11,0.844256
12,0.919192
13,0.966552
14,0.940927
15,1.03526
16,1.055
17,1.03247
18,0.866407
19,0.981749
20,0.95911
21,0.929099
22,0.970387
23,0.990801
24,1.12885
25,0.949709
26,1.00252
27,0.907012
28,1.06471
29,1.02972
30,1.04863
31,1.04557
32,0.962087
33,1.06901
34,0.976051
35,1.05459
36,0.983744
37,1.00431
38,1.04022
39,0.943744
40,1.06658
41,0.891723
42,1.09766
43,0.991022
44,1.00471
45,0.933625
46,0.999109
47,1.00195
48,1.09135
49,0.919137
50,1.0313
51,1.06116
52,0.913127
53,1.09738
54,0.908909
55,1.05098
56,0.94071
57,1.02776
58,0.926835
59,1.01379
60,0.995625
61,1.01323
62,0.988645
63,0.983055
64,0.92235
65,0.911403
66,0.969049
67,1.12637
68,0.977908
69,0.998045
70,1.00903
71,1.09672
72,1.03449
73,0.968603
74,1.00858
75,0.982387
76,1.03053
77,0.990289
78,1.02687
79,1.04833
80,1.03858
81,0.846284
82,0.952886
83,1.06571
84,1.10705
85,1.09754
86,1.14832
87,0.836775
88,0.909537
89,0.933943
90,1.03407
91,1.01031
92,0.893151
93,0.96228
94,1.01787
95,0.972914
96,0.946627
97,1.02819
98,0.980179
99,1.06587
100,1.13168
101,0.924003
102,1.05095
103,0.94348
104,0.881615
105,1.0099
106,0.979023
107,1.05242
108,0.982623
109,1.07999
110,1.06343
111,0.851377
112,0.950678
113,1.0914
114,1.00717
115,0.867014
116,1.00876
117,1.04187
118,0.918035
119,1.12434
120,0.854106
121,0.987301
122,0.977957
123,0.803402
124,1.17668
125,1.06074
126,1.03075
127,1.08742
128,0.995405
129,0.998191
130,1.00164
131,0.950602
132,1.07491
133,1.0093
134,1.04721
135,0.954708
136,0.847809
137,1.0642
138,1.04872
139,0.847131
140,0.98459
141,0.963156
142,0.9575
143,1.0506
144,1.13111
145,1.04503
146,0.968255
147,1.02063
148,0.991596
149,0.878271
150,1.11216
151,0.954927
152,1.02252
153,0.991761
154,1.0476
155,1.1781
156,0.986758
157,0.998672
158,1.11986
159,0.936515
160,0.992455
161,1.03223
162,1.0118
163,0.976276
164,1.04417
165,1.07025
166,0.892883
167,0.949766
168,0.872232
169,1.09235
170,0.899515
171,1.13553
172,0.861828
173,0.974696
174,0.79724
175,1.18507
176,0.867014
177,1.13587
178,1.04755
179,1.23331
180,0.909873
181,1.04311
182,0.869184
183,0.934391
184,0.92987
185,1.09943
186,1.14431
187,0.915752
188,1.06358
189,0.845438
190,0.986226
191,1.32287
192,1.05436
193,1.04577
194,0.938296
195,0.989901
196,1.33723
197,0.718205
198,1.09996
199,0.92988
200,0.858216
201,0.980924
202,1.0706
203,0.977331
204,1.01569
205,1.03241
206,0.987459
207,0.966726
208,1.12648
209,0.944963
210,0.990475
211,0.867795
212,1.06572
213,0.994186
214,0.871622
215,1.11449
216,0.81685
217,1.10705
218,1.17468
219,0.979993
220,0.886743
221,0.953277
222,0.95704
223,0.894402
224,1.03607
225,1.09833
226,1.14614
227,0.983626
228,0.997063
229,0.861311
230,0.932273
231,0.957931
232,0.864849
233,1.12603
234,0.899695
235,1.04368
236,1.18507
237,0.968216
238,0.968419
239,0.949196
240,1.02457
241,0.934074
242,1.24832
243,1.01361
244,0.939441
245,0.932468
246,1.15454
247,0.93629
248,1.06251
249,0.952553
250,1.10971
251,0.85385
252,1.10166
253,1.02501
254,0.980973
255,1.17668
256,1.01468
257,1.27571
258,0.829942
259,1.06387
260,0.915889
261,1.31824
262,0.982357
263,1.26529
264,0.935074
265,0.995072
266,0.991723
267,0.98065
268,1.24098
269,0.876166
270,1.07929
271,0.97915
272,1.03982
273,1.30408
274,0.790176
275,1.04419
276,0.982387
277,0.906404
278,1.07642
279,1.08167
280,0.887541
281,1.05721
282,1.0254
283,0.967655
284,1.04191
285,1.0613
286,1.18152
287,0.881968
288,0.862604
289,0.990755
290,0.950535
291,0.960703
