MDTU,|Tr(L)|,ReTr(L),ImTr(L)
173,14.0112,5.48317,-12.8937
174,13.544,5.65678,-12.3061
175,14.203,6.06746,-12.8418
176,13.1936,5.76315,-11.8683
177,13.9025,6.38448,-12.3498
178,13.7782,7.41289,-11.6141
179,14.6846,8.81617,-11.7436
180,14.2016,8.35719,-11.4823
181,14.2922,9.25521,-10.8907
182,14.145,9.27849,-10.6766
183,13.5196,8.84159,-10.2278
184,13.6465,9.54535,-9.75267
185,14.2348,9.30651,-10.7712
186,13.9474,9.4631,-10.2459
187,13.5581,8.76893,-10.3406
188,13.8725,8.78938,-10.7328
189,12.9893,8.22796,-10.051
190,12.7337,7.06943,-10.591
191,13.4421,7.97855,-10.8182
192,13.4936,7.29606,-11.351
193,13.402,6.61499,-11.6557
194,13.3289,6.31508,-11.738
195,13.6309,6.9453,-11.7288
196,14.8011,9.28134,-11.5295
197,13.7478,8.67431,-10.6658
198,14.1803,9.46195,-10.5618
199,14.0761,8.84096,-10.9533
200,13.7921,8.90433,-10.5326
201,13.5304,8.685,-10.3751
202,13.5778,9.41334,-9.78494
203,13.6382,9.1215,-10.139
204,13.9678,8.36625,-11.1851
205,13.6727,8.89239,-10.386
206,13.7099,9.56593,-9.82113
207,13.95,8.42057,-11.1219
208,14.0333,10.0144,-9.83084
209,13.5239,8.32393,-10.6587
210,13.8175,8.12308,-11.1776
211,12.9363,7.09491,-10.8171
212,13.2865,6.56302,-11.5524
213,13.5802,6.15529,-12.1051
214,13.5802,6.15529,-12.1051
215,14.205,5.44988,-13.118
216,13.4729,5.50817,-12.2955
217,13.7078,4.51888,-12.9415
218,14.1044,6.95048,-12.2729
219,14.4929,6.90821,-12.7405
220,14.254,5.77849,-13.0301
221,13.9126,5.73128,-12.6773
222,14.0588,5.56404,-12.9109
223,13.7196,5.56306,-12.5411
224,13.4962,5.65212,-12.2556
225,13.7173,4.61672,-12.917
226,14.0529,4.76121,-13.2217
227,14.0011,4.02092,-13.4113
228,14.4022,4.3678,-13.7239
229,14.1915,4.81703,-13.349
230,13.6033,4.54631,-12.8211
231,13.4303,4.48685,-12.6586
232,13.0625,4.43347,-12.2872
233,13.3791,4.53651,-12.5865
234,13.0571,3.33086,-12.6251
235,13.7045,3.15841,-13.3355
236,14.0653,1.74295,-13.9568
237,13.5726,0.848671,-13.546
238,13.7017,1.44158,-13.6256
239,13.6638,1.06912,-13.6219
240,13.6396,0.202374,-13.6381
241,13.434,0.524315,-13.4238
242,13.6274,1.41078,-13.5542
243,13.3479,2.78335,-13.0545
244,13.4827,4.26035,-12.7919
245,13.2631,4.4328,-12.5004
246,13.5137,4.7057,-12.6679
247,13.1504,4.42563,-12.3834
248,13.4927,4.09986,-12.8548
249,13.5156,4.26006,-12.8266
250,13.9395,4.90291,-13.0489
251,13.4295,4.70127,-12.5797
252,13.4403,4.39101,-12.7028
253,13.653,3.71273,-13.1385
254,13.2087,3.21302,-12.8119
255,13.772,2.10927,-13.6096
256,13.7723,1.40071,-13.7008
257,14.7656,0.905675,-14.7378
258,14.1704,1.84527,-14.0498
259,13.9478,1.48114,-13.8689
260,13.5551,1.81473,-13.4331
261,14.3726,1.91812,-14.244
262,13.9407,2.43537,-13.7263
263,14.4157,1.82995,-14.2991
264,13.8532,3.4553,-13.4154
265,13.7412,2.83311,-13.446
266,13.8622,2.5473,-13.6262
267,13.8755,2.06103,-13.7216
268,14.1073,3.26011,-13.7255
269,13.8873,4.30422,-13.2035
270,14.2373,4.73639,-13.4263
271,14.0206,5.06793,-13.0726
272,14.5427,5.32097,-13.5343
273,14.9256,5.02258,-14.0551
274,14.0467,4.3604,-13.3528
275,14.064,4.81593,-13.2137
276,14.2102,4.39308,-13.5141
277,13.7788,4.03269,-13.1754
278,13.4685,3.48103,-13.0108
279,13.5483,3.19842,-13.1653
280,13.2801,2.20183,-13.0963
281,13.4476,3.38928,-13.0135
282,13.3339,3.13651,-12.9598
283,13.3877,2.76656,-13.0987
284,13.3075,2.2247,-13.1202
285,13.1435,3.55084,-12.6548
286,14.1421,3.68983,-13.6523
287,13.6396,4.27973,-12.9508
288,13.9742,4.68862,-13.1641
289,13.9588,3.99694,-13.3743
290,13.9713,2.3725,-13.7684
291,13.7567,1.66428,-13.6557
292,14.2318,2.78257,-13.9572
293,13.9149,1.79473,-13.7986
294,13.9955,2.2399,-13.8151
295,13.8877,2.21481,-13.71
296,13.3476,2.04358,-13.1902
297,13.8428,2.76044,-13.5648
298,13.9343,3.85518,-13.3903
299,13.9343,3.85518,-13.3903
300,14.1211,2.00359,-13.9782
301,14.0642,-0.608977,-14.0511
302,13.862,-0.443327,-13.8549
303,13.8289,0.712239,-13.8105
304,13.3805,0.864253,-13.3526
305,13.946,-0.0552973,-13.9459
306,13.8279,-0.17007,-13.8269
307,13.6079,0.00503338,-13.6079
308,13.6289,0.589654,-13.6162
309,13.6738,0.887494,-13.645
310,14.284,1.54568,-14.2001
311,13.5844,1.52994,-13.4979
312,13.0866,1.28803,-13.023
313,13.578,2.10196,-13.4143
314,13.6249,2.37289,-13.4167
315,13.6249,2.37289,-13.4167
316,13.7969,3.63245,-13.3102
317,13.2867,2.86506,-12.9741
318,13.3954,3.39817,-12.9572
319,13.5985,3.40337,-13.1657
320,13.5122,3.81125,-12.9636
321,14.0335,4.23398,-13.3795
322,14.1728,3.19892,-13.807
323,14.1902,3.35185,-13.7886
324,13.7759,4.2104,-13.1167
325,13.5998,3.93875,-13.017
326,13.8951,4.61015,-13.108
327,13.8185,3.77281,-13.2935
328,13.7577,3.7861,-13.2265
329,13.8613,1.83075,-13.7398
330,13.9898,1.2759,-13.9315
331,13.4322,1.63054,-13.3328
332,13.4007,0.932948,-13.3682
333,13.4155,-0.364535,-13.4105
334,13.3843,1.13453,-13.3362
335,13.6647,2.10737,-13.5013
336,14.091,2.18078,-13.9213
337,12.7498,1.77,-12.6264
338,13.0838,0.655585,-13.0673
339,13.3296,0.14357,-13.3288
340,13.1908,-0.819973,-13.1653
341,13.3517,-0.831676,-13.3257
342,13.9033,-0.571896,-13.8916
343,13.9033,-0.571896,-13.8916
344,14.5605,0.180389,-14.5594
345,14.6514,-0.134043,-14.6508
346,14.3169,-1.37008,-14.2512
347,14.7657,-1.58671,-14.6802
348,13.9539,-1.47815,-13.8754
349,13.7894,-1.51205,-13.7062
350,13.7076,-1.70819,-13.6008
351,13.8207,-2.18766,-13.6465
352,13.7737,-1.45278,-13.6969
