t,walltime
10,62.86
20,33.93
30,19.5
40,13.78
50,9.936
60,9.798
70,9.808
80,9.751
90,9.809
100,9.797
110,9.864
120,9.804
130,9.926
140,9.852
150,9.732
160,9.732
170,9.904
180,9.883
190,9.771
200,9.828
210,9.751
220,9.795
230,9.868
240,9.82
250,9.733
260,9.774
270,9.813
280,9.823
290,9.837
300,9.805
310,9.879
320,9.815
330,9.727
340,9.843
350,9.691
360,9.633
370,9.829
380,9.832
390,9.739
400,9.806
410,9.842
420,9.835
430,9.708
440,9.67
450,9.802
460,9.885
470,9.804
480,9.83
490,9.708
500,9.74
510,9.772
520,9.857
530,9.851
540,9.757
550,9.706
560,9.817
570,9.792
580,9.861
590,9.702
600,9.745
610,9.81
620,9.905
630,9.84
640,9.883
650,9.799
660,9.824
670,9.746
680,9.805
690,9.799
700,9.781
710,9.798
720,9.785
730,9.844
740,9.798
750,9.916
760,9.835
770,9.78
780,9.781
790,9.742
800,9.731
810,9.749
820,9.956
830,9.766
840,9.727
850,9.729
860,9.832
870,9.85
880,9.756
890,9.81
900,9.81
910,9.832
920,9.932
930,9.849
940,9.863
950,9.897
960,9.963
970,9.879
980,9.76
990,9.677
1000,9.844
1010,9.914
1020,9.911
1030,9.86
1040,9.868
1050,9.859
1060,9.967
1070,9.856
1080,9.882
1090,9.841
1100,9.844
1110,9.879
1120,9.945
1130,9.84
1140,9.853
1150,9.845
1160,9.919
1170,9.864
1180,9.837
1190,9.805
1200,9.876
1210,9.849
1220,9.798
1230,9.789
1240,9.844
1250,9.808
1260,9.933
1270,9.827
1280,9.853
1290,9.813
1300,9.82
1310,9.707
1320,9.847
1330,9.84
1340,9.884
1350,10
1360,9.79
1370,9.882
1380,9.79
1390,9.813
1400,9.757
1410,9.873
1420,9.952
1430,9.866
1440,9.876
1450,9.95
1460,10.03
1470,9.939
1480,9.75
1490,9.801
1500,9.722
1510,9.89
1520,9.852
1530,9.908
1540,9.755
1550,9.801
1560,9.812
1570,9.868
1580,9.717
1590,9.791
1600,9.905
1610,9.772
1620,9.818
1630,9.921
1640,9.901
1650,9.771
1660,9.881
1670,9.903
1680,9.84
1690,9.753
1700,9.788
1710,9.82
1720,9.855
1730,9.968
1740,9.805
1750,9.916
1760,9.878
1770,9.873
1780,9.996
1790,9.914
1800,10.01
1810,10.01
1820,9.861
1830,10.04
1840,9.826
1850,9.844
1860,10.04
1870,9.974
1880,9.74
1890,9.868
1900,9.907
1910,9.954
1920,9.841
1930,9.916
1940,9.912
1950,9.998
1960,9.893
1970,9.918
1980,9.999
1990,9.88
2000,10.01
2010,10.01
2020,9.994
2030,9.914
2040,10.02
2050,9.86
2060,9.965
2070,10.01
2080,10.03
2090,10.06
2100,10.02
2110,10.02
2120,10.06
2130,9.995
2140,10.1
2150,10.03
2160,10.11
2170,9.97
2180,10.08
2190,9.952
2200,9.984
2210,10.02
2220,9.978
2230,9.993
2240,10.09
2250,9.97
2260,9.931
2270,10.06
2280,10.05
2290,10.15
2300,10.17
2310,10.08
2320,10.04
2330,10.12
2340,10.02
2350,10.14
2360,10.03
2370,9.999
2380,10.11
2390,10.02
2400,10.05
2410,10.12
2420,10.16
2430,10.12
2440,10.1
2450,10.16
2460,10.32
2470,10.27
2480,10.23
2490,10.13
2500,10.19
2510,10.12
2520,10.22
2530,10.29
2540,10.12
2550,10.27
2560,10.12
2570,10.21
2580,10.38
2590,10.26
2600,10.41
2610,10.32
2620,10.35
2630,10.26
2640,10.28
2650,10.1
2660,10.2
2670,10.34
2680,10.24
2690,10.46
2700,10.15
2710,10.34
2720,10.3
2730,10.45
2740,10.31
2750,10.53
2760,10.35
2770,10.26
2780,10.24
2790,10.1
2800,10.42
2810,10.38
2820,10.51
2830,10.25
2840,10.63
2850,10.28
2860,10.46
2870,10.37
2880,10.64
2890,10.34
2900,10.67
2910,10.45
2920,10.62
2930,10.34
2940,10.61
2950,10.39
2960,10.52
2970,10.4
2980,10.71
2990,10.45
3000,10.51
3010,10.33
3020,10.57
3030,10.33
3040,10.6
3050,10.5
3060,10.64
3070,10.45
3080,10.66
3090,10.66
3100,10.47
3110,10.73
3120,10.53
3130,10.69
3140,10.62
3150,10.79
3160,10.6
3170,10.55
3180,10.66
3190,10.45
3200,10.84
3210,10.57
3220,10.69
3230,10.59
3240,10.8
3250,10.71
3260,10.42
3270,10.83
3280,10.61
3290,10.84
3300,10.58
3310,10.83
3320,11
3330,10.61
3340,10.85
3350,10.59
3360,10.87
3370,10.83
3380,10.66
3390,10.92
3400,10.71
3410,10.85
3420,10.95
3430,10.75
3440,10.93
3450,10.83
3460,10.73
3470,11.02
3480,11.01
3490,10.63
3500,11.04
