ReTr(Lx),ImTr(Lx)
0.687815,0.586727
0.695744,0.453249
0.779804,0.262417
0.682058,0.444419
0.703043,0.386142
0.647004,0.422587
0.647004,0.422587
0.548888,0.505886
0.616726,0.357581
0.651332,0.438654
0.596603,0.473677
0.32827,0.649757
0.342864,0.699093
0.396806,0.542634
0.406903,0.412177
0.436558,0.531373
0.396894,0.648304
0.219403,0.721083
0.171842,0.652868
0.441093,0.604653
0.398827,0.522517
0.170338,0.542236
0.240864,0.645615
0.0109539,0.630107
0.0735153,0.674701
0.225878,0.613296
0.135945,0.757524
0.115442,0.706343
-0.327363,0.592445
-0.404017,0.623307
-0.404017,0.623307
-0.344083,0.639088
-0.387778,0.628089
-0.430378,0.607363
-0.531191,0.533266
-0.368235,0.621498
0.0110522,0.770667
0.08464,0.723924
-0.119431,0.798493
-0.0103921,0.689207
0.109145,0.705263
0.109145,0.705263
0.0321452,0.746002
-0.238932,0.695327
-0.238932,0.695327
-0.295247,0.603277
-0.406073,0.554492
-0.406073,0.554492
-0.431858,0.591788
-0.431858,0.591788
-0.431858,0.591788
-0.431858,0.591788
-0.431858,0.591788
-0.676246,0.0751908
-0.676246,0.0751908
-0.609541,0.386028
-0.580639,0.451337
-0.523273,0.323339
-0.523273,0.323339
-0.669774,0.277919
-0.641552,0.292332
-0.625368,0.308925
-0.655839,0.262801
-0.638836,0.116003
-0.678675,0.0303616
-0.550993,0.430812
-0.550993,0.430812
-0.550993,0.430812
-0.410012,0.586445
-0.410012,0.586445
-0.410012,0.586445
-0.410012,0.586445
-0.410012,0.586445
-0.410012,0.586445
-0.423662,0.596984
-0.261239,0.707264
-0.261239,0.707264
-0.261239,0.707264
0.058212,0.680242
0.0477914,0.64042
0.0477914,0.64042
0.203472,0.648992
0.203472,0.648992
0.326348,0.63505
0.224395,0.643256
-0.093045,0.591584
-0.358692,0.552457
-0.0184087,0.602548
-0.0712919,0.689476
-0.269427,0.514411
-0.269427,0.514411
0.174025,0.609522
0.246374,0.577905
0.246374,0.577905
0.159911,0.573183
0.352767,0.523817
0.346865,0.534992
0.372908,0.528555
0.372908,0.528555
0.496423,0.362345
0.588224,0.350748
0.651143,0.30562
0.423649,0.503503
0.423649,0.503503
0.655897,0.320539
0.655897,0.320539
0.615262,0.26464
0.544415,0.445884
0.544415,0.445884
0.544415,0.445884
0.514733,0.481593
0.514733,0.481593
0.34366,0.646592
-0.0495174,0.685355
-0.0939408,0.793683
0.00889233,0.655124
0.00889233,0.655124
0.0981192,0.696192
0.341964,0.623899
0.445647,0.586832
0.516314,0.605432
0.446918,0.591357
0.396108,0.611463
0.458806,0.614319
0.164242,0.759781
-0.124075,0.722863
-0.124075,0.722863
-0.124075,0.722863
-0.290744,0.754763
-0.290744,0.754763
-0.193438,0.667578
-0.485783,0.341861
-0.510415,0.577934
-0.309947,0.618434
-0.309947,0.618434
-0.309947,0.618434
-0.500627,0.546042
-0.472058,0.516452
-0.426578,0.627334
-0.299909,0.630824
-0.299909,0.630824
-0.299909,0.630824
0.0431334,0.594184
-0.172153,0.565513
-0.088045,0.527067
-0.088045,0.527067
0.126548,0.552401
0.126548,0.552401
-0.133654,0.667256
-0.296659,0.609135
-0.296659,0.609135
-0.10402,0.783218
-0.217207,0.722511
-0.217207,0.722511
0.391144,0.559032
0.362872,0.621194
0.335446,0.601189
0.251135,0.654899
0.330621,0.592397
0.289735,0.638626
0.00874233,0.749414
0.0694556,0.799875
0.0694556,0.799875
0.0694556,0.799875
0.0694556,0.799875
0.0694556,0.799875
0.0694556,0.799875
0.378419,0.691722
0.124444,0.747413
-0.11892,0.695947
-0.143393,0.717608
-0.122942,0.740185
-0.204318,0.726475
0.305062,0.591601
0.305062,0.591601
-0.227985,0.720463
-0.0316773,0.647471
-0.352802,0.563289
-0.352802,0.563289
-0.352802,0.563289
-0.384032,0.608274
-0.647291,0.051305
-0.727323,0.0338861
-0.717452,0.124266
-0.717452,0.124266
-0.717452,0.124266
-0.646301,0.213738
-0.723772,0.132029
-0.553407,0.32889
-0.553407,0.32889
-0.416494,0.444833
-0.450288,0.434258
-0.432228,0.477233
-0.46329,0.585677
-0.535823,0.453358
-0.0938058,0.793898
0.0578417,0.757102
0.246953,0.664963
0.246953,0.664963
0.277564,0.75653
0.205143,0.727331
0.263257,0.565153
0.263257,0.565153
0.337408,0.588949
0.337408,0.588949
0.233347,0.658747
0.233347,0.658747
0.457271,0.616417
0.457271,0.616417
0.452437,0.617864
0.480167,0.553123
0.341798,0.659157
0.311382,0.67771
0.311382,0.67771
0.311382,0.67771
0.494765,0.526334
0.494765,0.526334
0.494765,0.526334
0.494765,0.526334
0.494765,0.526334
0.339567,0.647597
0.604452,0.553231
0.485682,0.359023
0.449399,0.554333
0.492053,0.577714
0.492053,0.577714
0.64753,0.366072
0.6059,0.180993
0.518801,0.554014
0.38683,0.573068
0.706324,0.418018
0.710898,0.20102
0.662465,0.0445362
0.698865,-0.194554
0.699722,0.285002
0.59883,0.330772
0.666875,-0.236363
0.666875,-0.236363
0.705812,-0.308399
0.743886,-0.261118
0.748268,-0.230481
0.748268,-0.230481
0.608862,-0.425048
0.632661,-0.403579
0.632661,-0.403579
0.555804,-0.251262
0.555804,-0.251262
0.443036,-0.314573
0.443036,-0.314573
0.442257,-0.34927
0.442257,-0.34927
0.542399,-0.127257
0.542399,-0.127257
0.552141,-0.197758
0.552141,-0.197758
0.552141,-0.197758
