MDTU,plaq,Re(det),Im(det),link
1,0.0618888,2845.68,1692.78,0.0127212
2,0.0457493,192.773,129.412,0.041769
3,0.0520971,56.7153,32.7553,0.0163954
4,0.0474576,16.1312,10.8253,0.0215744
5,0.0458082,5.59639,3.4478,0.0193864
6,0.0507107,2.10216,1.12523,0.0379905
7,0.0507107,2.10216,1.12523,0.0379905
8,0.0409703,1.09216,0.757119,0.0334037
9,0.046971,0.766049,0.498306,0.0490731
10,0.0423199,0.50519,0.303927,0.053322
11,0.0434155,0.341936,0.206101,0.0297294
12,0.0457739,0.282058,0.175261,0.0707725
13,0.0388762,0.14969,0.108155,0.0501439
14,0.0415789,0.139279,0.0928896,0.0360032
15,0.042093,0.11989,0.0774251,0.0401058
16,0.0434791,0.117808,0.0738616,0.059899
17,0.0365578,0.0795236,0.0550209,0.0422854
18,0.0571035,0.10912,0.0551231,0.0304992
19,0.0464687,0.0765659,0.0416028,0.0420503
20,0.0472263,0.0777578,0.0417222,0.044211
21,0.0443778,0.0690684,0.0372031,0.0643911
22,0.046269,0.0639324,0.0329412,0.0496154
23,0.0428629,0.0566125,0.0315398,0.076749
24,0.0373073,0.0555108,0.0392709,0.0475933
25,0.0487666,0.0523706,0.0282199,0.041017
26,0.0471625,0.0680304,0.0370972,0.0438945
27,0.0597056,0.0858528,0.0343324,0.0428786
28,0.0509869,0.0731259,0.037805,0.0445527
29,0.053773,0.0800671,0.0366917,0.0384612
30,0.0497798,0.0642769,0.0361473,0.0539493
31,0.0497798,0.0642769,0.0361473,0.0539493
32,0.0564599,0.0898743,0.0407313,0.0539443
33,0.0326952,0.037257,0.0277354,0.0548949
34,0.0388128,0.0507115,0.0359226,0.0482023
35,0.0496129,0.0773828,0.0375875,0.0427952
36,0.04288,0.067358,0.0410861,0.0391002
37,0.0391657,0.0621073,0.0402433,0.0306953
38,0.0393151,0.0651475,0.0404876,0.0326801
39,0.0402655,0.0653522,0.0448381,0.031374
40,0.037997,0.0636395,0.0439412,0.0379716
41,0.0477397,0.0675514,0.0323556,0.0126116
42,0.0477397,0.0675514,0.0323556,0.0126116
43,0.0515428,0.0753684,0.0382637,0.0423871
44,0.0469942,0.0819593,0.0445908,0.0441049
45,0.0469942,0.0819593,0.0445908,0.0441049
46,0.0495315,0.0829074,0.0417969,0.0461378
47,0.0403484,0.0567322,0.0318961,0.0494577
48,0.0403484,0.0567322,0.0318961,0.0494577
49,0.0323357,0.0455636,0.0376756,0.0635267
50,0.0323357,0.0455636,0.0376756,0.0635267
51,0.0323357,0.0455636,0.0376756,0.0635267
52,0.0323357,0.0455636,0.0376756,0.0635267
53,0.0323357,0.0455636,0.0376756,0.0635267
54,0.0431932,0.0462779,0.0261639,0.0485814
55,0.0431932,0.0462779,0.0261639,0.0485814
56,0.0353627,0.0396355,0.0265411,0.0501288
57,0.0318334,0.0386335,0.0292161,0.0512141
58,0.0342113,0.0365398,0.0271157,0.0484361
59,0.0342113,0.0365398,0.0271157,0.0484361
60,0.0447034,0.0442249,0.0234294,0.0357055
61,0.037057,0.0362829,0.0214612,0.0373051
62,0.0496687,0.0685094,0.0338968,0.0467804
63,0.061051,0.0660581,0.0252398,0.0307607
64,0.0338521,0.0357835,0.0255175,0.058199
65,0.0406409,0.0401158,0.0222154,0.0443004
66,0.0465688,0.042881,0.0195163,0.037337
67,0.0465688,0.042881,0.0195163,0.037337
68,0.0465688,0.042881,0.0195163,0.037337
69,0.0305418,0.0263091,0.0218094,0.0630571
70,0.0305418,0.0263091,0.0218094,0.0630571
71,0.0305418,0.0263091,0.0218094,0.0630571
72,0.0305418,0.0263091,0.0218094,0.0630571
73,0.0305418,0.0263091,0.0218094,0.0630571
74,0.0305418,0.0263091,0.0218094,0.0630571
75,0.038335,0.0503228,0.0309016,0.0489071
76,0.0435154,0.044145,0.0243308,0.0518482
77,0.0435154,0.044145,0.0243308,0.0518482
78,0.0435154,0.044145,0.0243308,0.0518482
79,0.0367576,0.042545,0.0269963,0.0704239
80,0.0404532,0.0435718,0.0247619,0.0557121
81,0.0404532,0.0435718,0.0247619,0.0557121
82,0.0502964,0.0498027,0.0243027,0.0474261
83,0.0502964,0.0498027,0.0243027,0.0474261
84,0.0447884,0.0422913,0.0222075,0.0368797
85,0.0418011,0.0433083,0.0239699,0.0517114
86,0.0553576,0.0557519,0.0253525,0.0614249
87,0.0437008,0.0540552,0.0298949,0.0648844
88,0.0475675,0.0609377,0.0363692,0.0604089
89,0.0393343,0.0482103,0.0315993,0.0538473
90,0.0431708,0.0609313,0.0370578,0.0530062
91,0.0431708,0.0609312,0.0370578,0.0530062
92,0.0474582,0.0709642,0.0361943,0.0728933
93,0.0360173,0.0511093,0.0358678,0.065349
94,0.0360173,0.0511093,0.0358678,0.065349
95,0.0419052,0.0503152,0.0310501,0.0582611
96,0.0416676,0.0675068,0.0387944,0.0390257
97,0.048944,0.0837608,0.0466535,0.0751201
98,0.0355072,0.0524349,0.0367284,0.0416865
99,0.0355072,0.0524349,0.0367284,0.0416865
100,0.0396471,0.0572608,0.0359707,0.0405875
101,0.0375947,0.0569777,0.0422514,0.0598594
102,0.0499264,0.0748589,0.0414659,0.0425785
103,0.0460824,0.069412,0.0361522,0.0517102
104,0.0460824,0.069412,0.0361522,0.0517102
105,0.0393741,0.0563223,0.0337725,0.0319885
106,0.0393741,0.0563223,0.0337725,0.0319885
107,0.0378693,0.0504832,0.0313231,0.0364074
108,0.0410421,0.0463411,0.0270004,0.0563372
109,0.0410421,0.0463411,0.0270004,0.0563372
110,0.0410421,0.0463411,0.0270004,0.0563372
111,0.0497834,0.0653853,0.0318664,0.0613299
112,0.0497834,0.0653853,0.0318664,0.0613299
113,0.0327635,0.0377113,0.0301038,0.032776
114,0.0350828,0.0501338,0.0367699,0.0334261
115,0.0406648,0.0522639,0.0353347,0.0443812
116,0.0376139,0.0450671,0.0280819,0.0508332
117,0.0376139,0.0450671,0.0280819,0.0508332
118,0.0359751,0.045855,0.0285414,0.0186391
119,0.0532601,0.0694177,0.0327148,0.0469409
120,0.036978,0.0361425,0.0227362,0.0496827
121,0.0388803,0.038308,0.0240123,0.0537957
122,0.0404848,0.044863,0.0266288,0.039699
123,0.045324,0.0527298,0.0286441,0.0500712
124,0.0509192,0.0664997,0.0340447,0.0566182
125,0.0518838,0.0632486,0.0265798,0.0384573
126,0.039239,0.0466585,0.0276098,0.0653169
127,0.039239,0.0466585,0.0276098,0.0653169
128,0.039239,0.0466585,0.0276098,0.0653169
129,0.0342965,0.0523169,0.0371595,0.0658712
130,0.0342965,0.0523169,0.0371595,0.0658712
131,0.0437245,0.0519769,0.029711,0.0694839
132,0.0457473,0.0442509,0.022047,0.0582295
133,0.0404823,0.0356493,0.0210688,0.0526834
134,0.0439351,0.0467026,0.0244369,0.0590468
135,0.0439351,0.0467026,0.0244369,0.0590468
136,0.0439351,0.0467026,0.0244369,0.0590468
137,0.0449149,0.0454215,0.0268623,0.058162
138,0.0329241,0.0312155,0.0259811,0.0507956
139,0.0362258,0.0432074,0.0281709,0.073619
140,0.0333412,0.0388597,0.0274847,0.0575276
141,0.0333412,0.0388597,0.0274847,0.0575276
142,0.0333412,0.0388597,0.0274847,0.0575276
143,0.0429429,0.0494178,0.0298666,0.0554976
144,0.0455573,0.0725018,0.0371079,0.0805517
145,0.0341055,0.0464566,0.032364,0.0686539
146,0.0341055,0.0464566,0.032364,0.0686539
147,0.0327441,0.0357781,0.0297445,0.061813
148,0.0327441,0.0357781,0.0297445,0.061813
149,0.0353813,0.0376258,0.0264755,0.051643
150,0.0389685,0.0362515,0.0257399,0.0595731
151,0.0389685,0.0362515,0.0257399,0.0595731
152,0.0321481,0.0349298,0.0251926,0.0456974
153,0.0398515,0.0435756,0.0248443,0.0721041
154,0.0398515,0.0435756,0.0248443,0.0721041
155,0.0529801,0.0736394,0.0365586,0.0674203
156,0.0501077,0.0724542,0.039406,0.0658305
157,0.0390725,0.0612333,0.0403337,0.0699226
158,0.0412758,0.069589,0.0427467,0.040373
159,0.0558031,0.119278,0.0501191,0.0548237
160,0.0522819,0.104423,0.0501381,0.0623302
161,0.0475704,0.0775895,0.0423789,0.0650067
162,0.0401581,0.0711017,0.048204,0.0521674
163,0.0401581,0.0711017,0.048204,0.0521674
164,0.0401581,0.0711017,0.048204,0.0521674
165,0.0401581,0.0711017,0.048204,0.0521674
166,0.0401581,0.0711017,0.048204,0.0521674
167,0.0401581,0.0711017,0.048204,0.0521674
168,0.0428621,0.0706514,0.0450953,0.0648054
169,0.0437403,0.0779968,0.0489673,0.0491639
170,0.0458452,0.0637166,0.0360099,0.0563123
171,0.0508653,0.096145,0.045928,0.0568315
172,0.0615675,0.105901,0.043157,0.0411545
173,0.0529112,0.0827925,0.0403458,0.0299039
174,0.0405136,0.0611808,0.0375266,0.0396905
175,0.0405136,0.0611808,0.0375266,0.0396905
176,0.0402448,0.0607308,0.038121,0.0364545
177,0.0499352,0.0763368,0.0328275,0.0627483
178,0.0425156,0.0654298,0.0338142,0.0524702
179,0.0425156,0.0654298,0.0338142,0.0524702
180,0.0425156,0.0654298,0.0338142,0.0524702
181,0.0353192,0.0585359,0.0433525,0.0654204
182,0.0381643,0.0580455,0.0368264,0.048923
183,0.0382352,0.0516538,0.0344693,0.0536317
184,0.0377393,0.0508189,0.0355435,0.0439517
185,0.0377393,0.0508189,0.0355435,0.0439517
186,0.0377393,0.0508189,0.0355435,0.0439517
187,0.0568367,0.0904726,0.0362893,0.0653817
188,0.0420521,0.0652886,0.0383319,0.0317011
189,0.0462728,0.0565864,0.0331257,0.0550938
190,0.0462728,0.0565864,0.0331257,0.0550938
191,0.0347138,0.0523268,0.0337325,0.0468361
192,0.0295137,0.0350342,0.0301346,0.0480535
193,0.037471,0.0398981,0.0251865,0.0326329
194,0.0321625,0.0349711,0.0255284,0.0458072
195,0.0365436,0.0458133,0.0295869,0.0375227
196,0.03653,0.0476563,0.0331823,0.053754
197,0.0359491,0.0494239,0.034183,0.0360497
198,0.0390849,0.0505284,0.033038,0.0538395
199,0.0390849,0.0505284,0.033038,0.0538395
200,0.0417609,0.0596765,0.0378936,0.0461915
201,0.0498182,0.0538777,0.0258985,0.041952
202,0.0490143,0.0466503,0.0243797,0.061884
203,0.0490143,0.0466503,0.0243797,0.061884
204,0.044898,0.047151,0.0299637,0.0485588
205,0.044898,0.047151,0.0299637,0.0485588
206,0.044247,0.0497409,0.0297829,0.0613356
207,0.044247,0.0497409,0.0297829,0.0613356
208,0.0339172,0.0505295,0.0382952,0.0524308
209,0.0339172,0.0505295,0.0382952,0.0524308
210,0.0380815,0.0352092,0.0198406,0.0782446
211,0.0510158,0.0594368,0.0298924,0.0629317
212,0.0430121,0.0434017,0.0247153,0.0496763
213,0.0413643,0.0276472,0.0163468,0.0690529
214,0.0413643,0.0276472,0.0163468,0.0690529
215,0.0413643,0.0276472,0.0163468,0.0690529
216,0.0391544,0.0410703,0.0248545,0.0385876
217,0.0391544,0.0410703,0.0248545,0.0385876
218,0.0391544,0.0410703,0.0248545,0.0385876
219,0.0391544,0.0410703,0.0248545,0.0385876
220,0.0391544,0.0410703,0.0248545,0.0385876
221,0.0452777,0.0472333,0.0240791,0.0433746
222,0.0425384,0.0453475,0.0264984,0.043599
223,0.0434354,0.0491244,0.0281155,0.0337291
224,0.0497086,0.059094,0.0313799,0.0509431
225,0.0421525,0.0459272,0.0274672,0.0500207
226,0.0421525,0.0459272,0.0274672,0.0500207
227,0.0462822,0.0487709,0.0237028,0.0498115
228,0.0480386,0.074959,0.0379125,0.0358974
229,0.0392555,0.0611068,0.0427714,0.0564585
230,0.0501391,0.0670955,0.0392009,0.0379476
231,0.0383745,0.0662207,0.0433474,0.0418702
232,0.0535124,0.0814848,0.0412708,0.0609271
233,0.0506314,0.0888056,0.0462585,0.0636443
234,0.0376128,0.0635314,0.0392568,0.0314855
235,0.0412504,0.0749127,0.0428749,0.0537268
236,0.0357221,0.0705181,0.0518722,0.0395526
237,0.0419542,0.0954304,0.0553681,0.0482767
238,0.0419542,0.0954304,0.0553681,0.0482767
239,0.0416936,0.0855215,0.0471369,0.0796871
240,0.0406047,0.100204,0.0661984,0.0563668
241,0.0436573,0.0739117,0.0388816,0.0456191
242,0.0436573,0.0739117,0.0388816,0.0456191
243,0.0345971,0.0546959,0.0421864,0.051086
244,0.049641,0.0707317,0.035812,0.0377786
245,0.049641,0.0707317,0.035812,0.0377786
246,0.0335854,0.0365712,0.0251493,0.0502217
247,0.0335854,0.0365712,0.0251493,0.0502217
248,0.0451444,0.0529135,0.0298264,0.0446756
249,0.0451444,0.0529135,0.0298264,0.0446756
250,0.0415866,0.0530116,0.0289718,0.0417462
251,0.0415866,0.0530116,0.0289718,0.0417462
252,0.0517674,0.0754113,0.0415998,0.0412579
253,0.0517674,0.0754113,0.0415998,0.0412579
254,0.0307355,0.0443256,0.0387617,0.0372891
255,0.0307355,0.0443256,0.0387617,0.0372891
256,0.0307355,0.0443256,0.0387617,0.0372891
257,0.0307355,0.0443256,0.0387617,0.0372891
258,0.0487239,0.0997436,0.0567437,0.0396537
259,0.0487239,0.0997436,0.0567437,0.0396537
260,0.0393506,0.0578697,0.0380254,0.0463438
261,0.0461964,0.0838851,0.0469992,0.0423516
262,0.0358662,0.0613835,0.0424788,0.048423
263,0.0515746,0.0619667,0.0316847,0.0455193
264,0.0427373,0.0743341,0.0459444,0.0433807
265,0.0427373,0.0743341,0.0459444,0.0433807
266,0.0427373,0.0743341,0.0459444,0.0433807
267,0.0346662,0.046917,0.0314082,0.0426228
268,0.042523,0.0590782,0.0335344,0.0454543
269,0.0395676,0.0494518,0.0311389,0.0598334
270,0.0411936,0.0636269,0.0392871,0.0421742
271,0.0411936,0.0636269,0.0392871,0.0421742
