MDTU,S_B
1,0.788637
2,0.846235
3,0.890292
4,0.917271
5,0.938966
6,0.952892
7,0.952892
8,0.970903
9,0.964151
10,0.98071
11,0.986225
12,0.982343
13,0.979626
14,0.988771
15,0.995841
16,0.990224
17,0.983006
18,0.987858
19,1.00178
20,1.00154
21,0.999603
22,0.999891
23,0.998429
24,1.00415
25,0.988083
26,0.998453
27,0.993259
28,0.99317
29,0.994459
30,0.99878
31,0.99878
32,0.999883
33,0.982619
34,0.994521
35,0.991758
36,0.986264
37,0.996802
38,0.995465
39,0.987378
40,0.989793
41,0.990281
42,0.990281
43,0.989022
44,0.995464
45,0.995464
46,0.997661
47,0.990592
48,0.990592
49,0.998321
50,0.998321
51,0.998321
52,0.998321
53,0.998321
54,0.990108
55,0.990108
56,0.99776
57,0.997587
58,1.00695
59,1.00695
60,0.99932
61,0.99044
62,0.999066
63,0.997676
64,0.998851
65,0.992882
66,0.994681
67,0.994681
68,0.994681
69,0.99356
70,0.99356
71,0.99356
72,0.99356
73,0.99356
74,0.99356
75,1.0067
76,0.99395
77,0.99395
78,0.99395
79,1.00105
80,0.997494
81,0.997494
82,0.992395
83,0.992395
84,0.997177
85,1.00329
86,0.992061
87,1.00121
88,0.998665
89,0.991833
90,0.999731
91,0.999731
92,0.999091
93,1.00412
94,1.00412
95,0.992233
96,0.992295
97,1.00374
98,0.994754
99,0.994754
100,0.994998
101,0.997505
102,0.998749
103,1.0001
104,1.0001
105,0.987913
106,0.987913
107,0.995106
108,0.989922
109,0.989922
110,0.989922
111,1.00014
112,1.00014
113,0.999325
114,0.999004
115,1.00393
116,1.00543
117,1.00543
118,1.00394
119,1.0034
120,0.998209
121,1.00418
122,1.00055
123,0.998208
124,1.00342
125,0.994895
126,1.0072
127,1.0072
128,1.0072
129,1.01135
130,1.01135
131,1.00562
132,1.00306
133,0.994401
134,1.00018
135,1.00018
136,1.00018
137,0.997608
138,0.992171
139,1.00138
140,0.998846
141,0.998846
142,0.998846
143,0.988626
144,0.998364
145,1.00089
146,1.00089
147,1.00266
148,1.00266
149,0.99458
150,0.993438
151,0.993438
152,1.00132
153,1.00381
154,1.00381
155,1.00043
156,0.997876
157,0.996549
158,0.994636
159,0.999918
160,0.999724
161,0.996078
162,0.999935
163,0.999935
164,0.999935
165,0.999935
166,0.999935
167,0.999935
168,0.995927
169,0.993203
170,0.985969
171,0.997268
172,1.00267
173,0.987696
174,0.99369
175,0.99369
176,0.995293
177,0.998796
178,0.992775
179,0.992775
180,0.992775
181,0.998592
182,0.99488
183,0.996764
184,0.998539
185,0.998539
186,0.998539
187,1.00063
188,1.00144
189,0.997888
190,0.997888
191,0.996903
192,0.99199
193,0.988959
194,0.986976
195,0.996432
196,0.991677
197,0.98574
198,0.987224
199,0.987224
200,0.983948
201,0.987581
202,0.994216
203,0.994216
204,0.999439
205,0.999439
206,0.994495
207,0.994495
208,1.00144
209,1.00144
210,0.99203
211,1.01178
212,0.996199
213,0.98353
214,0.98353
215,0.98353
216,0.994631
217,0.994631
218,0.994631
219,0.994631
220,0.994631
221,1.00222
222,1.0017
223,0.997192
224,1.00488
225,0.994599
226,0.994599
227,0.993968
228,1.00158
229,0.99848
230,0.992762
231,0.990484
232,0.988508
233,0.995617
234,0.990905
235,0.989566
236,0.996486
237,0.997601
238,0.997601
239,0.99061
240,1.0001
241,0.991324
242,0.991324
243,0.993681
244,1.00348
245,1.00348
246,0.997093
247,0.997093
248,1.00222
249,1.00222
250,0.995786
251,0.995786
252,0.992508
253,0.992508
254,0.992651
255,0.992651
256,0.992651
257,0.992651
258,0.996911
259,0.996911
260,0.991707
261,1.00125
262,0.997761
263,0.993789
264,1.00487
265,1.00487
266,1.00487
267,0.997269
268,0.998014
269,0.991513
270,0.996989
271,0.996989
272,0.996989
273,0.996989
274,0.979435
275,0.993089
276,1.00083
277,0.995445
278,0.996924
279,0.990941
280,0.990941
281,0.999209
282,0.999209
283,0.999209
284,1.00197
285,0.992546
286,0.992603
287,0.992603
288,0.992603
289,0.992603
290,0.994383
291,0.994383
292,1.00533
293,0.993041
294,0.99172
295,0.990555
296,0.990555
297,0.98908
298,0.989181
299,0.989181
300,0.996382
301,0.992126
302,0.992126
303,0.992126
304,0.987471
305,0.987471
306,0.987471
307,1.00288
308,0.983723
309,0.992878
310,0.997727
311,0.997727
312,0.997727
313,0.997727
314,0.997727
315,0.997727
316,0.992131
317,0.998031
318,0.995247
319,0.995247
320,0.995247
321,0.983602
322,0.983602
323,0.988209
324,0.998039
325,0.999646
326,0.999646
327,0.999646
328,0.990555
329,1.00142
330,0.994406
331,0.988755
332,0.996975
333,1.006
334,1.006
335,1.00316
336,0.990411
337,0.990411
338,0.987348
339,0.990301
340,0.999304
341,0.999304
342,0.996553
343,0.996553
344,0.996553
345,1.0027
346,1.0027
347,1.0027
348,1.0027
349,0.99266
350,0.988385
351,0.988385
352,0.993012
353,0.993012
354,1.00058
355,1.00058
356,0.998184
357,0.992824
358,0.992824
359,0.992824
360,0.992824
361,0.994806
362,0.997694
363,0.997694
364,0.998758
365,0.999222
366,1.01337
367,0.997737
368,0.997115
369,1.00199
370,1.00199
371,1.00199
372,1.00399
373,1.01089
374,1.01089
375,1.01089
376,1.00414
377,1.00673
378,1.00673
379,1.00673
380,0.998863
381,0.992552
382,0.997336
383,0.994707
384,1.00106
385,1.00106
386,0.993186
387,0.999514
388,0.99321
389,0.982512
390,0.992956
391,0.992956
392,1.00371
393,0.991184
394,0.997937
395,0.998378
396,0.998378
397,1.00115
398,0.992968
399,0.992968
400,0.991642
401,0.98605
402,0.98605
403,0.998293
404,0.999067
405,0.993585
406,0.993585
407,0.999847
408,0.999847
409,0.99591
410,0.99591
