t,cg_iters
639,8341
640,8225
641,8252
642,8228
643,8105
644,8272
645,8202
646,7994
647,7820
648,8052
649,8088
650,7740
651,8057
652,8271
653,8141
654,8039
655,7931
656,8138
657,8173
658,8122
659,8026
660,7987
661,7896
662,8277
663,8088
664,8050
665,8143
666,8145
667,7970
668,7865
669,7952
670,7841
671,7899
672,7761
673,8004
674,7971
675,8134
676,8271
677,8238
678,8211
679,8083
680,8195
681,8205
682,7965
683,7994
684,7982
685,8073
686,8348
687,8308
688,8015
689,8078
690,7879
691,8044
692,8024
693,8235
694,8094
695,7903
696,8229
697,8034
698,7992
699,8002
700,8024
701,7935
702,8057
703,7893
704,8114
705,7989
706,8075
707,7987
708,8313
709,8152
710,8142
711,8038
712,8117
713,7989
714,8168
715,8127
716,8048
717,8024
718,7829
719,7971
720,8205
721,8083
722,8008
723,8254
724,8125
725,8133
726,8181
727,8093
728,8299
729,8213
730,7918
731,8127
732,8259
733,7903
734,8179
735,8031
736,8089
737,7916
738,8040
739,8071
740,8188
741,8082
742,7999
743,8158
744,8016
745,8192
746,8091
747,8509
748,8320
749,8283
750,8312
751,8219
752,8046
753,8291
754,8055
755,7972
756,8075
757,8047
758,8054
759,8205
760,8184
761,7992
762,8042
763,8058
764,7912
765,8029
766,7959
767,8047
768,8122
769,8296
770,7973
771,8093
772,7943
773,7787
774,7965
775,8384
776,7956
777,7994
778,8161
779,8133
780,7962
781,8119
782,7839
783,8114
784,8143
785,7895
786,7926
787,7958
788,8053
789,7990
790,8204
791,7983
792,7765
793,7640
794,8214
795,8072
796,8253
797,7923
798,8203
799,7966
800,8007
801,7904
802,7668
803,8021
804,8094
805,8062
806,8124
807,8135
808,7944
809,8121
810,7936
811,8224
812,8219
813,8267
814,8263
815,8460
816,8317
817,8060
818,8142
819,8277
820,8289
821,8075
822,8044
823,8136
824,8151
825,7974
826,8102
827,7893
828,8143
829,7945
830,7890
831,7980
832,7953
833,7979
834,8194
835,7974
836,7878
837,8119
838,7974
839,7871
840,7869
841,7994
842,7946
843,7932
844,7616
845,7963
846,8029
847,7984
848,8191
849,8215
850,8041
851,8048
852,7894
853,8012
854,8194
855,8067
856,8159
857,8055
858,8075
859,8143
860,8224
861,8298
862,8160
863,8009
864,7927
865,8123
866,8150
867,8008
868,8274
869,8110
870,8223
871,7974
872,7836
873,7887
874,7920
875,8253
876,7975
877,8064
878,8108
879,8021
880,8274
881,8143
882,8052
883,8052
884,8123
885,8072
886,7967
887,8133
888,8002
889,8252
890,8043
891,8132
892,8161
893,8084
894,8154
895,7963
896,7971
897,7960
898,8149
899,8112
900,8127
901,8405
902,8142
903,8344
904,8217
905,8005
906,7937
907,7969
908,7887
909,7886
910,8173
911,8244
912,8241
913,8177
914,8183
915,8267
916,8191
917,8236
918,8325
919,8120
920,7926
921,8309
922,8237
923,7990
924,8339
925,7884
926,7960
927,8078
928,8072
929,8108
930,8189
931,8112
932,8023
933,8012
934,8184
935,8003
936,8100
937,8254
938,8283
939,8062
940,8426
941,8413
942,8376
943,8284
944,8034
945,7999
946,8122
947,8239
948,7976
949,8156
950,8166
951,7982
952,8145
953,8188
