t,N_f,N_g
10,200,20000
20,150,9000
30,100,2000
40,70,1400
50,50,1000
60,50,1000
70,50,1000
80,50,1000
90,50,1000
100,50,1000
110,50,1000
120,50,1000
130,50,1000
140,50,1000
150,50,1000
160,50,1000
170,50,1000
180,50,1000
190,50,1000
200,50,1000
210,50,1000
220,50,1000
230,50,1000
240,50,1000
250,50,1000
260,50,1000
270,50,1000
280,50,1000
290,50,1000
300,50,1000
310,50,1000
320,50,1000
330,50,1000
340,50,1000
350,50,1000
360,50,1000
370,50,1000
380,50,1000
390,50,1000
400,50,1000
410,50,1000
420,50,1000
430,50,1000
440,50,1000
450,50,1000
460,50,1000
470,50,1000
480,50,1000
490,50,1000
500,50,1000
510,50,1000
520,50,1000
530,50,1000
540,50,1000
550,50,1000
560,50,1000
570,50,1000
580,50,1000
590,50,1000
600,50,1000
610,50,1000
620,50,1000
630,50,1000
640,50,1000
650,50,1000
660,50,1000
670,50,1000
680,50,1000
690,50,1000
700,50,1000
710,50,1000
720,50,1000
730,50,1000
740,50,1000
750,50,1000
760,50,1000
770,50,1000
780,50,1000
790,50,1000
800,50,1000
810,50,1000
820,50,1000
830,50,1000
840,50,1000
850,50,1000
860,50,1000
870,50,1000
880,50,1000
890,50,1000
900,50,1000
910,50,1000
920,50,1000
930,50,1000
940,50,1000
950,50,1000
960,50,1000
970,50,1000
980,50,1000
990,50,1000
1000,50,1000
1010,50,1000
1020,50,1000
1030,50,1000
1040,50,1000
1050,50,1000
1060,50,1000
1070,50,1000
1080,50,1000
1090,50,1000
1100,50,1000
1110,50,1000
1120,50,1000
1130,50,1000
1140,50,1000
1150,50,1000
1160,50,1000
1170,50,1000
1180,50,1000
1190,50,1000
1200,50,1000
1210,50,1000
1220,50,1000
1230,50,1000
1240,50,1000
1250,50,1000
1260,50,1000
1270,50,1000
1280,50,1000
1290,50,1000
1300,50,1000
1310,50,1000
1320,50,1000
1330,50,1000
1340,50,1000
1350,50,1000
1360,50,1000
1370,50,1000
1380,50,1000
1390,50,1000
1400,50,1000
1410,50,1000
1420,50,1000
1430,50,1000
1440,50,1000
1450,50,1000
1460,50,1000
1470,50,1000
1480,50,1000
1490,50,1000
1500,50,1000
1510,50,1000
1520,50,1000
1530,50,1000
1540,50,1000
1550,50,1000
1560,50,1000
1570,50,1000
1580,50,1000
1590,50,1000
1600,50,1000
1610,50,1000
1620,50,1000
1630,50,1000
1640,50,1000
1650,50,1000
1660,50,1000
1670,50,1000
1680,50,1000
1690,50,1000
1700,50,1000
1710,50,1000
1720,50,1000
1730,50,1000
1740,50,1000
1750,50,1000
1760,50,1000
1770,50,1000
1780,50,1000
1790,50,1000
1800,50,1000
1810,50,1000
1820,50,1000
1830,50,1000
1840,50,1000
1850,50,1000
1860,50,1000
1870,50,1000
1880,50,1000
1890,50,1000
1900,50,1000
1910,50,1000
1920,50,1000
1930,50,1000
1940,50,1000
1950,50,1000
1960,50,1000
1970,50,1000
1980,50,1000
1990,50,1000
2000,50,1000
2010,50,1000
2020,50,1000
2030,50,1000
2040,50,1000
2050,50,1000
2060,50,1000
2070,50,1000
2080,50,1000
2090,50,1000
2100,50,1000
2110,50,1000
2120,50,1000
2130,50,1000
2140,50,1000
2150,50,1000
2160,50,1000
2170,50,1000
2180,50,1000
2190,50,1000
2200,50,1000
2210,50,1000
2220,50,1000
2230,50,1000
2240,50,1000
2250,50,1000
2260,50,1000
2270,50,1000
2280,50,1000
2290,50,1000
2300,50,1000
2310,50,1000
2320,50,1000
2330,50,1000
2340,50,1000
2350,50,1000
2360,50,1000
2370,50,1000
2380,50,1000
2390,50,1000
2400,50,1000
2410,50,1000
2420,50,1000
2430,50,1000
2440,50,1000
2450,50,1000
2460,50,1000
2470,50,1000
2480,50,1000
2490,50,1000
2500,50,1000
2510,50,1000
2520,50,1000
2530,50,1000
2540,50,1000
2550,50,1000
2560,50,1000
2570,50,1000
2580,50,1000
2590,50,1000
2600,50,1000
2610,50,1000
2620,50,1000
2630,50,1000
2640,50,1000
2650,50,1000
2660,50,1000
2670,50,1000
2680,50,1000
2690,50,1000
2700,50,1000
2710,50,1000
2720,50,1000
2730,50,1000
2740,50,1000
2750,50,1000
2760,50,1000
2770,50,1000
2780,50,1000
2790,50,1000
2800,50,1000
2810,50,1000
2820,50,1000
2830,50,1000
2840,50,1000
2850,50,1000
2860,50,1000
2870,50,1000
2880,50,1000
2890,50,1000
2900,50,1000
2910,50,1000
2920,50,1000
2930,50,1000
2940,50,1000
2950,50,1000
2960,50,1000
2970,50,1000
2980,50,1000
2990,50,1000
3000,50,1000
3010,50,1000
3020,50,1000
3030,50,1000
3040,50,1000
3050,50,1000
3060,50,1000
3070,50,1000
3080,50,1000
3090,50,1000
3100,50,1000
3110,50,1000
3120,50,1000
3130,50,1000
3140,50,1000
3150,50,1000
3160,50,1000
3170,50,1000
3180,50,1000
3190,50,1000
3200,50,1000
3210,50,1000
3220,50,1000
3230,50,1000
3240,50,1000
3250,50,1000
3260,50,1000
3270,50,1000
3280,50,1000
3290,50,1000
3300,50,1000
3310,50,1000
3320,50,1000
3330,50,1000
3340,50,1000
3350,50,1000
3360,50,1000
3370,50,1000
3380,50,1000
3390,50,1000
3400,50,1000
3410,50,1000
3420,50,1000
3430,50,1000
3440,50,1000
3450,50,1000
3460,50,1000
3470,50,1000
3480,50,1000
3490,50,1000
3500,50,1000
