ReTr(Lx),ImTr(Lx)
57.6153,48.2589
18.5518,11.7507
13.4751,4.87523
6.84135,6.15256
5.04466,2.88808
2.49384,1.84087
2.49384,1.84087
1.87643,1.74837
1.38088,1.03848
1.63333,0.752462
1.24,1.18659
0.50357,0.870083
0.472803,0.9022
0.579833,0.736091
0.540338,0.612245
0.450004,0.563428
0.458707,0.711052
0.208668,0.907817
0.12882,0.701986
0.363364,0.672328
0.327463,0.390641
0.148457,0.431426
0.104055,0.446722
0.0355854,0.639122
0.0850633,0.57962
0.237731,0.582658
0.144919,0.753955
0.172763,0.662869
-0.342172,0.648223
-0.331197,0.523437
-0.331197,0.523437
-0.316181,0.530394
-0.29781,0.458953
-0.394412,0.488258
-0.496913,0.525176
-0.375711,0.635866
-0.0713516,0.848117
0.0792765,0.802828
-0.166582,0.872367
0.0319351,0.774072
0.144679,0.859067
0.144679,0.859067
0.0320563,0.762003
-0.278843,0.657719
-0.278843,0.657719
-0.312413,0.624918
-0.420383,0.423612
-0.420383,0.423612
-0.344028,0.426745
-0.344028,0.426745
-0.344028,0.426745
-0.344028,0.426745
-0.344028,0.426745
-0.553269,0.0938192
-0.553269,0.0938192
-0.494401,0.307272
-0.459132,0.423298
-0.432974,0.268863
-0.432974,0.268863
-0.588964,0.211928
-0.566027,0.115948
-0.467934,0.296097
-0.554193,0.271524
-0.479836,0.100021
-0.535798,0.158774
-0.494939,0.399197
-0.494939,0.399197
-0.494939,0.399197
-0.249383,0.397652
-0.249383,0.397652
-0.249383,0.397652
-0.249383,0.397652
-0.249383,0.397652
-0.249383,0.397652
-0.372932,0.493129
-0.174529,0.526884
-0.174529,0.526884
-0.174529,0.526884
-0.00473168,0.441748
0.111528,0.479223
0.111528,0.479223
0.133154,0.545756
0.133154,0.545756
0.322389,0.507811
0.182961,0.485664
-0.0845625,0.403655
-0.2517,0.415107
0.0101547,0.486686
-0.00458948,0.549479
-0.230457,0.43844
-0.230457,0.43844
0.140758,0.46449
0.143743,0.45257
0.143743,0.45257
0.064439,0.434533
0.406023,0.544095
0.271348,0.363682
0.377961,0.470588
0.377961,0.470588
0.502869,0.303159
0.474345,0.275877
0.612917,0.23599
0.399863,0.440408
0.399863,0.440408
0.654707,0.36517
0.654707,0.36517
0.576714,0.31544
0.421438,0.314575
0.421438,0.314575
0.421438,0.314575
0.386453,0.390553
0.386453,0.390553
0.289606,0.593062
-0.0734802,0.721077
-0.0660562,0.703263
0.0223998,0.541511
0.0223998,0.541511
0.141344,0.788298
0.254033,0.560546
0.382278,0.431582
0.374631,0.452837
0.387671,0.552523
0.336467,0.445067
0.378812,0.487808
0.111658,0.683022
-0.0837442,0.525813
-0.0837442,0.525813
-0.0837442,0.525813
-0.232266,0.568701
-0.232266,0.568701
-0.154024,0.473495
-0.351966,0.219092
-0.407081,0.385943
-0.193037,0.462699
-0.193037,0.462699
-0.193037,0.462699
-0.332947,0.417593
-0.392937,0.358553
-0.287815,0.455002
-0.215198,0.461962
-0.215198,0.461962
-0.215198,0.461962
-0.0248222,0.406376
-0.183046,0.391503
-0.127763,0.456367
-0.127763,0.456367
0.0269337,0.436422
0.0269337,0.436422
-0.0987758,0.52683
-0.215052,0.395752
-0.215052,0.395752
-0.0886425,0.667734
-0.0998233,0.469297
-0.0998233,0.469297
0.348482,0.433622
0.273558,0.478922
0.319972,0.429022
0.26968,0.66422
0.395064,0.540335
0.24535,0.59298
-0.0542931,0.708584
0.0297299,0.79658
0.0297299,0.79658
0.0297299,0.79658
0.0297299,0.79658
0.0297299,0.79658
0.0297299,0.79658
0.402391,0.566673
0.151201,0.768572
-0.163763,0.551759
-0.170415,0.648557
-0.165238,0.755079
-0.222195,0.766408
0.252881,0.619507
0.252881,0.619507
-0.216882,0.741654
-0.129332,0.548698
-0.320597,0.496498
-0.320597,0.496498
-0.320597,0.496498
-0.310996,0.486229
-0.595597,-0.00432183
-0.58662,0.0231469
-0.660062,0.115629
-0.660062,0.115629
-0.660062,0.115629
-0.556644,0.168403
-0.824703,0.0522986
-0.440031,0.270341
-0.440031,0.270341
-0.371523,0.425997
-0.364487,0.385252
-0.355041,0.424057
-0.327764,0.499085
-0.496543,0.436784
-0.0448,0.623901
0.142264,0.721518
0.207146,0.51787
0.207146,0.51787
0.302589,0.7319
0.15077,0.603287
0.184667,0.388232
0.184667,0.388232
0.298057,0.466121
0.298057,0.466121
0.191537,0.507684
0.191537,0.507684
0.404797,0.563952
0.404797,0.563952
0.268864,0.343721
0.324112,0.426338
0.226541,0.530729
0.171672,0.381984
0.171672,0.381984
0.171672,0.381984
0.388989,0.439802
0.388989,0.439802
0.388989,0.439802
0.388989,0.439802
0.388989,0.439802
0.272098,0.582174
0.505827,0.452543
0.443166,0.311568
0.318431,0.469323
0.425395,0.420131
0.425395,0.420131
0.495285,0.237519
0.595793,0.125629
0.46448,0.487605
0.425459,0.554569
0.759805,0.447511
0.578723,0.123983
0.564829,0.0332066
0.736058,-0.28735
0.629571,0.325242
0.642802,0.427399
0.715107,-0.327159
0.715107,-0.327159
0.625152,-0.225947
0.750148,-0.309374
0.729358,-0.22027
0.729358,-0.22027
0.563824,-0.395767
0.652935,-0.449963
0.652935,-0.449963
0.483555,-0.205453
0.483555,-0.205453
0.35793,-0.273339
0.35793,-0.273339
0.467001,-0.345104
0.467001,-0.345104
0.533655,-0.0542578
0.533655,-0.0542578
0.569086,-0.104243
0.569086,-0.104243
0.569086,-0.104243
0.569086,-0.104243
0.629689,-0.325474
0.629689,-0.325474
0.496503,-0.520892
0.482399,-0.608359
0.577738,-0.430686
0.467108,-0.310816
0.491482,-0.422265
0.491482,-0.422265
0.491482,-0.422265
0.316443,-0.511272
0.576351,-0.272889
0.423174,-0.295608
0.6129,-0.394989
0.6129,-0.394989
0.6129,-0.394989
0.6129,-0.394989
0.45587,-0.339895
0.400639,-0.484024
0.597644,-0.355031
0.630228,-0.359888
0.330808,-0.585214
0.218673,-0.574666
0.218673,-0.574666
0.339722,-0.648684
0.339722,-0.648684
0.339722,-0.648684
0.517057,-0.70516
0.491107,-0.566297
0.466578,-0.47839
0.466578,-0.47839
0.466578,-0.47839
0.466578,-0.47839
0.456473,-0.400507
0.456473,-0.400507
0.61661,-0.263866
0.494518,-0.145597
0.430939,-0.360641
0.684125,-0.276779
0.684125,-0.276779
0.626329,-0.159093
0.657893,-0.0447377
0.657893,-0.0447377
0.631426,0.0237045
0.583746,-0.221623
0.583746,-0.221623
0.583746,-0.221623
0.513853,0.0235556
0.513853,0.0235556
0.513853,0.0235556
0.484668,0.114277
0.638615,-0.0692656
0.624779,-0.246538
0.744928,-0.210571
0.744928,-0.210571
0.744928,-0.210571
0.744928,-0.210571
0.744928,-0.210571
0.744928,-0.210571
0.602763,-0.385017
0.538312,-0.249166
0.610336,0.0355311
0.610336,0.0355311
0.610336,0.0355311
0.610912,-0.108498
0.610912,-0.108498
0.593441,-0.304929
0.326142,-0.604114
0.493892,-0.695018
0.493892,-0.695018
0.493892,-0.695018
-0.00249231,-0.575653
0.220629,-0.421016
0.244165,-0.543417
-0.10086,-0.665888
-0.369333,-0.509904
-0.533537,-0.388849
-0.533537,-0.388849
-0.346456,-0.466534
-0.273679,-0.423173
-0.273679,-0.423173
-0.262603,-0.47318
