t,deltaS
1,-3.995
2,0.9585
3,0.505
4,1.85
5,1.457
6,1.29
7,0.9971
8,0.5554
9,0.4197
10,0.6516
11,0.4647
12,0.6216
13,0.7464
14,0.5952
15,1.462
16,-0.1208
17,0.2819
18,0.04496
19,1.1
20,0.56
21,-0.3798
22,0.6591
23,1.323
24,0.748
25,0.3096
26,0.7727
27,0.3234
28,0.6945
29,-0.2675
30,0.2014
31,0.8429
32,0.9542
33,0.7094
34,-0.2383
35,0.8682
36,-0.208
37,0.7599
38,-1.053
39,0.3139
40,0.1307
41,0.5897
42,0.4792
43,0.01765
44,-0.1329
45,-0.2574
46,0.5651
47,0.6289
48,-0.8958
49,1.289
50,0.6632
51,0.6256
52,0.08587
53,1.02
54,0.178
55,0.1515
56,-0.4174
57,0.3266
58,0.4499
59,0.7234
60,-0.3377
61,-0.5623
62,0.234
63,-0.04368
64,0.2355
65,0.4516
66,0.4389
67,1.194
68,0.1281
69,-0.6752
70,-0.1281
71,-0.2415
72,1.108
73,0.535
74,-0.1302
75,-0.4836
76,1.137
77,0.9143
78,0.3499
79,1.088
80,-0.652
81,0.7379
82,0.1238
83,-0.1451
84,0.004009
85,-0.9102
86,-0.4782
87,0.125
88,0.7773
89,1.214
90,1.969
91,-0.7636
92,0.03409
93,0.3844
94,-0.5865
95,0.2598
96,0.4179
97,0.09763
98,-0.263
99,-0.2313
100,0.5232
101,1.119
102,0.04347
103,-0.4593
104,-0.3277
105,0.3172
106,0.9542
107,-0.4809
108,-0.04431
109,1.174
110,0.5943
111,-0.4816
112,-0.01367
113,-0.5729
114,-0.00385
115,-0.2459
116,0.7707
117,0.35
118,-0.7919
119,-0.6061
120,0.3661
121,0.9597
122,-0.1428
123,0.5724
124,0.3345
125,-1.134
126,-0.4622
127,0.1162
128,-0.1319
129,-0.06255
130,1.143
131,-0.0675
132,1.363
133,-0.806
134,-0.4256
135,0.35
136,-0.003899
137,0.884
138,-0.653
139,0.5103
140,0.402
141,-0.2149
142,-0.05923
143,-0.05371
144,0.8369
145,-0.2847
146,1.294
147,0.2276
148,-0.1838
149,-0.4382
150,1.764
151,0.47
152,-1.223
153,0.526
154,0.4597
155,-0.02576
156,0.2859
157,-0.01754
158,-0.4867
159,-0.02921
160,0.7735
161,-0.1068
162,1.259
163,0.7756
164,-0.2779
165,-0.5815
166,0.01672
167,-0.3208
168,0.0377
169,-0.2795
170,-0.04802
171,-0.1752
172,-0.3438
173,0.8839
174,-0.3075
175,1.249
176,-0.2626
177,0.952
178,0.02288
179,0.7284
180,-0.4049
181,0.5406
182,-1.124
183,0.4847
184,0.2798
185,0.4313
186,0.8648
187,0.4762
188,1.389
189,1.158
190,-0.5312
191,0.4723
192,-0.1976
193,1.285
194,1.047
195,-0.02543
196,0.3347
197,-0.152
198,0.4032
199,0.007525
200,0.5676
201,1.337
202,-0.007189
203,-0.4618
204,0.07614
205,-0.6886
206,0.587
207,1.294
208,1.114
209,-0.1531
210,0.4996
211,0.6992
212,-0.1464
213,0.2864
214,-0.2187
215,-0.02365
216,0.6613
217,-0.018
218,-0.3492
219,-0.522
220,0.446
221,-0.09968
222,-1.266
223,-0.259
224,-0.4486
225,-0.9427
226,-0.3644
227,-0.5706
228,0.5465
229,-0.917
230,0.2947
231,-0.8421
232,0.4168
233,0.7743
234,0.4171
235,1.55
236,-0.2552
237,0.06034
238,-0.2979
239,0.8778
240,0.4744
241,0.6376
242,0.1066
243,1.016
244,-0.3554
245,0.3605
246,0.7054
247,0.4675
248,-0.02829
249,0.8212
250,-0.3944
251,-0.6689
252,1.316
253,1.104
254,1.113
255,0.02907
256,0.4653
257,0.1085
258,1.07
259,0.491
260,0.2283
261,-0.7046
262,-0.1657
263,-0.3491
264,0.5727
265,0.6547
266,0.3936
267,0.7475
268,-0.7536
269,0.2429
270,0.466
271,0.2799
272,-0.376
273,0.3667
274,-0.3111
275,0.3065
276,0.3508
277,-0.187
278,-0.3551
279,-0.3563
280,-0.4032
281,-0.344
282,0.4524
283,-1.202
284,-0.4953
285,0.394
286,0.7767
287,-0.2755
288,-0.3753
289,-1.303
290,-0.6241
291,-0.1893
292,0.3268
293,-0.2408
294,0.6135
295,0.03375
296,-0.05464
297,0.1391
298,-0.2135
299,-0.2682
300,-0.6236
301,-0.8033
302,-0.3629
303,0.4755
304,0.7738
305,0.3113
306,-0.4676
307,0.2004
308,-0.1961
309,0.3206
310,-0.156
311,0.9296
312,-1.045
313,0.1921
314,0.5293
315,-0.3423
316,-0.2021
317,1.174
318,0.2936
319,0.1856
320,-0.5005
321,0.1327
322,0.1725
323,0.7424
324,-0.04964
325,0.7768
326,1.189
327,1.021
328,0.4817
329,0.1636
330,-0.3348
331,1.006
332,-0.3927
333,0.2497
334,0.1795
