MDTU,plaq
1,1.54018
2,1.48227
3,1.42431
4,1.42431
5,1.42431
6,1.33338
7,1.33338
8,1.33338
9,1.33338
10,1.33338
11,1.33338
12,1.29308
13,1.21707
14,1.21707
15,1.21707
16,1.20495
17,1.20495
18,1.16272
19,1.11417
20,1.09681
21,1.07362
22,1.07362
23,1.07362
24,1.07375
25,1.06548
26,1.06548
27,1.07443
28,1.07443
29,1.04444
30,1.03753
31,1.03753
32,1.02233
33,1.02233
34,1.02672
35,1.02672
36,1.03417
37,1.01322
38,1.01992
39,1.01405
40,1.01649
41,1.01649
42,1.01649
43,0.999949
44,0.998697
45,1.00593
46,1.00593
47,1.01468
48,1.03262
49,1.03262
50,1.03549
51,1.03549
52,1.038
53,1.0155
54,1.04521
55,1.04521
56,1.03383
57,1.02566
58,1.02735
59,1.008
60,1.01562
61,1.01235
62,1.01941
63,1.01144
64,1.03323
65,1.0148
66,1.00415
67,1.00415
68,1.02325
69,1.00244
70,1.01585
71,1.03054
72,1.0149
73,1.0149
74,1.04296
75,1.02688
76,1.02688
77,1.02688
78,1.02486
79,1.02486
80,1.03535
81,1.00954
82,1.00954
83,1.02493
84,1.04517
85,1.04277
86,1.0421
87,1.02076
88,1.02076
89,1.02076
90,1.02076
91,1.06255
92,1.05232
93,1.02019
94,1.04449
95,1.01398
96,1.00579
97,1.02062
98,1.01294
99,0.992041
100,0.996223
101,0.996223
102,0.994963
103,0.994623
104,1.02069
105,1.02069
106,1.02069
107,1.02986
108,1.01842
109,1.01842
110,0.985311
111,0.993706
112,0.984778
113,0.998226
114,0.991869
115,1.00258
116,0.981121
117,0.981121
118,1.00826
119,0.985467
120,0.955162
121,0.955162
122,0.980476
123,0.990446
124,0.977216
125,0.981033
126,0.999401
127,1.02885
128,1.0352
129,1.00266
130,1.00266
131,1.00796
132,1.00796
133,1.00752
134,1.02495
135,1.02495
136,1.01507
137,1.02798
138,1.01909
139,1.03795
140,1.03795
141,1.0436
142,1.05437
143,1.0401
144,1.04177
145,1.03059
146,1.03059
147,1.02467
148,1.01007
149,1.01728
150,1.01728
151,1.01728
152,1.05394
153,1.04162
154,1.04162
155,1.02846
156,1.03101
157,1.05441
158,1.02553
159,1.06248
160,1.036
161,1.04832
162,1.04832
163,1.04832
164,1.04072
165,1.06018
166,1.05087
167,1.04351
168,1.06194
169,1.07734
170,1.06138
171,1.03851
172,1.05222
173,1.05222
174,1.06095
175,1.06095
176,1.05392
177,1.04814
178,1.04001
179,1.02896
180,1.04341
181,1.04754
182,1.05691
183,1.06711
184,1.06711
185,1.06711
186,1.06711
187,1.05771
188,1.05771
189,1.01666
190,1.00857
191,1.00857
192,1.01764
193,1.01598
194,1.01598
195,1.02012
196,1.01509
197,1.02289
198,1.01847
199,1.01055
200,1.0449
201,1.01044
202,1.01037
203,1.01286
204,1.00782
205,1.02355
206,1.02084
207,1.02084
208,1.02084
209,1.00378
210,1.00269
211,0.996832
212,1.00241
213,1.01912
214,0.995664
215,0.996726
216,0.982876
217,0.999209
218,1.00506
219,1.01593
220,1.01593
221,1.0122
222,1.04375
223,1.03388
224,1.02921
225,1.03584
226,1.04788
227,1.0469
228,1.04667
229,1.06252
230,1.05425
231,1.07964
232,1.05931
233,1.05403
234,1.05295
235,1.03899
236,1.02247
237,1.03323
238,1.02535
239,1.03864
240,1.03883
241,1.05202
242,1.05202
243,1.04795
244,1.02346
245,1.01075
246,1.01075
247,1.01075
248,1.00432
249,1.00432
250,1.01091
251,1.00917
252,1.00917
253,1.00724
254,1.00724
255,1.0192
256,1.0192
257,1.01363
258,1.01363
259,1.01679
260,1.00805
261,1.01978
262,1.00579
263,1.00497
264,1.00349
265,1.00349
266,1.00349
267,1.00349
268,1.02749
269,1.00293
270,1.00293
271,1.00293
272,1.02091
273,1.02091
274,1.01903
275,1.01505
276,1.01505
277,1.01079
278,0.990681
279,0.999096
280,0.977448
281,0.976422
282,0.976422
283,0.985241
284,1.00281
285,1.00292
286,1.00292
287,0.978172
288,0.986233
289,0.99596
290,1.01617
291,1.0153
292,1.02596
293,1.02788
294,1.02788
295,1.02342
296,1.03283
297,1.01702
298,1.01023
299,1.00842
300,1.00559
301,1.02607
302,1.0206
303,1.0206
304,1.0206
305,1.0206
306,1.02403
307,1.02148
308,1.01582
309,1.01773
310,1.01168
311,1.00607
312,0.993698
313,1.01446
314,0.989776
315,0.990366
316,0.995469
317,0.995469
318,0.974649
319,0.974649
320,0.990572
321,1.00196
322,1.01678
323,1.01678
324,1.01997
325,1.00355
326,1.00355
327,1.00355
328,1.00355
329,0.992404
330,0.98008
331,0.98008
332,0.993745
333,1.00794
334,0.983831
335,1.00074
336,0.983335
337,0.988441
338,1.01192
339,1.00829
340,0.983013
341,0.999458
342,1.01161
343,0.985472
344,0.999356
345,1.00925
346,0.993934
347,1.02703
348,1.03365
349,1.03711
350,1.03383
351,1.0189
352,0.997977
353,1.02012
354,0.993083
355,0.990506
356,1.01245
357,0.997243
358,0.997243
359,0.997243
360,0.997243
361,1.00699
362,1.00699
363,1.02338
364,1.0254
365,1.0254
366,1.03441
367,1.01911
368,1.06072
369,1.05091
370,1.05205
371,1.05251
372,1.05251
373,1.0493
374,1.00067
375,1.01295
376,1.01295
377,1.02023
378,1.02994
379,0.994562
