MDTU,S_B
457,0.986947
458,0.983844
459,0.983844
460,0.994911
461,0.997567
462,0.987321
463,0.987321
464,0.98823
465,0.98578
466,0.999308
467,0.999308
468,0.998883
469,1.00206
470,1.00014
471,1.0004
472,0.999344
473,1.00619
474,1.00619
475,0.999013
476,0.999013
477,0.996931
478,1.00126
479,0.988184
480,0.987472
481,0.993037
482,0.994139
483,1.00158
484,0.993925
485,1.00435
486,1.00435
487,1.00435
488,1.00383
489,1.00383
490,1.00588
491,1.00505
492,1.00505
493,1.00505
494,0.995819
495,0.993085
496,0.995237
497,0.995237
498,1.00129
499,0.999638
500,0.991212
501,0.991212
502,0.991212
503,0.991212
504,0.997588
505,0.999956
506,0.997167
507,0.997167
508,0.997167
509,0.997167
510,0.99638
511,0.988108
512,0.988108
513,0.988108
514,0.993133
515,0.993133
516,0.98973
517,0.992581
518,0.986299
519,0.992642
520,1.00006
521,1.00069
522,1.00074
523,1.00441
524,0.998799
525,0.993123
526,1.00147
527,1.00147
528,1.00147
529,1.00147
530,0.992567
531,1.0064
532,1.00728
533,0.997212
534,0.998333
535,0.99725
536,0.99725
537,0.994645
538,1.00692
539,0.997937
540,0.990907
541,0.99799
542,0.994057
543,1.00339
544,1.00339
545,1.00666
546,1.00033
547,0.999048
548,0.998188
549,1.00393
550,1.00916
551,1.00885
552,1.00217
553,1.00879
554,1.00361
555,1.00361
556,1.00361
557,0.996086
558,0.997519
559,0.996358
560,0.999442
561,0.992258
562,0.993334
563,0.985174
564,1.00445
565,1.00445
566,0.995844
567,0.998322
568,0.997966
569,0.997966
570,1.00176
571,1.00176
572,1.00176
573,1.00569
574,0.996514
575,1.00507
576,1.00507
577,0.991957
578,1.00107
579,0.996743
580,1.00089
581,1.00089
582,0.998938
583,0.998938
584,0.997672
585,0.991907
586,0.991907
587,0.991907
588,0.991064
589,0.991482
590,0.987861
591,0.992687
592,1.00604
593,1.00959
594,1.00959
595,1.00959
596,1.00959
597,1.00194
598,0.992433
599,0.997213
600,1.00105
601,1.00105
602,1.00239
603,0.99271
604,0.990848
605,0.990221
606,0.993688
607,1.00512
608,0.996038
609,0.996066
610,0.996066
611,0.988344
612,1.00001
613,1.00034
614,1.0009
615,1.0009
616,0.99862
617,0.994258
618,0.994258
619,0.991905
620,0.991905
621,0.991905
622,0.991905
623,0.989173
624,0.989173
625,1.00137
626,1.00009
627,0.991056
628,1.00278
629,0.990868
630,0.994062
631,0.994659
632,0.993435
633,0.997483
634,0.994364
635,0.994144
636,0.997322
637,1.00111
638,1.00111
639,0.994894
640,1.00131
641,1.00413
642,1.00413
643,1.00387
644,1.00387
645,0.998041
646,0.994625
647,0.9895
648,0.993214
649,0.993214
650,0.993332
651,0.9946
652,0.9946
653,1.00247
654,1.00075
655,1.0035
656,1.0009
657,1.00236
658,1.00236
659,0.992901
660,0.998249
661,1.00014
662,0.999318
663,0.998138
664,0.993154
665,0.987685
666,0.994857
667,0.994857
668,0.998788
669,0.993373
670,0.98736
671,0.98736
672,0.996633
673,0.99862
674,1.00518
675,1.00372
676,0.996451
677,0.995215
678,0.995215
679,0.999253
680,1.01171
681,1.00639
682,1.00639
683,1.00639
684,1.00639
685,1.01137
686,1.00893
687,0.997548
688,0.99293
689,1.00802
690,1.00802
691,1.0051
692,1.00169
693,1.00169
694,1.00061
695,1.00314
696,1.00314
697,1.00994
698,0.992794
699,0.992794
700,0.996874
701,0.996874
702,0.996874
703,0.995405
704,0.993301
705,1.00248
706,0.995406
707,0.99748
708,0.99748
709,1.00481
710,0.996081
711,0.996081
712,1.01338
713,1.01338
714,0.997659
715,1.00622
716,0.993064
717,1.00226
718,0.994386
719,0.996034
720,0.996034
721,0.999951
722,0.997873
723,0.997873
724,0.992598
725,0.996632
726,1.0029
727,0.99938
728,0.998723
729,0.993937
730,0.998263
731,0.998263
732,0.996836
733,0.992812
734,0.996506
735,0.996506
736,1.00074
737,0.999703
738,0.996016
739,0.996016
740,1.00039
741,1.00201
742,1.0024
743,1.00332
744,1.00007
745,1.00007
746,0.994641
747,0.995626
748,0.99662
749,0.992636
750,0.992636
751,0.992636
752,1.00028
753,1.00028
754,0.994916
755,0.994916
756,0.986792
757,0.986792
758,0.986792
759,0.997977
760,0.997977
761,0.995063
762,0.994124
763,0.994124
764,1.00004
765,1.00004
766,0.992048
767,1.00538
768,1.00538
769,0.9994
770,0.996305
771,0.994301
772,0.994301
773,0.994301
774,0.993538
775,0.993538
776,0.992429
777,0.994321
778,1.00507
779,1.00015
780,1.00092
781,1.0061
782,0.99786
783,0.987627
784,0.991548
785,1.0004
786,1.0004
787,1.00369
788,1.00369
789,1.00449
790,0.998399
791,0.995591
792,0.991243
793,0.995643
794,0.99273
795,0.99273
796,0.99273
797,0.99273
798,0.998937
799,0.998937
800,0.994783
801,0.994783
802,0.994006
803,1.00567
804,0.995856
805,0.995856
806,1.00171
807,1.00171
808,1.00184
809,1.00184
810,1.00449
811,0.993496
812,0.993496
813,0.993496
814,1.00399
815,1.00399
816,0.994495
817,0.994421
818,0.994421
819,0.988808
820,0.998219
821,0.99815
822,0.989653
823,0.990509
824,1.00347
825,1.00347
826,1.00347
827,0.996786
828,1.00815
829,0.997843
830,0.99399
831,0.992466
832,0.992466
833,0.997817
834,0.997817
835,0.99662
836,0.992874
837,1.00297
838,0.990944
839,1.00057
840,1.00488
841,1.0006
842,1.00784
843,1.00784
844,1.00014
845,1.00109
846,1.00769
847,1.00722
848,1.00578
849,1.00578
850,0.998554
851,0.998554
852,0.998554
853,0.99781
854,0.996401
855,0.992641
856,0.992641
857,0.998525
858,0.998525
859,0.985592
860,0.985592
861,1.00355
862,1.00355
863,1.00355
864,0.999874
865,1.00277
866,1.00277
867,1.00277
868,1.00107
869,1.00107
870,0.987183
871,0.997294
872,0.998402
873,0.998402
874,0.997249
875,0.997249
876,0.996625
877,1.00311
878,0.998883
879,0.997784
880,0.994049
881,0.991892
882,1.00356
883,1.00356
884,1.00356
885,1.00013
886,0.993599
887,0.993332
888,0.993332
889,0.988468
890,0.994627
891,0.9977
892,0.9977
893,0.9977
894,0.996751
895,1.00024
896,0.995933
897,0.997054
898,0.998806
899,0.99677
900,0.995068
901,1.00705
902,1.00705
903,0.999067
904,0.99291
905,0.99291
906,0.993805
907,0.993805
908,0.992551
909,0.992551
910,1.00085
911,1.00085
912,0.984352
913,0.993796
914,0.993796
915,1.00392
916,0.995033
917,1.00648
918,0.998349
919,0.988086
920,0.983352
921,0.995667
922,0.987544
923,0.998573
924,0.995725
925,0.993012
926,0.993012
927,0.997843
928,0.992102
929,0.981097
930,0.98782
931,0.988433
932,0.98896
933,0.98336
934,0.990325
935,0.994409
936,0.985351
937,0.985351
938,0.985351
939,0.982159
940,0.985267
941,0.998236
942,1.00409
943,1.00421
944,1.00582
945,1.00582
946,0.99726
947,0.999062
948,0.994749
949,0.994749
950,1.00158
951,1.00158
952,0.991487
953,1.0016
954,1.00849
955,0.999173
956,0.996788
957,1.00625
958,1.00272
959,1.00272
960,1.00091
961,1.0014
962,0.99939
963,0.99939
964,0.998663
965,1.01373
966,1.01373
967,1.00633
968,1.00633
969,0.997787
970,0.998545
971,0.99013
972,0.992232
973,0.99222
974,0.99222
975,0.99222
976,0.99222
977,1.00838
978,0.997686
979,1.00067
980,1.00354
981,1.00228
982,1.0067
983,0.997337
984,1.00114
985,0.993225
986,0.993225
987,0.996857
988,0.99483
989,0.99483
990,0.998378
991,1.00372
992,1.00435
993,1.00337
994,0.992117
995,0.987831
996,1.00092
997,1.00324
998,1.00324
999,1.00022
1000,1.00022
1001,0.990717
1002,0.991933
1003,0.991933
1004,0.992659
1005,0.993533
1006,0.990249
1007,1.00051
1008,0.999536
1009,1.00104
1010,0.998644
1011,1.00412
1012,1.0003
1013,0.998922
1014,0.998922
1015,0.991278
1016,0.996889
1017,0.996889
1018,0.99058
1019,1.00392
1020,0.998442
1021,0.991703
1022,0.995315
1023,1.01427
1024,1.00072
1025,0.996842
1026,0.996416
1027,0.992085
1028,0.997662
1029,0.990873
1030,0.99294
1031,0.997279
1032,0.997279
1033,0.997279
1034,1.00024
1035,1.00173
1036,0.998404
1037,0.998404
1038,0.998404
1039,1.00347
1040,1.00347
1041,1.00347
1042,0.99212
1043,0.99212
1044,0.99004
1045,0.99004
1046,0.981814
1047,0.995011
1048,0.995011
1049,0.998272
1050,0.998272
1051,0.999705
1052,1.00747
1053,0.99348
1054,0.996356
1055,1.00231
1056,1.00546
1057,1.00546
1058,1.00592
1059,1.00692
1060,0.988314
1061,1.00196
1062,1.00196
1063,0.99905
1064,0.996329
1065,0.996329
1066,0.996758
1067,0.995581
1068,0.991948
1069,0.999174
1070,0.997433
1071,0.997433
1072,0.999749
1073,1.00058
1074,0.987726
1075,0.991391
1076,0.999772
1077,0.996233
1078,0.996233
1079,0.994171
