MDTU,|Tr(L)|,ReTr(L),ImTr(L)
156,1.25198,0.84258,-0.926023
157,1.39494,0.758809,-1.1705
158,1.33815,0.399065,-1.27726
159,1.35908,0.310198,-1.32321
160,1.27413,0.219023,-1.25517
161,1.24348,0.350593,-1.19304
162,1.24348,0.350593,-1.19304
163,1.24348,0.350593,-1.19304
164,1.27857,0.428441,-1.20465
165,1.2842,0.366964,-1.23066
166,1.26447,0.393918,-1.20155
167,1.37136,0.534179,-1.26305
168,1.38908,0.587428,-1.25876
169,1.40301,0.462551,-1.32456
170,1.50682,0.60968,-1.37797
171,1.37904,0.34209,-1.33594
172,1.39857,0.441461,-1.32707
173,1.39857,0.441461,-1.32707
174,1.47034,0.654067,-1.31685
175,1.47034,0.654067,-1.31685
176,1.37952,0.746362,-1.16018
177,1.26005,0.969123,-0.805318
178,1.436,0.936067,-1.08898
179,1.28671,0.752536,-1.0437
180,1.35462,0.676244,-1.17375
181,1.37103,0.595051,-1.23516
182,1.40613,0.946891,-1.03951
183,1.30668,0.647798,-1.13479
184,1.30668,0.647798,-1.13479
185,1.30668,0.647798,-1.13479
186,1.30668,0.647798,-1.13479
187,1.37165,0.622579,-1.22222
188,1.37165,0.622579,-1.22222
189,1.19253,0.633094,-1.01061
190,1.24196,0.908581,-0.846727
191,1.24196,0.908581,-0.846727
192,1.21444,0.918945,-0.79398
193,1.1204,0.811297,-0.772725
194,1.1204,0.811297,-0.772725
195,1.26887,0.922727,-0.870985
196,1.31781,1.07544,-0.761611
197,1.36322,1.07432,-0.839176
198,1.34109,1.15216,-0.686332
199,1.3428,1.20816,-0.586071
200,1.22706,0.955779,-0.769526
201,1.26269,0.996729,-0.775183
202,1.28478,1.02771,-0.771018
203,1.19226,0.960863,-0.705849
204,1.30488,1.07893,-0.733904
205,1.25607,1.10409,-0.598903
206,1.2648,1.12882,-0.570511
207,1.2648,1.12882,-0.570511
208,1.2648,1.12882,-0.570511
209,1.257,1.04937,-0.691992
210,1.31544,0.819382,-1.02908
211,1.28907,0.616834,-1.13191
212,1.27964,0.422012,-1.20805
213,1.36671,0.197846,-1.35232
214,1.12231,-0.0193367,-1.12215
215,1.18804,0.105694,-1.18332
216,1.1717,-0.0131167,-1.17163
217,1.30608,0.15751,-1.29655
218,1.25507,0.201355,-1.23881
219,1.33174,0.194645,-1.31744
220,1.33174,0.194645,-1.31744
221,1.21387,0.0289934,-1.21353
222,1.23457,-0.0977289,-1.23069
223,1.16204,0.00667075,-1.16203
224,1.18496,-0.087919,-1.1817
225,1.2285,0.206334,-1.21104
226,1.32229,0.0631466,-1.32078
227,1.41186,-0.0887575,-1.40906
228,1.3536,0.281363,-1.32404
229,1.42782,0.320324,-1.39142
230,1.45528,0.348261,-1.41299
231,1.3671,0.217201,-1.34973
232,1.41951,-0.0142951,-1.41944
233,1.3376,0.0943334,-1.33427
234,1.3375,0.148615,-1.32922
235,1.23083,-0.0106864,-1.23078
236,1.23325,-0.120406,-1.22736
237,1.21312,0.0941344,-1.20946
238,1.26878,0.054464,-1.26761
239,1.28137,0.218878,-1.26254
240,1.24516,0.144473,-1.23675
241,1.35456,-0.0792062,-1.35225
242,1.35456,-0.0792062,-1.35225
243,1.26577,0.142485,-1.25772
244,1.28646,0.237153,-1.26441
245,1.15584,0.128255,-1.14871
246,1.15584,0.128255,-1.14871
247,1.15584,0.128255,-1.14871
248,1.20718,0.241022,-1.18287
249,1.20718,0.241022,-1.18287
250,1.15785,0.127126,-1.15085
251,1.12395,0.00319152,-1.12395
252,1.12395,0.00319152,-1.12395
253,1.30582,-0.0285003,-1.30551
254,1.30582,-0.0285003,-1.30551
255,1.17451,-0.0501697,-1.17344
256,1.17451,-0.0501697,-1.17344
257,1.229,-0.113205,-1.22378
258,1.229,-0.113205,-1.22378
259,1.25809,-0.18416,-1.24454
260,1.23053,0.199637,-1.21423
261,1.27887,0.433532,-1.20315
262,1.23158,0.658131,-1.04098
263,1.25062,0.613738,-1.08966
264,1.22705,0.376056,-1.168
265,1.22705,0.376056,-1.168
266,1.22705,0.376056,-1.168
267,1.22705,0.376056,-1.168
268,1.19366,0.29282,-1.15718
269,1.22345,0.554124,-1.09077
270,1.22345,0.554124,-1.09077
271,1.22345,0.554124,-1.09077
272,1.3045,0.516541,-1.19788
273,1.3045,0.516541,-1.19788
274,1.21403,0.236223,-1.19083
275,1.18734,0.287632,-1.15197
276,1.18734,0.287632,-1.15197
277,1.23766,0.173611,-1.22542
278,1.21198,0.186401,-1.19756
279,1.22143,0.294074,-1.1855
280,1.17876,0.378071,-1.11648
281,1.13223,0.186654,-1.11673
282,1.13223,0.186654,-1.11673
