MDTU,S_B
1,0.99136
2,0.99602
3,1.00107
4,0.994493
5,0.994493
6,0.99806
7,1.00011
8,1.00202
9,1.00202
10,1.00202
11,0.994872
12,0.999383
13,0.991539
14,0.996462
15,1.00517
16,0.994554
17,0.994554
18,0.992252
19,0.991591
20,0.993002
21,0.993002
22,0.993002
23,0.996472
24,0.993597
25,0.993803
26,0.993803
27,0.996135
28,1.00699
29,1.00699
30,1.00279
31,1.00061
32,0.994043
33,0.99531
34,0.99531
35,0.999591
36,0.999562
37,1.00177
38,1.00177
39,0.995882
40,0.997559
41,0.997559
42,1.00248
43,0.992443
44,1.00025
45,1.00097
46,0.995367
47,1.01188
48,1.01188
49,0.999328
50,1.0077
51,1.0077
52,1.00209
53,0.99183
54,0.994754
55,0.992372
56,0.989671
57,0.988798
58,0.999041
59,0.987368
60,0.996264
61,0.993004
62,0.998512
63,1.00444
64,0.990105
65,0.994882
66,1.00231
67,1.0003
68,1.00178
69,0.999126
70,0.996698
71,0.989227
72,1.00698
73,1.00709
74,1.00006
75,1.00189
76,1.00172
77,1.00593
78,1.0045
79,0.998281
80,0.994923
81,1.00541
82,1.00541
83,0.992782
84,0.990438
85,0.994019
86,0.994186
87,1.00557
88,0.998615
89,0.998615
90,0.994405
91,1.00775
92,1.00258
93,1.0036
94,1.0066
95,1.00409
96,1.00178
97,1.00546
98,1.00044
99,0.995513
100,0.986208
101,1.00206
102,1.00147
103,1.00408
104,0.9934
105,1.00126
106,1.00013
107,1.00465
108,1.00932
109,1.00932
110,1.0033
111,1.00276
112,1.00276
113,0.997211
114,0.990771
115,0.995707
116,0.997736
117,0.997736
118,0.997491
119,0.99693
120,0.994397
121,0.996728
122,0.996728
123,1.00208
124,0.992778
125,0.989754
126,0.989754
127,1.00066
128,0.996296
129,1.00098
130,1.0077
131,0.993794
132,0.997316
133,0.997316
134,0.997316
135,0.997316
136,0.997316
137,0.996666
138,0.98595
139,0.989161
140,0.989161
141,0.97994
142,0.980071
143,0.991813
144,0.994012
145,0.994112
146,0.982318
147,0.989077
148,0.986254
149,0.986254
150,0.994729
151,0.994729
152,0.993923
153,1.00144
154,1.00144
155,0.996302
156,1.00353
157,1.00086
158,0.993634
159,1.00049
160,1.00022
161,0.996497
162,0.993341
163,0.998277
164,0.998277
165,0.996732
166,0.996775
167,0.996775
168,1.00789
169,1.00789
170,0.993211
171,0.984073
172,0.992927
173,0.992927
174,0.989526
175,1.00051
176,0.997191
177,0.994754
178,0.990892
179,0.991466
180,0.991912
181,0.991274
182,0.999646
183,1.00148
184,0.999074
185,1.00137
186,0.990666
187,1.00767
188,1.00274
189,0.991396
190,0.989209
191,0.988613
192,0.990107
193,0.995915
194,0.986888
195,1.006
196,0.997432
197,0.988022
198,0.98993
199,0.984097
200,0.996311
201,1.00195
202,0.996795
203,0.993583
204,0.9998
205,0.9998
206,0.998692
207,0.995763
208,0.993021
209,0.996485
210,1.00184
211,0.996885
212,0.992507
213,0.98832
214,0.994382
215,0.994382
216,0.992356
217,1.00736
218,1.00736
219,1.00091
220,1.00091
221,1.01121
222,0.998487
223,0.998487
224,0.994433
225,0.986587
226,1.00281
227,1.00937
228,0.996883
229,0.991234
230,0.989107
231,0.989107
232,0.992781
233,0.990576
234,0.986536
235,0.998984
236,0.998596
237,0.995098
238,1.00086
239,0.994166
240,0.996644
241,0.993574
242,0.993574
243,0.996756
244,1.00178
245,0.997787
246,0.993271
247,0.993271
248,1.00021
