t,|deltaS|
1,0.2579
2,0.3398
3,0.0451
4,0.3916
5,0.2288
6,0.5198
7,0.7064
8,0.3496
9,0.8367
10,0.4711
11,0.3292
12,0.3541
13,0.3152
14,0.1772
15,0.09232
16,0.2058
17,0.3769
18,0.117
19,0.3884
20,0.08072
21,0.2353
22,0.07071
23,0.1942
24,0.1204
25,0.183
26,0.2407
27,0.2867
28,0.1599
29,0.1774
30,0.05054
31,0.1668
32,0.08266
33,0.07744
34,0.4362
35,0.2536
36,0.02952
37,0.5114
38,0.5045
39,0.3191
40,0.2301
41,0.6629
42,0.1319
43,0.0154
44,0.03439
45,0.5756
46,0.1437
47,0.587
48,0.09713
49,0.01712
50,0.1438
51,0.4001
52,0.09967
53,0.2862
54,0.4891
55,0.2856
56,0.07339
57,0.03883
58,0.0469
59,0.7669
60,0.6385
61,0.2849
62,0.5129
63,0.2249
64,0.05813
65,0.3087
66,0.05414
67,0.005992
68,0.4231
69,0.56
70,0.1106
71,0.1204
72,0.4117
73,0.03876
74,0.3353
75,0.2311
76,0.1849
77,0.1246
78,0.2222
79,0.1492
80,0.106
81,0.01855
82,0.3475
83,0.1717
84,0.5209
85,0.1679
86,0.2043
87,0.3699
88,0.2483
89,0.3977
90,0.006498
91,0.2436
92,0.1481
93,0.6429
94,0.01682
95,0.2798
96,0.004897
97,0.07838
98,0.3703
99,0.7975
100,0.1365
101,0.5509
102,0.02679
103,0.2787
104,0.1217
105,0.216
106,0.6634
107,0.1349
108,0.04325
109,1.065
110,0.4169
111,0.2361
112,0.3946
113,0.09287
114,0.1559
115,0.1478
116,0.4378
117,0.2603
118,0.1018
119,0.03667
120,0.4142
121,0.2908
122,0.6266
123,0.5037
124,0.2079
125,0.09274
126,0.3436
127,0.2909
128,0.04071
129,0.06099
130,0.04082
131,0.07834
132,0.2385
133,0.5437
134,0.1524
135,0.5729
136,0.2887
137,0.4336
138,0.1475
139,0.277
140,0.2474
141,0.2597
142,0.0005959
143,0.3777
144,0.3942
145,0.2423
146,0.1375
147,0.03407
148,0.1301
149,0.3333
150,0.3853
151,0.3648
152,0.6185
153,0.2765
154,0.5652
155,0.2933
156,0.2932
157,0.5744
158,0.7028
159,0.03612
160,0.3607
161,0.04961
162,0.09765
163,0.06975
164,0.428
165,5.877e-05
166,0.08436
167,0.702
168,0.1804
169,0.5479
170,0.6032
171,0.3583
172,0.1958
173,0.8141
174,0.46
175,0.01623
176,0.001161
177,0.08784
178,0.3568
179,0.1486
180,0.3492
181,0.3745
182,0.2756
183,0.4674
184,0.06685
185,0.9857
186,0.2075
187,0.1797
188,0.1597
189,0.4414
190,0.08149
191,0.148
192,0.04726
193,0.6829
194,0.1046
195,0.1398
196,0.02203
197,0.452
198,0.1564
199,0.1069
200,0.03048
201,0.1507
202,0.7028
203,0.08191
204,0.1089
205,0.1055
206,0.04824
207,0.05753
208,0.5336
209,0.1738
210,0.2764
211,0.1779
212,0.3564
213,0.2316
214,0.1008
215,0.1978
216,0.08947
217,0.1723
218,0.4824
219,0.08
220,0.5067
221,0.5502
222,0.3035
223,0.3233
224,0.1295
225,0.0351
226,0.8366
227,0.6858
228,0.05243
229,0.4016
230,0.7693
231,0.3254
232,0.2921
233,0.5408
234,0.3176
235,0.284
236,0.595
237,0.361
238,0.06429
239,0.1886
240,0.3104
241,0.07642
242,0.2665
243,0.3074
244,0.01964
245,0.2228
246,0.1664
247,0.3337
248,0.09997
249,0.1705
250,0.5048
251,0.4485
252,0.6774
253,0.415
254,0.36
255,0.2732
256,0.5014
257,0.05227
258,0.2433
259,0.08757
260,0.0739
261,0.2613
262,0.09326
263,0.3316
264,0.1652
265,0.1778
266,0.7038
267,0.7721
268,0.2496
269,0.273
270,0.4033
271,0.09212
272,0.5967
273,0.04868
274,0.4624
275,1.01
276,0.3492
277,0.4767
278,0.07268
279,0.4736
280,0.1278
281,0.1317
282,0.04973
283,0.1564
284,0.4115
285,0.03253
286,0.3554
287,0.1313
288,0.4093
289,0.2512
290,0.8108
291,0.3663
292,0.497
293,0.574
294,0.03921
295,0.4684
296,0.3121
297,0.8856
298,0.3058
299,0.3493
300,0.07713
301,0.02465
302,0.09686
303,0.2264
304,0.07614
305,0.3778
306,0.1468
307,0.5879
308,0.458
309,0.1308
310,0.02394
311,0.06032
312,0.4406
313,0.4222
314,0.1561
315,0.2297
316,0.1318
317,0.1936
318,0.004155
319,0.3743
320,0.1645
321,0.1248
322,0.02411
323,0.1421
324,0.3201
325,0.03756
326,0.4433
327,0.4651
328,0.3
329,0.3859
330,0.06387
331,0.09719
332,0.1836
333,0.1761
334,0.254
335,0.2205
336,0.02449
337,0.3788
338,0.5928
339,0.04453
340,0.2258
341,0.01288
342,0.4261
343,0.03629
344,0.4782
345,0.1808
346,0.2376
347,0.5122
348,0.1046
349,0.4447
350,0.1788
351,0.2495
352,0.02814
353,0.8509
354,0.136
355,0.08744
356,0.1992
357,0.2188
358,0.628
359,0.5215
360,0.2286
361,0.05273
362,0.3687
363,0.3352
364,0.7153
365,0.2916
366,0.07651
367,0.1142
368,0.3675
369,0.486
370,0.3094
371,0.1361
372,0.2231
373,0.03884
374,0.7101
375,0.6919
376,0.03985
377,0.2823
378,0.6314
379,0.4138
380,0.1633
381,0.2387
382,0.1209
383,0.2268
384,0.4191
385,0.559
386,0.009004
387,0.008377
388,0.2205
389,0.1961
390,0.1705
