MDTU,min_min,min_max,max_min,max_max5
1,-0.114496,-0.0033382,-0.011276,0.0946959
2,-0.11758,-0.00177784,-0.0101612,0.0910905
3,-0.109221,-0.00648759,0.00223218,0.0905884
4,-0.112779,0.000236184,0.0031108,0.0968192
5,-0.112779,0.000236184,0.0031108,0.0968192
6,-0.107282,0.00597125,0.00187247,0.101241
7,-0.104434,0.0151063,-0.00695034,0.105654
8,-0.102316,0.00858421,0.000310121,0.10237
9,-0.102316,0.00858421,0.000310121,0.10237
10,-0.102316,0.00858421,0.000310121,0.10237
11,-0.102372,0.0108439,0.00999917,0.100016
12,-0.0982925,0.0116158,0.0100076,0.0980479
13,-0.0851175,-0.0103644,0.00677635,0.0878331
14,-0.0973648,-0.000285231,0.0010929,0.0921623
15,-0.0989285,0.0171705,-0.00878919,0.109732
16,-0.0991922,0.00433298,0.00450755,0.0957899
17,-0.0991922,0.00433298,0.00450755,0.0957899
18,-0.110598,0.00801489,-0.00395952,0.100909
19,-0.131978,0.0155535,-0.0155417,0.115126
20,-0.10301,-0.0018033,-0.00244859,0.0997277
21,-0.10301,-0.0018033,-0.00244859,0.0997277
22,-0.10301,-0.0018033,-0.00244859,0.0997277
23,-0.117314,0.0061391,0.000979989,0.100753
24,-0.111303,-0.00145973,-0.00225528,0.0914854
25,-0.108155,0.00395642,-0.000980245,0.102221
26,-0.108155,0.00395642,-0.000980245,0.102221
27,-0.100153,-0.00545517,0.00468288,0.0820593
28,-0.0969368,0.00166127,0.000192205,0.0948153
29,-0.0969368,0.00166127,0.000192205,0.0948153
30,-0.105732,0.00798281,0.00468349,0.0983804
31,-0.109905,0.000825877,-0.00599408,0.0969459
32,-0.107958,0.0025009,0.00960679,0.0961308
33,-0.122588,0.00525023,0.00018502,0.0956705
34,-0.122588,0.00525023,0.00018502,0.0956705
35,-0.114875,0.00535042,-0.00144902,0.106638
36,-0.0914169,0.00217918,0.0113428,0.0978547
37,-0.110925,0.0116967,8.43698e-06,0.0980448
38,-0.110925,0.0116967,8.43698e-06,0.0980448
39,-0.0995929,-0.00234551,-0.000832248,0.0926758
40,-0.114071,0.0114738,-0.0101057,0.0988189
41,-0.114071,0.0114738,-0.0101057,0.0988189
42,-0.0963999,-0.00414558,0.00499073,0.0888785
43,-0.103655,-0.00946311,-0.00707197,0.0983195
44,-0.108405,0.00814913,-0.0118635,0.102403
45,-0.0970308,-0.00362169,-0.000859582,0.110301
46,-0.109794,0.000962106,-0.00339445,0.102371
47,-0.0957014,-0.00184037,0.00412233,0.0940129
48,-0.0957014,-0.00184037,0.00412233,0.0940129
49,-0.110183,-0.0053725,0.00922319,0.0831803
50,-0.106838,-0.000939771,0.00120084,0.095469
51,-0.106838,-0.000939776,0.00120085,0.095469
52,-0.0885362,0.00307816,0.00455023,0.0994241
53,-0.115363,0.010261,-0.0116067,0.107595
54,-0.096076,0.00416383,0.00643101,0.0908231
55,-0.112535,0.00671948,0.0126226,0.0924477
56,-0.0997418,-0.00586701,0.0194304,0.0818599
57,-0.111876,-0.00017861,-0.00398643,0.0860046
58,-0.107695,-0.00513292,-0.00404897,0.0857547
59,-0.107797,-0.000546367,0.00365741,0.0967764
60,-0.106089,-0.000845204,-0.000814696,0.0908655
61,-0.123119,0.00219762,-0.00881747,0.0968343
62,-0.114201,0.0127374,-0.0135226,0.103812
63,-0.104273,0.0077504,-0.00047989,0.0991773
64,-0.112979,0.00657276,-0.0120609,0.108057
65,-0.0971112,-0.00402537,0.000755534,0.100032
66,-0.105079,-0.00232525,-0.00374234,0.0955752
67,-0.112507,-0.00336694,-0.00608638,0.0939493
68,-0.106818,0.00623489,0.00250486,0.0910773
69,-0.114315,0.00957055,-0.00722454,0.0913884
70,-0.097946,-0.00869091,0.00558382,0.0742377
71,-0.120588,-0.00309906,-0.021806,0.0920758
72,-0.105407,-0.00238653,-0.000993112,0.0899196
73,-0.10594,0.00124225,0.00298073,0.100769
74,-0.11495,-0.00303134,-0.0124273,0.0927255
75,-0.113196,-0.00293349,-0.00595062,0.100186
76,-0.107836,0.000900222,-8.19816e-06,0.103063
77,-0.110194,0.00946425,-0.0024298,0.101039
78,-0.102543,0.0103638,0.00320132,0.10047
79,-0.108315,0.0192417,-0.00654726,0.10274
80,-0.100021,-0.00182181,0.00341657,0.0984618
81,-0.108208,0.00138746,-0.00274424,0.0958975
82,-0.108208,0.00138746,-0.00274424,0.0958975
83,-0.125758,-0.00314626,-0.0107388,0.105202
84,-0.102982,-0.00764538,0.00220055,0.0974225
85,-0.104468,0.00286579,-0.00348903,0.0970684
86,-0.106751,0.00477583,-0.00222194,0.105458
87,-0.103695,0.00416582,-0.00547945,0.0951318
88,-0.113698,0.00142802,-0.00362304,0.0959409
89,-0.113698,0.00142802,-0.00362304,0.0959409
90,-0.112589,-0.000140536,-0.00887615,0.0901589
91,-0.115703,0.00499524,-0.00159026,0.104856
92,-0.115878,0.00657902,-0.000174123,0.0995379
93,-0.118295,-0.00850954,-0.00473656,0.0927133
94,-0.111946,-0.00745408,-0.00623567,0.0941291
95,-0.123111,0.00106587,-0.0171604,0.0935828
96,-0.128037,-0.00290567,-0.0194593,0.0915097
97,-0.107204,-0.008921,-0.00314298,0.0848894
98,-0.119353,-0.0110945,-0.00317064,0.0881027
99,-0.110614,0.00582996,-0.00854524,0.0953555
100,-0.134635,0.00954423,-0.0146959,0.101791
101,-0.10728,0.000475433,-0.00669788,0.0981897
102,-0.109811,0.000342756,-0.00549034,0.0871598
103,-0.122508,0.00774745,-0.00975708,0.104631
104,-0.107834,-0.0124706,0.00540686,0.084509
105,-0.106346,0.000782881,0.00667084,0.100649
106,-0.110416,0.00146895,-0.00083602,0.0893258
107,-0.129843,0.0112829,-0.0196846,0.109138
108,-0.111065,0.00231773,0.0145797,0.0962695
109,-0.111065,0.00231773,0.0145797,0.0962695
110,-0.121655,0.011895,-0.019709,0.110284
111,-0.0999243,0.00524455,0.00364489,0.10017
112,-0.0999243,0.00524455,0.00364489,0.10017
113,-0.120749,0.0105459,0.00123855,0.103885
114,-0.100582,0.000896114,-0.00194656,0.089954
115,-0.104865,0.00151863,-0.00286454,0.0927994
116,-0.128172,-0.00159994,0.000413018,0.0982252
117,-0.128172,-0.00159994,0.000413018,0.0982252
118,-0.0985288,-0.00118255,0.00506426,0.0898003
119,-0.112243,7.90447e-05,-0.00330145,0.0957704
