MDTU,plaq
1,2.00881
2,2.00881
3,1.81381
4,1.81381
5,1.81381
6,1.81381
7,1.81381
8,1.81381
9,1.81381
10,1.81381
11,1.81381
12,1.62761
13,1.50403
14,1.50403
15,1.50403
16,1.50403
17,1.50403
18,1.41291
19,1.35389
20,1.30301
21,1.30301
22,1.24752
23,1.19436
24,1.19436
25,1.19436
26,1.19436
27,1.15787
28,1.15787
29,1.15991
30,1.15991
31,1.11004
32,1.09398
33,1.09398
34,1.07197
35,1.07197
36,1.03612
37,1.02708
38,1.03859
39,1.03859
40,1.03859
41,1.01926
42,1.03369
43,1.02177
44,0.996261
45,1.00804
46,1.00804
47,1.00804
48,1.01134
49,1.01134
50,1.02186
51,1.01126
52,1.02408
53,1.02276
54,1.0052
55,1.0052
56,1.01026
57,1.01026
58,1.00116
59,1.01306
60,0.99869
61,1.00973
62,1.01053
63,1.01113
64,1.00574
65,0.990114
66,1.00147
67,1.00989
68,1.02726
69,1.03356
70,1.01403
71,1.01403
72,1.01578
73,1.01406
74,0.997077
75,0.989664
76,0.990721
77,0.979074
78,1.00519
79,1.02221
80,1.02221
81,0.994408
82,0.994408
83,1.01288
84,1.0148
85,0.990528
86,1.01655
87,1.00492
88,1.01872
89,1.01872
90,1.014
91,1.0253
92,1.02302
93,0.994387
94,0.995826
95,1.01031
96,1.00828
97,1.0184
98,0.999091
99,0.999091
100,0.967964
101,0.967896
102,0.97752
103,0.995386
104,0.995386
105,0.995386
106,0.982551
107,0.984618
108,0.979344
109,0.949761
110,0.966306
111,0.988497
112,0.971663
113,0.991012
114,0.99381
115,0.965895
116,0.968428
117,0.968428
118,0.956781
119,0.977682
120,0.981119
121,1.00391
122,1.00031
123,1.00578
124,0.98694
125,0.97932
126,0.974618
127,0.98745
128,1.00272
129,1.00161
130,1.04508
131,1.02304
132,1.01797
133,1.01797
134,1.01797
135,1.01797
136,1.01538
137,1.03907
138,1.02565
139,1.05069
140,1.05069
141,1.00321
142,1.00321
143,0.995312
144,0.979893
145,1.0069
146,0.989213
147,0.988232
148,1.00707
149,1.00707
150,1.01625
151,1.01625
152,1.03211
153,1.01584
154,1.01584
155,1.05534
156,1.05457
157,1.0331
158,1.02106
159,1.03669
160,1.03759
161,1.0124
162,1.02193
163,1.02193
164,1.01487
165,1.02793
166,1.03438
167,1.03438
168,1.01937
169,1.01395
170,1.02037
171,0.994714
172,0.992502
173,0.992502
174,0.964289
175,0.962392
176,0.95636
177,0.964414
178,0.963297
179,0.956213
180,0.96772
181,0.997355
182,0.9915
183,0.987883
184,1.00083
185,1.00355
186,1.00355
187,1.00823
188,1.00281
189,0.984301
190,0.974434
191,1.00349
192,0.999293
193,1.02858
194,1.02278
195,1.00705
196,1.02325
197,1.01048
198,1.00356
199,0.98745
200,0.989912
201,0.973558
202,0.999063
203,0.999063
204,1.02734
205,1.02734
206,1.00964
207,0.998788
208,0.998788
209,0.978272
210,0.968317
211,0.974612
212,0.965044
213,0.968332
214,0.965023
215,0.965023
216,0.99102
217,0.976201
218,0.976201
219,0.976201
220,0.999252
221,0.992728
222,0.979776
223,0.968293
224,0.968293
225,0.969897
226,0.969897
227,0.981794
228,0.969642
229,1.00882
230,0.991729
231,0.991729
232,0.990553
233,0.994677
234,0.987954
235,0.997748
236,1.00194
237,1.00613
238,1.00888
239,1.00239
240,1.01654
241,1.01195
242,1.01195
243,0.997415
244,0.981096
245,0.987077
246,0.987077
247,0.987077
248,0.990662
249,0.989826
250,0.991603
251,1.01316
252,1.01976
253,0.975366
254,0.997503
