t,cost
10,5.5608
20,5.6064
30,5.5584
40,5.538
50,5.5398
60,5.5764
70,5.5764
80,5.5116
90,5.538
100,5.5176
110,5.5428
120,5.487
130,5.5368
140,5.5554
150,5.5494
160,5.5506
170,5.5524
180,5.5272
190,5.5434
200,5.5242
210,5.5464
220,5.5044
230,5.5254
240,5.556
250,5.5524
260,5.538
270,5.553
280,5.5356
290,5.5398
300,5.5218
310,5.5176
320,5.5434
330,5.5572
340,5.532
350,5.5374
360,5.5374
370,5.5416
380,5.5494
390,5.532
400,5.5488
410,5.5296
420,5.5416
430,5.55
440,5.5272
450,5.5062
460,5.556
470,5.5506
480,5.5542
490,5.5674
500,5.5584
510,5.5476
520,5.5734
530,5.5446
540,5.5446
550,5.547
560,5.538
570,5.5548
580,5.559
590,5.5494
600,5.5368
610,5.553
620,5.5632
630,5.5476
640,5.5566
650,5.5512
660,5.553
670,5.5422
680,5.556
690,5.5434
700,5.5638
710,5.532
720,5.5548
730,5.5698
740,5.583
750,5.5512
760,5.5572
770,5.5488
780,5.589
790,5.5686
800,5.5584
810,5.5524
820,5.5482
830,5.5698
840,5.5686
850,5.5692
860,5.5848
870,5.5512
880,5.5494
890,5.529
900,5.5536
910,5.571
920,5.5536
930,5.5446
940,5.5836
950,5.5476
960,5.5734
970,5.5608
980,5.5356
990,5.5386
1000,5.5362
1010,5.5332
1020,5.5764
1030,5.5692
1040,5.6142
1050,5.5704
1060,5.5692
1070,5.5668
1080,5.5614
1090,5.565
1100,5.5524
1110,5.5614
1120,5.574
1130,5.5662
1140,5.5782
1150,5.5872
1160,5.541
1170,5.577
1180,5.556
1190,5.5788
1200,5.5776
1210,5.5722
1220,5.5776
1230,5.5446
1240,5.562
1250,5.5404
1260,5.5464
1270,5.5704
1280,5.553
1290,5.5698
1300,5.5566
1310,5.5566
1320,5.583
1330,5.5686
1340,5.5746
1350,5.5812
1360,5.5758
1370,5.6034
1380,5.6118
1390,5.5848
1400,5.5914
1410,5.5704
1420,5.562
1430,5.6004
1440,5.5638
1450,5.5572
1460,5.5662
1470,5.5614
1480,5.5698
1490,5.5896
1500,5.5944
1510,5.5872
1520,5.544
1530,5.5842
1540,5.6058
1550,5.5728
1560,5.5644
1570,5.5908
1580,5.5716
1590,5.5848
1600,5.5524
1610,5.604
1620,5.589
1630,5.5794
1640,5.5806
1650,5.6136
1660,5.5914
1670,5.5746
1680,5.5944
1690,5.607
1700,5.6064
1710,5.592
1720,5.6082
1730,5.604
1740,5.5752
1750,5.6124
1760,5.5938
1770,5.5674
1780,5.607
1790,5.6106
1800,5.6394
1810,5.6136
1820,5.5764
1830,5.631
1840,5.6496
1850,5.598
1860,5.6304
1870,5.6328
1880,5.6214
1890,5.6244
1900,5.6274
1910,5.595
1920,5.6358
1930,5.6064
1940,5.6268
1950,5.6424
1960,5.6274
1970,5.6886
1980,5.6304
1990,5.6304
2000,5.6496
2010,5.604
2020,5.6148
2030,5.667
2040,5.6922
2050,5.6484
2060,5.6298
2070,5.6352
2080,5.6688
2090,5.661
2100,5.6988
2110,5.6658
2120,5.67
2130,5.664
2140,5.6748
2150,5.6676
2160,5.6988
2170,5.6694
2180,5.6418
2190,5.679
2200,5.6856
2210,5.679
2220,5.703
2230,5.679
2240,5.685
2250,5.7078
2260,5.7222
2270,5.7006
2280,5.763
2290,5.7084
2300,5.745
2310,5.7132
2320,5.7156
2330,5.796
2340,5.7066
2350,5.7054
2360,5.7432
2370,5.7222
2380,5.772
2390,5.7612
2400,5.7342
2410,5.7546
2420,5.7594
2430,5.8422
2440,5.775
2450,5.757
2460,5.7774
2470,5.8626
2480,5.7852
2490,5.8128
2500,5.8122
2510,5.8692
2520,5.8116
2530,5.7882
2540,5.802
2550,5.88
2560,5.8344
2570,5.8494
2580,5.8158
2590,5.871
2600,5.8014
2610,5.8296
2620,5.7912
2630,5.9016
2640,5.808
2650,5.8278
2660,5.8374
2670,5.9034
2680,5.8116
2690,5.8374
2700,5.8356
2710,5.9334
2720,5.8626
2730,5.832
2740,5.9862
2750,5.8626
2760,5.8506
2770,5.8464
2780,5.9796
2790,5.8854
2800,5.8818
2810,6
2820,5.9124
2830,5.9274
2840,6.03
2850,5.8938
2860,5.898
2870,6.042
2880,5.934
2890,5.919
2900,6.036
2910,5.9094
2920,5.943
2930,5.97
2940,5.928
2950,5.9118
2960,5.925
2970,6.042
2980,5.9436
2990,5.9226
3000,6.06
3010,5.943
3020,5.9778
3030,6.024
3040,5.9694
3050,5.9808
3060,5.9784
3070,5.9472
3080,6.012
3090,5.9862
3100,5.9664
3110,6.12
3120,6.012
3130,5.9826
3140,6.12
3150,6
3160,5.9916
3170,6.144
3180,6.012
3190,6.174
3200,5.9874
3210,5.9904
3220,6.15
3230,6.048
3240,6.072
3250,6.066
3260,6.036
3270,6.186
3280,6.048
3290,6.12
3300,6.114
3310,6.012
3320,6.168
3330,6.03
3340,6.12
3350,6.162
3360,6.078
3370,6.204
3380,6.054
3390,6.15
3400,6.066
3410,6.09
3420,6.258
3430,6.108
3440,6.258
3450,6.102
3460,6.27
3470,6.096
3480,6.186
3490,6.168
3500,6.108
