MDTU,|Tr(Lx)|
436,0.186314
437,0.0335733
438,0.0488716
439,0.0353518
440,0.04194
441,0.0377842
442,0.119038
443,0.123023
444,0.174726
445,0.0588445
446,0.0917611
447,0.126934
448,0.126934
449,0.126934
450,0.173823
451,0.0751789
452,0.109016
453,0.13112
454,0.209798
455,0.110889
456,0.127335
457,0.181802
458,0.0941924
459,0.0832189
460,0.0394886
461,0.109978
462,0.274581
463,0.178292
464,0.237336
465,0.237336
466,0.197717
467,0.0662065
468,0.121645
469,0.0727159
470,0.0763858
471,0.183099
472,0.0349851
473,0.0915915
474,0.118632
475,0.0455154
476,0.0485448
477,0.23596
478,0.135548
479,0.224087
480,0.0333613
481,0.131469
482,0.0513045
483,0.12652
484,0.25523
485,0.25523
486,0.183299
487,0.183299
488,0.287455
489,0.179198
490,0.133853
491,0.0484339
492,0.136065
493,0.118944
494,0.145325
495,0.12
496,0.090784
497,0.161586
498,0.161586
499,0.166524
500,0.121872
501,0.0824653
502,0.16861
503,0.16861
504,0.0101446
505,0.12738
506,0.0168785
507,0.0168785
508,0.0899864
509,0.0899864
510,0.125615
511,0.0878404
512,0.255455
513,0.255455
514,0.255455
515,0.143734
516,0.16561
517,0.171403
518,0.0386044
519,0.0386044
520,0.119437
521,0.0784002
522,0.0829737
523,0.185613
524,0.120972
525,0.17331
526,0.103885
527,0.233469
528,0.123607
529,0.208823
530,0.208823
531,0.0102558
532,0.170309
533,0.0495366
534,0.237581
535,0.0832998
536,0.0832998
537,0.120848
538,0.179293
539,0.0997428
540,0.0495899
541,0.123869
542,0.123869
543,0.130237
544,0.130237
545,0.12316
546,0.0816061
547,0.205324
548,0.169473
549,0.169473
550,0.170824
551,0.0611965
552,0.101165
553,0.101165
554,0.131946
555,0.0794481
556,0.0794481
557,0.142492
558,0.0979769
559,0.138799
560,0.0648569
561,0.0939786
562,0.136103
563,0.0619806
564,0.215246
565,0.215246
566,0.141407
567,0.0942076
568,0.254446
569,0.265883
570,0.197856
571,0.209437
572,0.1925
573,0.238604
574,0.0918956
575,0.221823
576,0.141888
577,0.116359
578,0.288666
579,0.186031
580,0.230706
581,0.230706
582,0.201586
583,0.0994829
584,0.0612792
585,0.233099
586,0.117304
587,0.0978002
588,0.0978002
589,0.138632
590,0.125426
591,0.164675
592,0.119106
593,0.0492316
594,0.0967468
595,0.0945349
596,0.0945349
597,0.112897
598,0.165479
599,0.242194
600,0.116232
601,0.14394
602,0.0855167
